content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
我妈一个大学同学，毕业后去了广州，然后她女儿现在高一，刚从南极回来，是去陪同参加一个世界级会议（当然是自费的且名额只有一个，她非常幸运）。是学校给的名额……还给了我一份自己拍摄的南极风景明信片。那个明信片被用来做慈善活动。我是四线小城市的。我……我……我好jb羡慕啊。都是十五岁的。唉。虽然早去晚去都差不多吧，但是……。我有生之年一定要去南极orz,2018-01-19 01:29:01,520,0,整点potato,6,1,17904979,1,青春百万円,比宇宙更远的地方,jborz,jborz
回复 @整点potato :你说你要去南极！,2025-07-13 17:44:56,0,0,命数似梦易解,6,1,17904979,1,青春百万円,比宇宙更远的地方,potato,potato
所以说装备很重要，平时穿抗寒的冲锋衣、软壳保暖冲锋裤。运动的时候穿skins的保暖压缩衣。,2018-01-10 08:53:25,6,0,烈酒的黄金乡,6,1,18137167,2,歌舞伎町弗里曼特尔,比宇宙更远的地方,skins,skins
回复 @mrs504aa:我是看到了南十字…,2018-01-09 22:40:14,11,0,QYCHEN1026,6,1,18137167,2,歌舞伎町弗里曼特尔,比宇宙更远的地方,mrs504aa,mrs504aa
回复 @smogchan :我二周目都信了（￣▽￣）,2019-08-25 16:23:31,6,0,猪蹄是个美男子,6,1,18375600,3,回粉停不下来,比宇宙更远的地方,smogchan,smogchan
"在9分30秒左右，屏幕上出现了各个国家的考察站位置图，其中有四面五星红旗，分别代表我国的四座科考站，我就在这里科普一下吧[小电视_害羞]
长城站建成于1985年2月20日，坐落在南设得兰群岛乔治王岛，地理位置为南纬62度12分59秒，西经58度57分52秒，是我国首个南极科考站，现有大型永久建筑10座，包括生活栋、科研栋、气象栋、文体栋、发电栋、综合库、食品库等。夏季可容纳60人左右考察，冬季可供20人左右越冬考察； 中山站建立于1989年2月26日，******的伟大先驱者孙中山先生的名字命名，位于南极大陆的拉斯曼谷陵，距北京12553.160千米。地理位置为南纬69度22分24秒，东经76度22分40秒，现有各种建筑15座，建筑面积2700平方米，其中包括办公栋、宿舍栋、气象栋、科研栋和文体娱乐栋，以及发电栋、车库等；
昆仑站建立于2009年1月27日，是南极内陆冰盖最高点（Dome-A，也称冰穹-A）上的科学考察站，位于南纬80度25分01秒，东经77度06分58秒，高程4087米，位于南极内陆冰盖最高点冰穹-A西南方向约7.3公里，是我国第一个建成的南极内陆科考站，同时也因为其地理位置极具科考意义（位于东南极中心的Dome-A被命名为地球上的“不可接近之极”，也是南极冰盖尚未开展科学探测的制高点），可以说是能够和美国阿蒙森斯科特科考站（位于南极点）相提并论的重要科考站；
泰山站建立于2014年2月8日，是中国在南极建设的第四个科学考察站，位于中山站与昆仑站之间的伊丽莎白公主地，距离中山站约520公里，海拔高度约2621米，年平均温度-36.6度，可满足20人度夏考察生活，总建筑面积1000㎡，使用寿命15年，配有固定翼飞机冰雪跑道，是一座南极内陆考察的度夏站。
好啦科普完成啦，顺带一提，这部番的OP和ED翻译都非常用心，可以直接套着翻译词唱出来哟！大家可以自己唱唱听听看[小电视_害羞]",2018-01-23 22:13:47,5478,80,磁爆线圈X,6,0,18638911,4,四只毛毛虫,比宇宙更远的地方,"930
1985220621259585752106020 198922612553160692224762240152700
2009127DomeAA8025017706584087A73DomeA“”
201428520262136620100015
OPED",930 1985220621259585752106020 198922612553160692224762240152700 2009127DomeAA8025017706584087A73DomeA “ ” 201428520262136620100015 OPED
"本集没有之前整体比较欢脱的故事氛围，而是严肃不少，且有相当比重的专业知识部分。
当然，并不是指望看了动画就能学会探险的教学片，集中讲了一个训练科目——插FLAG，概括性的介绍了利用仪器定位的基本流程。要知道在暴风雪中能见度为零，定位仪器不可能精确到米，往往能不能回得去就指望先前插的标记，不学会插FLAG就意味着插了自己的死亡FLAG。选择这个项目，其足以表现本作人物行为的认真性。
同时这是个团队配合的训练过程。毕竟这是4人结成队伍后的第一次互相配合，虽然不复杂，但是也通过实践确定了分工，发现了擅长的项目。同时对于训练的速度和质量，也存在不同意见（不是分歧），但是通过商议，达成了稳中求胜的共识，这都是对建立默契团队很有好处的。
之前也担心过头几集整体气氛比较欢脱，虽然观感很好很有趣，但如果全剧整个故事都像闹着玩似的流程过于简单化理想化，显然品质会大打折扣，这集看来并不存在这个问题，情节的严肃与活泼程度的把握还是很不错的。
肆意挥洒的青春是青春，认真拼搏的青春同样也是青春，当然了，依然还是别人的青春[小电视_哭泣]
更多粗浅分析欢迎查看我的专栏。",2018-01-23 22:22:39,2480,48,Natoss109,6,0,18638911,4,四只毛毛虫,比宇宙更远的地方,"FLAGFLAGFLAG
4",FLAGFLAGFLAG 4
回复 @真白shiro:虚荣心吧，,2018-01-30 21:45:10,25,0,水果夹心,6,1,18926912,5,我亲爱的朋友,比宇宙更远的地方,shiro,shiro
回复 @-a4a01-:我说的是家长,2018-01-30 21:54:13,6,0,HerbieSensei,6,1,18926912,5,我亲爱的朋友,比宇宙更远的地方,a4a01,a4a01
等一下woc你的头像！！02我tm吹爆！！！,2018-02-13 21:01:11,10,0,鱼板先生,6,1,19542982,7,看宇宙的船,比宇宙更远的地方,woc02tm,woc02tm
