content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
回复 @Linksans :(〜￣△￣)〜两份的快乐一次体验完,2019-01-05 11:03:56,14,0,寻道归,6,1,39745777,1,盾之勇者,盾之勇者成名录,Linksans,Linksans
"《关于从零开始的猪头少年在异世界不会梦到浣熊少女这件事》


温馨提示 : 
请珍惜这只还是萝、莉的小浣熊
只要打开0.5倍，这集还是47分钟


PS：剑之勇者之所以这么菜是因为本体现在正在教五胞胎学习呢[蛆音娘_滑稽]",2019-01-23 22:00:08,9658,239,琉漓_,6,0,41479108,3,灾厄的浪潮,盾之勇者成名录,"0547


PS",0547 PS
回复 @devotionwake :狗：我****,2020-07-22 11:03:38,7,0,派蒙美食家,3,1,42714241,5,菲洛,盾之勇者成名录,devotionwake,devotionwake
北京第三asdfgklore,2019-02-13 22:04:06,7,0,欠电费的初号鸡,6,1,43410109,6,新同伴,盾之勇者成名录,asdfgklore,asdfgklore
还问我怎么知道的。。你心里难道没有b...ilibili吗？(｀・ω・´),2019-02-13 22:05:55,162,0,我也曾想作闲云野鹤,6,1,43410109,6,新同伴,盾之勇者成名录,bilibili,bilibili
回复 @arldi_paradise :闹不清，剑勇和武器店大叔,2019-03-13 23:20:56,45,0,桐谷绯村,6,1,46157619,10,纷乱之中,盾之勇者成名录,arldiparadise,arldiparadise
回复 @SayLikeReal :[微笑],2019-03-20 23:42:18,3,0,浅尘_konミ,6,1,46819516,11,灾厄 再临,盾之勇者成名录,SayLikeReal,SayLikeReal
回复 @KONGO-金刚 :3能打成6，说明你是想谢罪了。,2019-03-21 00:01:25,103,0,冰糖雪豹,6,1,46819516,11,灾厄 再临,盾之勇者成名录,KONGO 36,KONGO 36
回复 @旻轩君-Greenleaf :(๑• . •๑),2019-03-21 00:33:16,2,0,浅尘_konミ,6,1,46819516,11,灾厄 再临,盾之勇者成名录,Greenleaf,Greenleaf
回复 @KONGO-金刚 :那你评论修改啊,2019-03-21 08:22:51,0,0,我叫pro,6,1,46819516,11,灾厄 再临,盾之勇者成名录,KONGO,KONGO
盾勇的小说我已经追得差不多了，看完后总有种不太舒服的感觉，一种快要达到gc却又不出来的感觉。原因应该是作者没有在爽文的道路上走到底……后期又扯到了必须要团队合作，不然就无法战胜boss的套路上，再加上各种洗白剧情。其实我更希望看到主角通过接吻吸光其他三个勇者的力量，然后再用一种神秘的力量让他们的jj消失不见并收入后宫的展开（￣▽￣）,2019-04-03 22:12:34,2945,92,我永远喜欢皮皮团老婆,3,0,48162330,13,盾之恶魔,盾之勇者成名录,gcbossjj,gcbossjj
回复 @twentylv :没,2019-04-04 00:24:24,1,0,有和木,6,1,48162330,13,盾之恶魔,盾之勇者成名录,twentylv,twentylv
回复 @pine92514 :别急，继续忍，不是还没尿道炎吗，从开头忍到大结局，然后厄难势力拯救世界：“盾勇你瞧，我已经很努力的给你正名了”...,2019-04-13 00:43:11,72,0,老未来可期了,6,1,48870339,14,无法消除的记忆,盾之勇者成名录,pine92514 “”,pine92514 “ ”
回复 @JamesZTH :敌情不明，菲洛都不知道在哪不敢轻举妄动[2233娘_喝水],2019-04-17 08:05:12,1,0,がんばでYur,6,1,48870339,14,无法消除的记忆,盾之勇者成名录,JamesZTH,JamesZTH
回复 @bakamonster :嘻嘻嘻，要敢于与不法分子作斗争，捍卫人身权利不被侵犯！,2019-04-18 23:55:22,136,0,香香软软の大货车,5,1,49592291,15,拉芙塔莉雅,盾之勇者成名录,bakamonster,bakamonster
回复 @nashor2 :@nashor2 这位兄弟说的有道理，不管是拐卖妇女，还是走私野生动物，此人都应该受到法律的制裁，等我下班回家咱们在讨论讨论拉芙塔利亚算不算正当防卫？可好？,2019-04-21 07:44:11,5,0,神圣牧风,6,1,49592291,15,拉芙塔莉雅,盾之勇者成名录,nashor2 nashor2,nashor2 nashor2
回复 @sxzl1990 :历代勇者中有过四个都是混球的，然后就被菲托利亚干掉了,2019-04-25 11:11:54,779,0,虚空之殉,6,1,50319838,16,菲洛鸟女王,盾之勇者成名录,sxzl1990,sxzl1990
回复 @keyidehua :是啊 打排位四个猪队友 我不送已经 是最大的仁慈了,2019-04-25 19:21:48,84,0,迷你先生-,6,1,50319838,16,菲洛鸟女王,盾之勇者成名录,keyidehua,keyidehua
回复 @秋风uoz :爆米花一桶20块 ，快乐水1.5升15块。如果买全家桶还有打折(°∀°)ﾉ,2019-05-16 17:57:22,1,0,一个普通的B站新人,6,1,52527737,19,四圣勇者,盾之勇者成名录,uoz 20 1515,uoz 20 1515
