content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
回复 @W_Proo :有个国漫叫我叫mt,2023-11-03 21:20:41,16,0,驿外断桥-,5,1,705416956,1,地下斗技场,盾之勇者成名录 第三季,WProo mt,WProo mt
"盾之勇者成名录（no）
盾你太背（yes）",2023-12-23 07:42:40,3,0,许褚测,6,1,705416956,1,地下斗技场,盾之勇者成名录 第三季,"no
yes",no yes
回复 @S魔物娘之奶娘S :van,2023-11-10 20:44:32,9,0,永远喜欢朝武芳乃的我,6,1,450460885,2,娜迪亚,盾之勇者成名录 第三季,SS van,SS van
回复 @SCPー166 :为了找娜芙塔利亚用她的头发做的式神,2025-08-08 01:22:13,2,0,王泪_lian,5,1,450460885,2,娜迪亚,盾之勇者成名录 第三季,SCP166,SCP166
不要小看这个白虎妹子哦。她等级只有LV1，而且只剩3点血的濒死残疾状态血量上限就是110，要知道，健康盾勇LV1的时候，也才142哦。,2023-11-17 22:40:32,412,10,高温状态,6,0,492925461,3,白虎兄妹,盾之勇者成名录 第三季,LV13110LV1142,LV13110LV1142
回复 @泛亚龙 :不好意思，我错了，拉芙塔尼亚lv1也有127点血。[笑哭][抱拳]hp不是判断能力的标准。,2023-11-18 00:00:40,50,0,高温状态,6,1,492925461,3,白虎兄妹,盾之勇者成名录 第三季,lv1127hp,lv1127hp
回复 @原初 :玩galgame最后能玩成诚哥结局，某种意义上来说也是个本事[笑哭],2024-08-07 14:55:22,19,0,helpppp,6,1,366307600,4,枪之勇者捕获行动,盾之勇者成名录 第三季,galgame,galgame
回复 @helpppp :准确来讲他是把各种结局都走过了，原世界也是轮回的，刚好刷到诚哥结局,2025-01-26 22:02:34,11,0,警惕食用野生菌,5,1,366307600,4,枪之勇者捕获行动,盾之勇者成名录 第三季,helpppp,helpppp
回复 @-Pitohui :命运不会给他菲洛 只有盾勇能抽到菲洛这个下一代女王[doge],2025-08-20 19:39:36,1,0,喜欢夜晚的向日葵,6,1,366307600,4,枪之勇者捕获行动,盾之勇者成名录 第三季,Pitohui,Pitohui
"这俩是浪潮的先锋，是幕后大Boss送到各个世界来暗杀勇者的，本身基础能力很弱，但是有大Boss给的各种不属于世界常理的外挂，包括能力提升，等级提升，超常规魔法，肉体死了灵魂还能跑等等
而且这俩属于浪潮先锋里最弱的一档，后面还有比他们强的多的",2023-12-01 21:50:01,382,0,每天都出差,5,1,748810899,5,各自的道路,盾之勇者成名录 第三季,BossBoss,BossBoss
"枪勇这里变得突然很强，我来补充设定：
在第一季勇者会议时，勇者们因为所了解强化方法的不同而相互争论和怀疑，但是其实他们的强化方法都对圣武器有用，而且可以叠加，但是必须打心底的相信彼此说的话，圣武器才会显示该条强化方法（所以菲洛女王才让勇者们相互信任）。盾勇是最先相信他们的，而且第二季时又发现眷属器勇者的武器强化方法也是通用的，才会变得很强。而枪勇把盾勇当做岳父，那自然是无条件相信。而且盾勇打那两条杂鱼时，同伴和自己身上有诅咒和debuff，所以很困难。",2023-12-08 23:19:30,794,22,流浪_的人,6,0,833860942,6,变强的目的,盾之勇者成名录 第三季,debuff,debuff
回复 @帅过吴彦祖的奶嘴 : 不是，穿越是到大结局打大boss才穿的，这个就是盾本篇的发展，毕竟c和t是不一样的。还有他下手真的很果断，对面还没反应过来就a了上去了,2023-12-09 15:21:59,22,0,ice__9,6,1,833860942,6,变强的目的,盾之勇者成名录 第三季,bosscta,bosscta
回复 @ATFielder :弓不是被称为弓之人渣吗,2023-12-16 18:25:39,3,0,龙系守护者,6,1,282148026,7,少女与龙,盾之勇者成名录 第三季,ATFielder,ATFielder
回复 @Eternal卡奇 :没法独立思考，别人说啥就是啥，但是没细说会不会听敌人说的话。,2024-01-14 10:32:00,16,0,豳灵灬,6,1,623313967,10,完美隐蔽正义,盾之勇者成名录 第三季,Eternal,Eternal
回复 @中-野-二-乃 :玩玩音乐谈谈恋爱就活好了，从这方面来讲弓勇就是太认真了才那么扭曲，他前世直接进乐队玩摇滚当贝斯手和主唱谈恋爱还哪来的后面那么多事，非得惦记这那逼狙击异能，要惦记也玩fps成为fps高手不比玩jrpg成就感高多了,2024-05-30 14:07:56,6,0,我_人才,6,1,623313967,10,完美隐蔽正义,盾之勇者成名录 第三季,fpsfpsjrpg,fpsfpsjrpg
回复 @PCMGTP : 是吗，我怎么觉得网上这种人到处都是呢,2024-01-12 22:48:39,10,0,upAA啊,6,1,878535142,11,正义VS正义,盾之勇者成名录 第三季,PCMGTP,PCMGTP
回复 @Leozodiart : 其实只有盾是找对了，在后面圣武器精灵对话里说过，四圣里只有盾一直都是最佳人选。,2024-01-12 23:58:11,133,0,晓城司命君,6,1,878535142,11,正义VS正义,盾之勇者成名录 第三季,Leozodiart,Leozodiart
回复 @下雨的声音ark :OP也还是那个味  买OP送正片,2024-01-20 15:47:08,12,0,某打球的超吊带男,6,1,878540844,12,应当守护之人,盾之勇者成名录 第三季,ark OP  OP,ark OP OP
回复 @AdamKennan :冲着菲洛来的,2024-10-17 17:59:49,0,0,我是抽奖小鬼,3,1,878540844,12,应当守护之人,盾之勇者成名录 第三季,AdamKennan,AdamKennan
回复 @Warfarin_ffo :我也感觉不错,2025-07-27 23:02:32,0,0,是月美啊,6,1,878540844,12,应当守护之人,盾之勇者成名录 第三季,Warfarinffo,Warfarinffo
回复 @汽水水ramune :三天三季，前面全忘了但是憋屈记得,2024-02-22 13:29:09,20,0,A-52Hertz,6,1,878540844,12,应当守护之人,盾之勇者成名录 第三季,ramune,ramune
