content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
伤痕铸就最强之盾！守护伙伴，在绝望中寻找希望之路！史诗级冒险抢先看，锁定bilibili漫画！https://manga.bilibili.com/m/detail/mc28615,2025-07-09 20:01:35,511,19,哔哩哔哩漫画,6,0,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季,bilibilihttpsmangabilibilicommdetailmc28615,bilibilihttpsmangabilibilicommdetailmc28615
BV1hNGpzaE7D,2025-07-09 20:45:31,5,0,肥仔易出汗,6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季,BV1hNGpzaE7D,BV1hNGpzaE7D
回复 @insight8thSeeker :枪勇完结了，盾勇万年不更,2025-07-16 10:14:15,0,0,每天都是星期六,6,1,114787161738910,1,席德威鲁特,盾之勇者成名录 第四季,insight8thSeeker,insight8thSeeker
回复 @TuiChang1 :习惯了………[doge]习惯的力量,2025-07-16 20:12:15,38,0,witcher01,6,1,114787161738396,2,款待,盾之勇者成名录 第四季,TuiChang1,TuiChang1
回复 @witcher01 :我也看习惯了，虽然多人喷，但我每季都看[笑哭],2025-07-16 20:15:00,59,0,格利索斯托莫,6,1,114787161738396,2,款待,盾之勇者成名录 第四季,witcher01,witcher01
回复 @Stewfishkk :这个出了b站也买不了[笑哭],2025-07-16 20:10:49,12,0,宇宙之墙,5,1,114787161738396,2,款待,盾之勇者成名录 第四季,Stewfishkk b,Stewfishkk b
回复 @Stewfishkk :哥们儿我看你是想看18禁了,2025-07-16 20:16:34,9,0,倚楼听风雨巛,6,1,114787161738396,2,款待,盾之勇者成名录 第四季,Stewfishkk 18,Stewfishkk 18
回复 @LeonhartAN :因为s2报看吧，s1还可以的,2025-07-24 12:53:05,3,0,夜空の星のように,6,1,114787161736641,3,何为真正的国民,盾之勇者成名录 第四季,LeonhartAN s2s1,LeonhartAN s2s1
"回复 @_L李可欣 :哪个平台搜都有的，不过并不是正版罢了[笑哭]
1-22卷大概两张左右",2025-07-31 02:41:36,5,0,池飓雨慧,5,1,114929382196585,4,被托付的力量,盾之勇者成名录 第四季,"L 
122",L 122
回复 @1miLia也是55开 :明天不更新,2025-08-06 20:37:19,1,0,夜吟游客,6,1,114968271981272,5,白虎,盾之勇者成名录 第四季,1miLia55,1miLia55
回复 @Small一sky :穷,2025-08-07 17:39:33,2,0,Zealex丶,6,1,114968271981272,5,白虎,盾之勇者成名录 第四季,Smallsky,Smallsky
回复 @savinto :绷不住了哈哈哈哈,2025-09-20 19:22:12,1,0,赛博科比,4,1,114968271847895,6,出港,盾之勇者成名录 第四季,savinto,savinto
回复 @bili_81397192697 :诅咒，我记得还是仨色和愤怒还有一个我忘了是啥了,2025-10-17 00:45:42,1,0,宋国的江山2,6,1,114968271847895,6,出港,盾之勇者成名录 第四季,bili81397192697,bili81397192697
回复 @Lr_Ben :他们故意说着玩的[赞了],2025-08-20 23:43:29,9,0,秋笙336,6,1,115054204749448,7,登陆九天楼,盾之勇者成名录 第四季,LrBen,LrBen
回复 @踏实的草莓熊 :pocketmon master[笑哭],2025-08-20 23:57:27,11,0,是PEKI捏,6,1,115054204749448,7,登陆九天楼,盾之勇者成名录 第四季,pocketmon master,pocketmon master
回复 @寻秋mio :+1,2025-09-13 18:52:22,0,0,粨壹,3,1,115054204684450,9,索迪亚,盾之勇者成名录 第四季,mio 1,mio 1
回复 @寻秋mio :b站取标题一直有一手的[doge],2025-09-14 23:32:35,1,0,䌷酱可爱捏,5,1,115054204684450,9,索迪亚,盾之勇者成名录 第四季,mio b,mio b
切换到港服bilibili上周已经有第十集了,2025-09-19 10:28:15,2,0,苏烨磊,6,1,115212044929689,10,祈祷,盾之勇者成名录 第四季,bilibili,bilibili
回复 @因技术问题无法显示id :第一季那个渣女好像是最终boss[笑哭],2025-09-17 20:42:22,4,0,宇宙之墙,5,1,115212044733638,11,神谕巫女,盾之勇者成名录 第四季,id boss,id boss
回复 @sadness思念 :那个也行，但是那是碾压局，还是觉得打凤凰和第一次见到鞭勇时打的惨烈，非常好奇盾勇劝杖勇那一段能做成啥样，老国王直接变智力天花板了,2025-09-25 16:01:07,13,0,谁给我张桌子掀,6,1,115212044733585,12,天命归来,盾之勇者成名录 第四季,sadness,sadness
