content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
哔哩哔哩 - ( ゜- ゜)つロ 乾杯~ 阳光、沙滩还有凉爽解暑可燃乌龙茶！这个夏天，潜进更疯的青春！快来哔哩哔哩漫画，先干为敬！戳→https://manga.bilibili.com/m/detail/mc25969?from=comment,2025-07-22 20:31:03,4457,39,哔哩哔哩漫画,6,0,114890593340510,1,「妹妹」,碧蓝之海 第二季,httpsmangabilibilicommdetailmc25969fromcomment,httpsmangabilibilicommdetailmc25969fromcomment
Bad times make a good man,2025-07-23 13:46:11,0,0,锕喵诺斯,6,1,114890593340510,1,「妹妹」,碧蓝之海 第二季,Bad times make a good man,Bad times make a good man
@Seventh秋诗 [doge],2025-08-28 17:46:06,0,0,想吃冰菓的少年w,6,1,115054171129276,4,「门票争夺战」,碧蓝之海 第二季,Seventh,Seventh
回复 @sldlxjao :[笑哭]NB,2025-08-31 18:03:18,4,0,我永远单推六儿,6,1,115054171129276,4,「门票争夺战」,碧蓝之海 第二季,sldlxjao NB,sldlxjao
回复 @Frains丶昔日 : 上周没有更新呗,2025-08-19 21:47:36,72,0,夏鑒,5,1,115054171262650,5,「初访女子大学」,碧蓝之海 第二季,Frains,Frains
回复 @是海理Duck :早就更新完了12集了[doge],2025-08-19 23:17:19,48,0,我是那月酱啦,6,1,115054171262650,5,「初访女子大学」,碧蓝之海 第二季,Duck 12,Duck 12
回复 @Frains丶昔日 :因为12集早出来了[doge],2025-08-19 23:31:03,27,0,挞他汀,6,1,115054171262650,5,「初访女子大学」,碧蓝之海 第二季,Frains 12,Frains 12
回复 @bilbil-114514 :应该是主角本人了吧,2025-08-23 12:50:06,5,0,圆号手在卡利喝汤,6,1,115054171262650,5,「初访女子大学」,碧蓝之海 第二季,bilbil114514,bilbil114514
回复 @圆号手在卡利喝汤 :我想问的是coser,2025-08-23 13:09:02,0,0,bilbil-114514,6,1,115054171262650,5,「初访女子大学」,碧蓝之海 第二季,coser,coser
回复 @bilbil-114514 :并非coser，是真人版的剧照[doge_金箍],2025-08-23 20:33:21,16,0,kjinkj111,5,1,115054171262650,5,「初访女子大学」,碧蓝之海 第二季,bilbil114514 coser,bilbil114514 coser
特别能理解的一集，玩cos兜兜转转五年了，从不被家里人理解到最终搬离独居以后，现在只为自己的爱好活着，年年都要被亲戚背后蛐蛐不务正业玩物丧志一事无成，只能说人心中的成见就是一座不可逾越的大山，从发现出的第三套cos差点断绝来往到现在骑士cos已经毕业（平成骑士阶段的开始与结束），开始玩其他领域后，慢慢的享受今朝有酒今朝醉，年轻如果不能满足自己，中年以后只会痛恨自己过去因害怕指责而压抑到最终啥也没捞到的空虚，现在我年底将完成此生的第十套作品（eva二号机）慢慢加油，争取三十以前完成20套cos的青春目标[星星眼],2025-08-27 02:35:08,875,42,斋藤樺穀,6,0,115066435341895,6,「再访女子大学」,碧蓝之海 第二季,coscoscoseva20cos,coscoscoseva20cos
回复 @LiuYing_Zzz :我嘞个乘,2025-08-27 13:51:17,45,0,子夕西,6,1,115093698317575,7,「夏比冲击试验」,碧蓝之海 第二季,LiuYingZzz,LiuYingZzz
回复 @南天一梦Ex :为啥梓上ban位了啊 不是说学姐对男主也是比较喜欢的吗,2025-09-03 01:01:22,20,0,困高了奥,5,1,115093681475068,9,「喜欢吗？」,碧蓝之海 第二季,Ex ban,Ex ban
回复 @Auroranz : 我也感觉有点怪，不过这番能动我就很知足了[笑哭],2025-09-03 19:23:11,15,0,义之剑,5,1,115093681475068,9,「喜欢吗？」,碧蓝之海 第二季,Auroranz,Auroranz
消息顶真吗[Cat!_confuse],2025-09-09 00:51:44,1,0,_karii_,6,1,115093698250893,10,「电影约会」,碧蓝之海 第二季,Catconfuse,Catconfuse
回复 @_karii_ :顶真[笑哭],2025-09-09 00:51:57,8,0,宇宙之墙,5,1,115093698250893,10,「电影约会」,碧蓝之海 第二季,karii,karii
回复 @Kiritsugu丨Papa :但是真正的高收益往往没有风险[doge],2025-09-16 15:04:30,34,0,苍蓝脑细胞,5,1,115093698383111,11,「前往无人岛！」,碧蓝之海 第二季,KiritsuguPapa,KiritsuguPapa
回复 @Wofyle :不是啊，虽然那哥们也要结婚，但是另外一个是声优结婚，耕平还是头号粉丝，什么声优嫁给普通人，社团要组团去庆祝，耕平精神上能接受，但是身体接受不了，然后被催眠，开始对爱菜表白，结果把千纱也催眠了的…那个声优应该就是这个…啊，双马尾吧[tv_思考]抱歉，真记不住名字,2025-09-16 13:47:26,12,0,丶伊谣,6,1,115093698383111,11,「前往无人岛！」,碧蓝之海 第二季,Wofyle,Wofyle
伊织，nicebody,2025-09-23 00:39:36,75,0,今天胡牌了嘛,6,1,115093698317363,12,「这下扯平了」,碧蓝之海 第二季,nicebody,nicebody
