content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
回复 @W-Gentle :考哥.jpg,2022-04-15 22:58:18,54,0,厉害的魔女,5,1,595708048,2,好，那就二次元,约会大作战 第四季,WGentle jpg,WGentle jpg
牙医shake it啊，这里是白学家老巢吗？[滑稽],2022-04-15 23:01:37,31,0,磁堤利亚Thdilia,6,1,595708048,2,好，那就二次元,约会大作战 第四季,shake it,shake it
"大家的支持超给力！大家继续加油！冲鸭！第三集依旧是有2处熊猫彩蛋，欢迎大家点我头像来参加“找彩蛋有奖”活动第三期，抽取大会员奖励～
感谢大家的狂热支持！大家的追番、观看、点赞即是对制作组和B站小伙伴的支持，三连起来~
第五季就靠你啦，冲！！！",2022-04-22 21:30:16,11469,59,约战精灵情报处,6,0,638419549,3,你的就是我的,约会大作战 第四季,"2“”
B",2 “ ” B
回复 @IllIllIlIllIIIl :哼，我要读lù喰怎么了,2022-04-29 23:35:21,11,0,西给给给子,6,1,638601046,4,宇宙的精灵,约会大作战 第四季,IllIllIlIllIIIl l,IllIllIlIllIIIl l
"回复 @IllIllIlIllIIIl :[惊讶]重点不在这个六啊喂！！这喰怎么读啊！！？
哦洗海带哟~",2022-04-29 23:45:01,29,0,kuaoyi,6,1,638601046,4,宇宙的精灵,约会大作战 第四季,IllIllIlIllIIIl,IllIllIlIllIIIl
回复 @くおぃ :三个音：can  sun qi,2022-04-30 00:22:59,4,0,空间之外的远方,5,1,638601046,4,宇宙的精灵,约会大作战 第四季,can  sun qi,can sun qi
喰zhong,2022-04-30 00:50:13,2,0,さんかれあ可愛ました,6,1,638601046,4,宇宙的精灵,约会大作战 第四季,zhong,zhong
回复 @叶意余烟 :《My little Shido》,2022-04-30 00:57:38,40,0,ウルトラ開,6,1,638601046,4,宇宙的精灵,约会大作战 第四季,My little Shido,My little Shido
cv16382438,2022-04-29 23:29:07,11,0,萝莉结缘神乃乃子,6,1,638601046,4,宇宙的精灵,约会大作战 第四季,cv16382438,cv16382438
回复 @tem-plar :国王排名表示很干,2022-04-30 00:26:19,123,0,六花打折卖啦,6,1,638601046,4,宇宙的精灵,约会大作战 第四季,templar,templar
回复 @Tokkur :那是你太爱折纸大师了，对就是这样,2022-05-06 22:24:18,115,0,蛰寒雨,5,1,938753712,5,童话故事,约会大作战 第四季,Tokkur,Tokkur
回复 @inKarse :不试试怎么知道反正我是没那个能力[doge],2022-05-14 19:34:00,32,0,女儿控的塞西莉亚,6,1,554055253,6,敞开的心扉,约会大作战 第四季,inKarse,inKarse
回复 @killno_official :肠子都悔青了[囧],2022-05-13 21:43:48,456,0,柒明之道,6,1,554055253,6,敞开的心扉,约会大作战 第四季,killnoofficial,killnoofficial
"第七集更新！当这个世界所有人都忘记你的时候你该怎么办呢？
当然是约会啦！今天依旧有两个彩蛋~欢迎大家继续参加彩蛋活动哦！
感谢大家和B站对约战的支持~
在此我们奉上礼包码一份：NYLSTOW",2022-05-20 21:30:44,7089,82,约战精灵情报处,6,0,684146883,7,被封闭的记忆,约会大作战 第四季,"B
NYLSTOW",B NYLSTOW
回复 @KU-RO-BA :要手动输入,2022-05-20 22:11:14,3,0,御缚之主,5,1,684146883,7,被封闭的记忆,约会大作战 第四季,KUROBA,KUROBA
回复 @迦耶伯格ver_99 :你这是剧透了[滑稽],2022-05-27 23:23:53,47,0,天辉战神,6,1,426895332,8,钥匙与剑,约会大作战 第四季,ver99,ver99
回复 @Badwoman-空眠 :断头直接就死了,2022-05-27 23:37:22,37,0,无人的秋月,6,1,426895332,8,钥匙与剑,约会大作战 第四季,Badwoman,Badwoman
回复 @Shader_L :三三知道同学们都认为士道是海王，逗他玩的,2022-06-03 22:16:21,399,0,晓易鸽子,6,1,257218248,9,梦魔的诱惑,约会大作战 第四季,ShaderL,ShaderL
BV1rS4y1H7xz,2022-06-26 14:26:58,26,0,春阳何能荣枯朽,4,1,342508404,11,往日的罪孽,约会大作战 第四季,BV1rS4y1H7xz,BV1rS4y1H7xz
wc np！[打call][打call][打call],2022-06-24 21:36:12,4,0,剑光如闪电,6,1,597735637,12,救赎的轮回,约会大作战 第四季,wc np,wc np
