content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
回复 @scorpio360 :真相了兄弟,2025-10-05 10:52:37,62,0,童烦,5,1,115292776695159,1,安稳的世界,致不灭的你 第三季,scorpio360,scorpio360
"回复 @埃尔Llink :水叶结局以后真是个好女人，这么多转世里，
就作为源头的哈亚瑟最疯批，只能说卡哈克和水叶性格都很好，被哈亚瑟的执念坑惨了，
这玩意一激活，就开始发病了[笑哭]",2025-10-12 00:13:46,84,0,爱梅斯,6,1,115342437255274,2,心的绳结,致不灭的你 第三季,Llink,Llink
回复 @名前-NAMAE :致不灭的叩门人[笑哭],2025-10-12 00:16:48,71,0,我是一个笨笨的兔叽,6,1,115342437255274,2,心的绳结,致不灭的你 第三季,NAMAE,NAMAE
回复 @名前-NAMAE :敲门者也在进化，第一集说为了躲不死，变小了。小到不死感知不到，OP后面打的也是敲门者。,2025-10-12 00:57:05,33,0,无聊的银桑,6,1,115342437255274,2,心的绳结,致不灭的你 第三季,NAMAE OP,NAMAE OP
回复 @老A和小Alang-132 : 这么说有点地狱啊[哦呼],2025-10-12 01:35:33,9,0,厄夜惊雷,6,1,115342437255274,2,心的绳结,致不灭的你 第三季,AAlang132,AAlang132
回复 @老A和小Alang-132 :瑞叶对阪奈有feel我能理解，卡哈克发力了，但阪奈你为什么会对瑞叶好感那么高啊[喜极而泣],2025-10-12 04:25:27,31,0,方便的唯一神,6,1,115342437255274,2,心的绳结,致不灭的你 第三季,AAlang132 feel,AAlang132 feel
"回复 @trustme希 :结局很完美，哈亚瑟的执念被水叶彻底斩断，
不在转世，哈亚瑟家族结束在这一代了",2025-10-12 09:10:39,26,0,爱梅斯,6,1,115342437255274,2,心的绳结,致不灭的你 第三季,trustme,trustme
回复 @new的时代text之欲 : 没那么少,2025-10-19 21:55:03,6,0,抹布的亡灵,6,1,115371931602643,3,水叶,致不灭的你 第三季,newtext,newtext
[Ave Mujica_震惊],2025-10-26 03:24:59,836,28,不要摸允,6,0,115371948378166,4,消失的人,致不灭的你 第三季,Ave Mujica,Ave Mujica
回复 @Enfin咔布 :并非是中性，而是无性毕竟本体就是一个球,2025-10-26 13:20:20,41,0,凉宫理,5,1,115371948378166,4,消失的人,致不灭的你 第三季,Enfin,Enfin
回复 @bili_86806248690 :不死主要是皮欧兰和古古教的，这两人把他当男孩,2025-10-26 19:13:31,36,0,名亚,6,1,115371948378166,4,消失的人,致不灭的你 第三季,bili86806248690,bili86806248690
回复 @LanfongShawn :少年的愿望就是和大家在一起，他很孤独,2025-11-02 07:29:09,78,0,名亚,6,1,115467712856553,5,无法传达的话语,致不灭的你 第三季,LanfongShawn,LanfongShawn
回复 @AZorz0 :这块现代篇后面会说的，漫画也已经完结了，你要不怕剧透我直接说,2025-11-13 21:16:17,9,0,岸边露伴按时交稿,6,1,115490731067117,6,和平的证据,致不灭的你 第三季,AZorz0,AZorz0
hahaha.生命诞生的那一刹刹那，爱已刻录在基因编码,2025-11-09 02:21:26,4,0,爱啦爱啦-,5,1,115490731067117,6,和平的证据,致不灭的你 第三季,hahaha,hahaha
回复 @了可一2号 : https://www.bilibili.com/video/BV1JPY7zJErc?spm_id_from=333.788.videopod.sections&amp;vd_source=854a826e3296d6e61d14c746c731a2f8其实是有番外的,2025-11-29 04:04:42,3,0,穿梭于各个世界的灰鼠,6,1,115507357351995,7,袭击,致不灭的你 第三季,2  httpswwwbilibilicomvideoBV1JPY7zJErcspmidfrom333788videopodsectionsampvdsource854a826e3296d6e61d14c746c731a2f8,2 httpswwwbilibilicomvideoBV1JPY7zJErcspmidfrom333788videopodsectionsampvdsource854a826e3296d6e61d14c746c731a2f8
回复 @Dexukis :漫画的是什么样的？想看,2025-11-22 09:04:44,11,0,心海林楼,4,1,115507357351995,7,袭击,致不灭的你 第三季,Dexukis,Dexukis
回复 @睡不着儿zZ :叩门者具体想表达什么，我也没太看清，不过有一点，我认为，人的幸福，不该由另一方主体去擅自界定，到底什么是乐园，什么是幸福，人和人是不同的，不存在一个所有人都幸福的“乐园”，甚至一个人在不同的生命阶段对幸福的追求也不一样，叩门者用一种粗暴的形式去强迫所有人前往他设计的乐园，那本质上是对人类这一物种的统治与支配,2025-11-23 00:52:30,27,0,搞事耶,6,1,115507374131179,8,麻烦事,致不灭的你 第三季,zZ “”,zZ “ ”
