content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
"Tv动画《葬送的芙莉莲》在b站开始播出了！⚡️
有更多人能够看到这部精彩的作品真令人开心。
我自己也在每周不落地快乐追番《葬送的芙莉莲》，希望大家也能够和作品一起期待ED主题曲《Anytime Anywhere》。

本日からビリビリでTVアニメ『葬送のフリーレン』の放送が開始しました⚡️
より多くの方にこの素晴らしい作品が届くことが私も嬉しいです。
私も毎週かかさず楽しみに観ている『葬送のフリーレン』をEDテーマ「Anytime Anywhere」と一緒ににおたのしみください。",2023-10-24 21:21:19,37445,235,milet_music,6,0,450096728,1,冒险的结束,葬送的芙莉莲,"Tvb

EDAnytime Anywhere

TV

EDAnytime Anywhere",Tvb EDAnytime Anywhere TV EDAnytime Anywhere
milet![打call],2023-10-24 21:28:35,27,0,CRITERIONV,5,1,450096728,1,冒险的结束,葬送的芙莉莲,milet,milet
milet桑love,2023-10-24 21:30:03,10,0,Lsd2jg,6,1,450096728,1,冒险的结束,葬送的芙莉莲,miletlove,miletlove
milet演唱的ED真的好听[打call],2023-10-24 21:30:23,15,0,海月シェル_Official,6,1,450096728,1,冒险的结束,葬送的芙莉莲,miletED,miletED
回复 @MikuMate :[脱单doge],2023-10-26 11:51:35,1,0,次元书馆,6,1,492526141,2,也不一定要是魔法…,葬送的芙莉莲,MikuMate,MikuMate
回复 @想要红光的芙芙lucky :确实，图片放大了能看见中心的五个黑色的花药，就是喜林草的特征[脱单doge],2024-10-15 19:22:59,12,0,EC是屑中之屑,6,1,492526141,2,也不一定要是魔法…,葬送的芙莉莲,lucky,lucky
回复 @纪风Yuuki :下一集,2023-10-25 07:21:36,4,0,稚娘_,6,1,577591433,4,灵魂安眠之地,葬送的芙莉莲,Yuuki,Yuuki
回复 @纪风Yuuki :第6集呢,2023-10-25 09:07:30,2,0,笙声已晚,6,1,577591433,4,灵魂安眠之地,葬送的芙莉莲,Yuuki 6,Yuuki 6
"回复 @安济知佳Off_icial :艾泽才是破不了防，休宝还是会受伤。
但是休宝血贼厚，卖血一流。",2023-10-31 22:24:06,744,0,sonic_3310,6,1,832862369,5,死者的幻影,葬送的芙莉莲,Official,Official
回复 @cehcv :真的像,2023-11-14 20:56:10,0,0,Saber5201314,6,1,663203844,7,童话故事般的人物,葬送的芙莉莲,cehcv,cehcv
回复 @fysgj :她是个木头啊木头……（吸氧）,2023-11-27 08:51:47,15,0,观月盈喵,6,1,366225778,8,葬送的芙莉莲,葬送的芙莉莲,fysgj,fysgj
回复 @Akiraさんん :有坚定意志就能脱困 ，所以啊乌拉才要去头,2025-06-11 13:14:57,19,0,黑白and使者,5,1,921755452,10,强大的魔法使,葬送的芙莉莲,Akira,Akira
hhhhhhh好好笑,2023-12-12 20:32:01,6,0,流沙脆角包,6,1,537125056,11,北方诸国的冬季,葬送的芙莉莲,hhhhhhh,hhhhhhh
回复 @Han_00_ :这是剧情[哦呼],2023-12-12 20:08:00,20,0,油焖菇菇,6,1,537125056,11,北方诸国的冬季,葬送的芙莉莲,Han00,Han00
回复 @Han_00_ : 15:21,2023-12-12 20:09:12,5,0,猴锅来了,6,1,537125056,11,北方诸国的冬季,葬送的芙莉莲,Han00  1521,Han00 1521
回复 @小刘吊打骑马拿腰带 :emm，要按设定来讲的话的确不算，毕竟那是一个有精灵和魔族的世界，真要灭世的话，至少也要世界99％的有机生命全部死亡才算吧，对于女神而言，我认为人类只能算世界构成的一部分，不能代表世界上所有的物种，女神也不是专门为人类服务的（仅代表个人意见）,2024-01-15 21:35:41,125,0,致命一击老谭,5,1,282385889,12,真正的勇者,葬送的芙莉莲,emm99,emm99
BV1pw411t7qU,2024-01-05 22:41:15,8,0,过去已成梦-未来不可qi,6,1,495494010,14,年轻人的特权,葬送的芙莉莲,BV1pw411t7qU,BV1pw411t7qU
回复 @Alice璃白 :漫画很贵的，我买不起,2024-02-07 17:50:28,6,0,恶貓,4,1,495494010,14,年轻人的特权,葬送的芙莉莲,Alice,Alice
回复 @RGlop :[doge],2024-02-03 07:28:25,1,0,佐东步,6,1,1300083593,18,一级魔法使选拔测验,葬送的芙莉莲,RGlop,RGlop
回复 @45376167176_bili :[doge],2024-02-03 10:03:21,2,0,佐东步,6,1,1300083593,18,一级魔法使选拔测验,葬送的芙莉莲,45376167176bili,45376167176bili
"芙莉莲和大家一样又长一岁啦！祝大家新春快乐！幸福安康！点赞评论本条内容，2月29日从评论区抽取3位送出《葬送的芙莉莲》原著漫画简中版5-6册首刷特典版。
为了能够进入北方大陆，芙莉莲一行人必须参加大陆魔法协会的一级魔法使考试。未来的更多冒险可以在漫画中先睹为快。
拜年祭大促中～首刷特典版5-6册:https://b23.tv/UnJ4ncP；1-6册合集:https://b23.tv/Bjb4xk4。7-10册在做呐～",2024-02-12 18:02:55,3923,934,次元书馆,6,0,1300432912,19,周密的计划,葬送的芙莉莲,"229356

56httpsb23tvUnJ4ncP16httpsb23tvBjb4xk4710",229356 56httpsb23tvUnJ4ncP16httpsb23tvBjb4xk4710
