content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
"感谢提名…三部都很对胃口啊，要知道我都25啦…这些年除了刻刻，megalo box 之外再没怎么追过新番了啊…真是谢谢你了
这些年能有剧情过硬，动作戏对胃口，人设不做作，价值观和谐不洗脑，自洽的作品很少了啊，任何一条触雷的话都会欲望大减，两条以上触雷就可以直接弃了…
我承认我看虚构推理是为了女主满满的骚话，进击的女主，以及画风来的…
异度侵入…这个男主的设定…很抓我

思维覆写…纯属好奇接下来故事要怎么讲…审美疲劳中，没敢接着往下看第二集",2020-01-16 22:27:52,1611,0,雅魅安,6,1,83027032,1,只眼只脚,虚构推理,25megalo box,25megalo box
回复 @暴君夜无月 :emmmmm，50米9秒，正常训练过用义肢的都做得到吧？正常初中生满分7~8秒吧?,2020-01-12 04:22:48,2292,0,初级矿工,6,1,83027032,1,只眼只脚,虚构推理,emmmmm50978,emmmmm50978
回复 @Kristen-斯图尔特 :你们这些人不要老是把CV和角色混在一起啊,2020-01-19 12:17:11,980,0,子爷的月,6,1,84049184,2,沼主大蛇听在耳中,虚构推理,Kristen CV,Kristen CV
回复 @Kristen-斯图尔特 :太神了兄弟,2020-01-19 13:18:40,17,0,荧惑小星,6,1,84049184,2,沼主大蛇听在耳中,虚构推理,Kristen,Kristen
回复 @Kristen-斯图尔特 :考哥怒.jpg,2020-01-19 13:27:02,31,0,six心跳男孩,6,1,84049184,2,沼主大蛇听在耳中,虚构推理,Kristen jpg,Kristen jpg
回复 @Kristen-斯图尔特 :考哥很累了&amp;你知道我要说什么？,2020-01-19 16:39:57,28,0,耐扎王,5,1,84049184,2,沼主大蛇听在耳中,虚构推理,Kristen amp,Kristen amp
回复 @pct0628 :漫画,2020-02-02 02:52:30,39,0,OverideaHQ,6,1,86204580,4,偶像死于钢筋,虚构推理,pct0628,pct0628
回复 @bili_76121441769 :网吧老板又怎么了[doge],2020-02-02 02:53:54,29,0,不懂啥的鱼,6,1,86204580,4,偶像死于钢筋,虚构推理,bili76121441769,bili76121441769
画好了么？没有？还不快给lz画，gkd[妙啊][doge],2020-02-02 02:56:59,201,0,犹如星尘,6,1,86204580,4,偶像死于钢筋,虚构推理,lzgkd,lzgkd
gkd gkd[妙啊],2020-02-02 03:06:59,31,0,KivenXxx,6,1,86204580,4,偶像死于钢筋,虚构推理,gkd gkd,gkd gkd
日本好多这种吧，往前说有靠网络上的二创来获得能力，只要有一定点赞数就能成为现实的军姬（re creaters）。再往前夏目第一季第二集的露神还有野良神里神的设定都是只要有人记住就存在。只能说文化里就比较唯心了。,2020-02-02 05:51:16,96,0,雾锁溪云,6,1,86204580,4,偶像死于钢筋,虚构推理,re creaters,re creaters
回复 @Anirako :上天。。。,2020-02-09 20:41:25,395,0,不喜欢起名字的某人,6,1,87659080,5,想象力的怪物,虚构推理,Anirako,Anirako
回复 @S1te-Sakura :是堂姐吧,2020-02-10 01:36:32,12,0,骨我大吃一口,6,1,87659080,5,想象力的怪物,虚构推理,S1teSakura,S1teSakura
回复 @XM_Blues :然而还是没有第二季[无语][大哭],2020-02-16 02:58:43,41,0,妖兰小姐想睡懒觉,6,1,89308847,6,合理性虚构,虚构推理,XMBlues,XMBlues
回复 @ListenerByDaDa :我是觉得他会悄悄离开,2020-02-16 04:24:57,25,0,狐狸先生Listener,6,1,89308847,6,合理性虚构,虚构推理,ListenerByDaDa,ListenerByDaDa
"FBI,open the door[doge]",2020-02-23 02:35:01,22,0,噩梦梦,6,1,90986869,7,钢人攻略战准备,虚构推理,FBIopen the door,FBIopen the door
uuulmjtkmkmknmjjlkmim,2023-02-12 19:29:41,0,0,神大人RE666,6,1,92786989,8,构筑虚构之人,虚构推理,uuulmjtkmkmknmjjlkmim,uuulmjtkmkmknmjjlkmim
"n

nml",2023-02-12 19:30:46,0,0,神大人RE666,6,1,92786989,8,构筑虚构之人,虚构推理,"n

nml",n nml
"回复 @飘渺的羽翼 :m？没毛ikmm
/kpl/ko",2023-02-12 19:33:10,0,0,神大人RE666,6,1,92786989,8,构筑虚构之人,虚构推理,"mikmm
kplko",mikmm kplko
回复 @神大人RE666 :买买买。l,2023-02-12 19:33:49,0,0,神大人RE666,6,1,92786989,8,构筑虚构之人,虚构推理,RE666 l,RE666 l
哦 aLkr？。lolnllkmujmm,2023-02-12 19:36:52,0,0,神大人RE666,6,1,92786989,8,构筑虚构之人,虚构推理,aLkrlolnllkmujmm,aLkrlolnllkmujmm
回复 @神大人RE666 :jjkkmmmm,2023-02-12 19:38:01,0,0,神大人RE666,6,1,92786989,8,构筑虚构之人,虚构推理,RE666 jjkkmmmm,RE666 jjkkmmmm
"n.jlm
. l
/救命救。没。nmmmm
 
9mm
pl/",2023-02-12 19:41:03,0,0,神大人RE666,6,1,92786989,8,构筑虚构之人,虚构推理,"njlm
 l
nmmmm
 
9mm
pl",njlm l nmmmm 9mm pl
回复 @Serien丶愉情 :哈哈哈，果然可以,2020-03-15 02:32:55,1,0,地狱之魇,6,1,96372171,10,争夺虚构,虚构推理,Serien,Serien
回复 @IWUMINGI :确实，如果我是动画党的话看完这集可能就弃番了，推理过于扯淡[捂脸],2020-03-15 03:22:37,114,0,两只兔子9,6,1,96372171,10,争夺虚构,虚构推理,IWUMINGI,IWUMINGI
"在鬼灭之刃中:女主CV只要嘤嘤嘤就行，
在虚构推理中:女主CV几乎每集都要从头说到尾，
所以说这就是风水轮流转啊，鬼灭中欠的台词就这么在虚构推理中给补了回来，[蛆音娘_滑稽]",2020-03-22 02:00:08,25054,191,今天又是核平的一天啊,6,0,98285600,11,最后的虚构,虚构推理,"CV
CV",CV CV
ka wa a da~[doge],2020-04-08 20:36:29,4,0,飞酋鸟都凑不到,6,1,497612772,12,秩序守护者,虚构推理,ka wa a da,ka wa a da
回复 @FFF团团长须川_亮 :wa aaaaaaaaaaaa kimiwa [doge],2021-06-21 15:45:27,34,0,正在偷吃牢大,6,1,497612772,12,秩序守护者,虚构推理,FFF wa aaaaaaaaaaaa kimiwa,FFF wa aaaaaaaaaaaa kimiwa
回复 @MakiseKurisu丨 :干嘛啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊~奥!,2021-09-27 03:40:53,7,0,摸鱼断网66郎,5,1,497612772,12,秩序守护者,虚构推理,MakiseKurisu,MakiseKurisu
banana？[滑稽],2020-03-29 13:14:59,83,0,墙角里的小人,6,1,497612772,12,秩序守护者,虚构推理,banana,banana
回复 @橘子--orange :琴子开的是教练车，副驾驶是九郎,2020-03-31 22:30:12,891,0,元素周期表第四位,6,1,497612772,12,秩序守护者,虚构推理,orange,orange
