content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
回复 @hongyuu :开公司是被信任的人背叛了吧,2023-01-16 19:05:59,28,0,扪捷列夫,5,1,565174593,2,雪女的窘境,虚构推理 第二季,hongyuu,hongyuu
回复 @FTTsss :种田.JPG[脱单doge],2023-01-22 23:38:00,11,0,沈-幼楚,6,1,820415841,3,雪女的不在场证明,虚构推理 第二季,FTTsss JPG,FTTsss JPG
打灰遇到假面骑士buffa[doge],2023-01-23 09:58:45,33,0,本人精神状态Max,6,1,820415841,3,雪女的不在场证明,虚构推理 第二季,buffa,buffa
回复 @Ckdemper :想象一下 你是一个一直隐瞒身份的怪物 你从前的爱人知道你的身份之后极度害怕甚至无法直视肉 这时候出现一个人说 你是怪物怎么了 你是怪物我也爱你 很自然就会被感动,2023-01-30 20:43:51,713,0,执意心碎,6,1,523414730,4,雪女的纯真,虚构推理 第二季,Ckdemper,Ckdemper
回复 @白幻Ashley :原来还有这层意思...,2023-01-30 22:10:57,18,0,Ckdemper,6,1,523414730,4,雪女的纯真,虚构推理 第二季,Ashley,Ashley
回复 @bili_22961401882 :滑鬼头吧，现代妖鬼，爱吃醋的雪女我能想到的就这个动漫了,2023-01-30 00:27:24,73,0,鸡械化骑士,6,1,523414730,4,雪女的纯真,虚构推理 第二季,bili22961401882,bili22961401882
回复 @剑雪ALYAS :我是故意的(骄傲脸.jpg),2023-02-08 13:14:56,4,0,爱琳玲,6,1,393620438,5,六花归来,虚构推理 第二季,ALYAS jpg,ALYAS jpg
takina,2023-05-29 00:51:50,0,0,灯子的小糸侑,5,1,393620438,5,六花归来,虚构推理 第二季,takina,takina
回复 @BILIBILI斜眼笑 :选择概率很大的世界线是可以成功的。也就是说本来就有90%概率活下来的话，她可以直接变成百分百。,2023-02-17 21:45:05,144,0,欧阳闰水,6,1,393620438,5,六花归来,虚构推理 第二季,BILIBILI 90,BILIBILI 90
回复 @Carden和Cyan :上一季因为六花造的偶像，篇幅上花的钱太多了。[藏狐],2023-02-13 18:51:34,106,0,小猫解猫1,6,1,309088255,6,电击匹诺曹,虚构推理 第二季,CardenCyan,CardenCyan
我倒是提出了另一种可能：老头子甚至有可能是想帮婆婆完成“夙愿”才把她的名字也刻上去的，毕竟老婆婆也说了，她曾经想suicide但是没有勇气[嗑瓜子],2023-02-20 13:24:55,35,0,Ænima,6,1,694436378,7,也可向星星许愿,虚构推理 第二季,“”suicide,“ ” suicide
回复 @AtomCannon :[笑哭]他嘴硬也是套路，要不是琴子也很喜欢他，实在是有点卑微了。,2023-02-27 03:54:47,41,0,薛宝钗三拳打死伏地魔,6,1,694436378,7,也可向星星许愿,虚构推理 第二季,AtomCannon,AtomCannon
回复 @滨海路崎惟我步 :从樱川九郎到蛇贺池照（考哥.jpg）不过mamo没有卡米亚（里道大哥哥）那么丧哈哈哈,2023-02-28 12:26:37,9,0,IrrationalStone,5,1,949848406,8,然后支配者消失了,虚构推理 第二季,jpgmamo,jpgmamo
cv22069500,2023-03-01 22:37:24,60,0,樱尤酱,2,1,949848406,8,然后支配者消失了,虚构推理 第二季,cv22069500,cv22069500
回复 @DYS广东李浩宇 : hhh我二倍速看，因为看过漫画了[doge],2023-03-07 21:46:27,1,0,-帕西瓦尔-,6,1,352848060,9,沉默的孩子们,虚构推理 第二季,DYS  hhh,DYS
孙女：time vent！,2023-04-09 23:56:13,4,0,人活着就为了真中,6,1,439553456,10,不受欢迎的评判者,虚构推理 第二季,time vent,time vent
"回复 @DDkill :不能要求每个人都在这段时间提前要求别人看过嘛
而且即使是没看之后剧情，这番理论也非常具有观赏性不是[脱单doge]",2023-04-09 23:34:33,44,0,赤眼虎石,6,1,439553456,10,不受欢迎的评判者,虚构推理 第二季,DDkill,DDkill
ed是真的好听啊，打游戏也一直在听，一晚上就循环了好多遍，谁懂啊mamo的声音真的好好听[喜欢][喜欢],2023-04-17 01:53:16,65,3,南梦芽official,6,0,527060006,11,沉睡的谋杀案,虚构推理 第二季,edmamo,edmamo
回复 @酷菈骛kurau :安卓党大胜利[脱单doge],2023-04-17 12:02:09,1,0,南梦芽official,6,1,527060006,11,沉睡的谋杀案,虚构推理 第二季,kurau,kurau
回复 @Acirno :我……,2023-04-24 09:23:58,1,0,玄木-雷樱斯特,6,1,824608502,12,鳗鱼餐馆的幸运日,虚构推理 第二季,Acirno,Acirno
