content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
"虽然人的xp是自由的.jpg
[doge]",2021-01-15 21:31:28,798,0,芙莉蓮,6,1,628628506,2,我「家」，十万火急？,转生成蜘蛛又怎样！,xpjpg,xpjpg
回复 @AlitaBattleAngel :但最起码得是同类.jpg,2021-01-15 21:51:31,55,0,皇琊,5,1,628628506,2,我「家」，十万火急？,转生成蜘蛛又怎样！,AlitaBattleAngel jpg,AlitaBattleAngel jpg
回复 @AlitaBattleAngel :不懂就问xp是什么,2021-01-15 21:57:54,4,0,纳西Naxi,6,1,628628506,2,我「家」，十万火急？,转生成蜘蛛又怎样！,AlitaBattleAngel xp,AlitaBattleAngel xp
"虽然人的xp是自由的
但是我还是建议你去看医生.jpg[doge]",2021-01-15 22:01:07,58,0,陆鱼_,6,1,628628506,2,我「家」，十万火急？,转生成蜘蛛又怎样！,"xp
jpg",xp jpg
回复 @AlitaBattleAngel :但是人不是，至少不应该,2021-01-15 22:02:29,11,0,幼儿园之我是大哥大,6,1,628628506,2,我「家」，十万火急？,转生成蜘蛛又怎样！,AlitaBattleAngel,AlitaBattleAngel
回复 @17308802891_bili :那个是半年吧，是因为蜘蛛长的快，而且成长周期短，如果差着十几年，那遇到吸血子和鬼人兄他们咋算，吸血子可是萝莉呀,2021-02-07 00:24:57,4,0,美好之时只在昨日,6,1,928958501,4,猴子，嚯啊？,转生成蜘蛛又怎样！,17308802891bili,17308802891bili
欢迎收看《关于我即使害怕蜘蛛也点了追番，还想把女主当老婆的这件事》cv9659905,2021-02-05 22:16:45,15,0,酱酱の喵,6,1,374012465,5,鲶鱼，好吃吗？,转生成蜘蛛又怎样！,cv9659905,cv9659905
"回复 @夢中猫 :楼主阅读了博人传
火焰抗性提升了↑↑↑（Lv.MAX）",2021-02-20 09:26:02,78,0,JYasone,6,1,289353333,7,王子一行，讴歌青春？,转生成蜘蛛又怎样！,LvMAX,LvMAX
回复 @72099393120_bili :搜番名就行了,2021-02-27 12:19:19,0,0,指缝的影子,6,1,671926625,8,我，死了？,转生成蜘蛛又怎样！,72099393120bili,72099393120bili
回复 @血陌宇 :可这明显很多都是文库的剧情，这nt制作组非要乱删改加什么web，web明明很多剧情跟文库完全不同的，成神吸血子后宫等等，这种乱改不就会导致后面剧情bug，文库后面D可是认为漆原就是在搞怪，算不上霸凌，看她好玩才把她转成地龙来着，这制作组真的有病吧？前面地竜被提前导致后面由古被直接放走就很有问题来着，明明小说里由古是地竜来袭趁乱跑的就很合理，他这里改成说什么避免2国家打架，那由古袭杀修那就不是大问题了？而且小说里还有因为蜘蛛子这个借口而打起来的国家，明摆着这个世界的国家就不该是这种想要和平平稳处事的，我是真的服了，删改那么多了剧情已经够差的了，还要web跟文库合在一起那不是添更多剧情bug？,2021-02-27 13:24:28,116,0,指缝的影子,6,1,671926625,8,我，死了？,转生成蜘蛛又怎样！,ntwebwebbugD2webbug,ntwebwebbugD2webbug
