content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
回复 @bili_28474608513 :刀剑不是延期了吗？,2020-04-12 12:30:30,18,0,空白dd3,6,1,412647604,1,早坂爱想要守住/学生会没有成神/辉夜大小姐想结婚/辉夜大小姐想要庆祝,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,bili28474608513,bili28474608513
回复 @bili_28474608513 :@bili_28474608513 延期了好像,2020-04-12 13:12:51,2,0,零艺Citrine,6,1,412647604,1,早坂爱想要守住/学生会没有成神/辉夜大小姐想结婚/辉夜大小姐想要庆祝,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,bili28474608513 bili28474608513,bili28474608513 bili28474608513
"相信蹲点守候的各位都已经看完了吧[吃瓜]
来盘点一下《辉夜大小姐》在B站的战绩吧

2019年：攻陷动画区，音乐区，舞蹈区，鬼畜区等，热度极高，同人作品和二次创作等大量涌出

2020年：按时开播",2020-04-12 00:25:02,53966,174,长尾巴的景虎,6,0,412647604,1,早坂爱想要守住/学生会没有成神/辉夜大小姐想结婚/辉夜大小姐想要庆祝,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,"B

2019

2020",B 2019 2020
回复 @舒升1 :回复 @xxxxxxx夏末 :漫画党良心预警:漫画137话～160话白辉高潮部分，看之前可以简单补一下135，136大致了解一下背景，毕竟都是大部分番的俗套剧情，170，175二人表白后巨齁巨齁(鲨的狗不能自理的级别)的日常桥段，175之后没什么亮点剧情，作者在为下个事件攒大招中，上述bilibili漫画送的券加起来不超过10块钱就能看，送我上去，节省你们的漫币，定心丸，解决那些干着急的弟兄,2020-04-26 00:55:52,2927,0,-徐小谋-,6,1,497893249,3,白银御行想仰望/第67期学生会/辉夜大小姐不想称呼,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,1  xxxxxxx 137160135136170175175bilibili10,1 xxxxxxx 137160135136170175175bilibili10
回复 @balmungの :其实不是整个高二，他们第一学期是春季学期（四月开学），第二学期（九月开学）才是选举，也就是说白银是高一的第二学期当选，然后升入高二之后石上加入，所以石上说他只做了半年,2020-04-26 00:58:46,317,0,匿名君Official,6,1,497893249,3,白银御行想仰望/第67期学生会/辉夜大小姐不想称呼,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,balmung,balmung
輝夜第二季ED主題曲完整版指路BV1mk4y1r78U 福原遙演唱,2020-04-26 01:08:36,35,0,AHWSL,4,1,497893249,3,白银御行想仰望/第67期学生会/辉夜大小姐不想称呼,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,EDBV1mk4y1r78U,EDBV1mk4y1r78U
回复 @cx1501 :并没有。。。,2020-05-03 06:34:22,49,0,小莫的妈,6,1,370380004,4,早坂爱想拿下/辉夜大小姐想“被”告白/伊井野弥子想要端正,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,cx1501,cx1501
回复 @Nietzsche7 :同人大法好，幼儿园老师早坂爱参上,2020-05-03 10:08:37,33,0,沧浪渔甫,6,1,370380004,4,早坂爱想拿下/辉夜大小姐想“被”告白/伊井野弥子想要端正,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,Nietzsche7,Nietzsche7
回复 @Heart桑 :这是为了辉夜是没错，但是这是为了配的上辉夜做出的努力，但是为了好感没这一回事，因为白银并不知道辉夜喜欢自己凶恶的眼神[小电视_笑],2020-05-10 00:55:00,137,0,京津潍坊,6,1,328123236,5,白银御行想受欢迎/柏木渚想要安慰/白银御行想唱歌/辉夜大小姐想踢下去,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,Heart,Heart
回复 @YvDdd :主要还是辉夜觉醒了特殊的xp[奸笑]虽说情人出西施，但最重要的还是因为迷上了眼神，当初越讨厌，现在就越喜欢，反而成了特殊的xp,2020-05-10 01:03:40,58,0,盘胧18,6,1,328123236,5,白银御行想受欢迎/柏木渚想要安慰/白银御行想唱歌/辉夜大小姐想踢下去,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,YvDdd xpxp,YvDdd xpxp
回复 @盘胧18 :我觉得应该是先喜欢上会长再觉醒xp的吧！( ´_ゝ｀)辉夜喜欢凶凶的眼神想必也是因为这是会长的一大特色吧。辉夜在会长变化后也努力的接受了，还说虽然凶狠的眼神没了但起码会长可以从学生会里的劳务里解脱出来，动画表现太赶时间里，但漫画的种种细节描写都能体现这真的是真爱啊！！,2020-05-10 01:08:17,69,0,YvDdd,6,1,328123236,5,白银御行想受欢迎/柏木渚想要安慰/白银御行想唱歌/辉夜大小姐想踢下去,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,18 xp,18 xp
学逗了，看一下这一集的漫画对比cv6091904，可否？,2020-05-17 01:19:09,54,0,策去-亚德雷特,6,1,540651616,6,不让伊井野弥子被嘲笑/想让伊井野弥子笑/辉夜大小姐没被叫到,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,cv6091904,cv6091904
回复 @GEOTCBRL :毕竟是姨婆啊[doge],2020-05-17 07:44:59,1,0,火棍萨波,6,1,540651616,6,不让伊井野弥子被嘲笑/想让伊井野弥子笑/辉夜大小姐没被叫到,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,GEOTCBRL,GEOTCBRL
实在是让人dokidoki啊,2020-05-24 02:01:16,51,0,Milesjerry,6,1,328351690,7,辉夜大小姐想让他脱下/辉夜大小姐想让他释放/白银御行想让她读/辉夜大小姐❤水族馆,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,dokidoki,dokidoki
