content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
回复 @-0-0-lin :捉虫，两个。,2019-10-05 21:24:27,49,0,克罪凡,6,1,69803626,1,这个勇者过于傲慢,这个勇者明明超强却过分慎重,00lin,00lin
回复 @piekn :禁止禁止套娃,2019-10-07 04:57:30,11,0,老色蚊,6,1,69803626,1,这个勇者过于傲慢,这个勇者明明超强却过分慎重,piekn,piekn
"三集过去了
魔王战绩：平民x1
勇者战绩：村庄x1 教会x1 剑神x1 魔界四天王x1  不死族x1 平民x1 史莱姆x1
勇者人神魔三界大杀特杀",2019-10-24 15:41:24,4633,0,天堂小妖,6,1,73158511,3,这个勇者过于自说自话,这个勇者明明超强却过分慎重,"x1
x1 x1 x1 x1  x1 x1 x1",x1 x1 x1 x1 x1 x1 x1 x1
感觉能打过这个s级世界的也就慎勇这种过分慎重和拥有无限sl大法的玩家了，坑多得就是一iwanna啊可恶！,2019-10-31 01:04:12,2405,0,1q喵,6,1,73945466,4,同伴什么的过于不需要,这个勇者明明超强却过分慎重,ssliwanna,ssliwanna
回复 @bravekiwi :不一样，这里动漫里的设定就是只有圣剑能对魔王造成伤害，十号那个辰东给留了一条活路走的，说白了就是作者想干啥就干啥[doge],2019-11-14 00:08:56,61,0,秋小池-,5,1,75562908,6,明明是龙王却过于赖皮,这个勇者明明超强却过分慎重,bravekiwi,bravekiwi
回复 @bravekiwi :？只有这把剑能击败魔王是这个世界的设定，别的方法是超脱于这个世界之外的，你为什么非要yy说在这个世界观下有更好的方法？说实话天狱门完全是作者为了圆回来搞出的bug，这只是个人利益服从与集体利益罢了，没有绝对正确和错误的,2019-11-14 00:11:21,60,0,Quanta-,6,1,75562908,6,明明是龙王却过于赖皮,这个勇者明明超强却过分慎重,bravekiwi yybug,bravekiwi yybug
回复 @Quantumest :所以不能从结果论讨论问题啊！,2019-11-14 00:14:09,1,0,bravekiwi,6,1,75562908,6,明明是龙王却过于赖皮,这个勇者明明超强却过分慎重,Quantumest,Quantumest
"回复 @bravekiwi :&#39;&#39;一把剑就能解决问题了吗？&#39;&#39;
没错，在作者的设定里，这把剑还真就能解决问题，如果你非要说什么有太多不确定因素或者有别的更强的剑之类的导致这把剑不能解决问题，那就是在超越作者设定的范围内讨论问题，我觉得没有意义，小说里的世界又不是现实。我只是就事论事的指出你对设定的不了解而已",2019-11-14 00:27:45,20,0,Quanta-,6,1,75562908,6,明明是龙王却过于赖皮,这个勇者明明超强却过分慎重,bravekiwi 39393939,bravekiwi 39393939
回复 @LuminalT :男主的戏份也没有女主多，有时候还会掉线，没有多的戏份给男主去和其他女人谈情说爱，也不符合作品的夫妇相声设定和男主人设。,2019-11-21 03:47:09,42,0,希露卡LL,6,1,76392635,7,这女骑士过于像狗,这个勇者明明超强却过分慎重,LuminalT,LuminalT
因为第一个世界男主只看到b级世界的结局，记忆不全，而且公主老婆长得和转世后的女神相貌不一样，所以男主没认出女主是他老婆对女主态度不怎么好，后面打完盖亚布兰德的boss后男主才知道女主是他老婆的转世，下一个ss级世界再召唤时男主还记得女主并且虽然傲娇但是态度好了很多[doge],2019-11-21 20:54:19,21,0,JZRDYD,6,1,76392635,7,这女骑士过于像狗,这个勇者明明超强却过分慎重,bbossss,bbossss
回复 @坂木Sakaki :明明是飞天大焯,2025-10-15 14:37:38,39,0,骑士白宸参上,6,1,77241823,8,看似清纯却过于X乱,这个勇者明明超强却过分慎重,Sakaki,Sakaki
@LabMemNo_04,2026-04-10 19:35:58,0,0,Q小益Q,5,1,77241823,8,看似清纯却过于X乱,这个勇者明明超强却过分慎重,LabMemNo04,LabMemNo04
