content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
回复 @C1rkU3c :真牛逼,2022-10-22 22:57:04,5,0,天空的裁缝师,5,1,474335517,1,任务1 <枭>行动,间谍过家家 中配版,C1rkU3c,C1rkU3c
回复 @TFBOYS1113号 :地,2022-10-29 22:03:04,1,0,TFBOYS1113号,6,1,261753014,2,任务2 寻找妻子,间谍过家家 中配版,TFBOYS1113,TFBOYS1113
把激动激动换回wakuwaku就完美了,2022-11-13 02:21:23,6,0,天水流沙,6,1,431836957,3,任务3 准备考试,间谍过家家 中配版,wakuwaku,wakuwaku
回复 @PicFun :台词跟机翻一样，所以怪怪的,2022-12-10 23:11:48,4,0,叶不羁丶,6,1,431836957,3,任务3 准备考试,间谍过家家 中配版,PicFun,PicFun
回复 @动漫爱好者trample :大电影就是的，但番剧的话就不知道了,2024-08-27 17:43:17,0,0,Genesis-昂,5,1,431836957,3,任务3 准备考试,间谍过家家 中配版,trample,trample
回复 @Maggie_shgan :我觉得旁白还行吧，本身旁白就是要客观,2024-12-04 22:47:11,1,0,HZ12I38,5,1,347171568,5,任务5 能否合格,间谍过家家 中配版,Maggieshgan,Maggieshgan
回复 @阿斯图里亚斯legend :[doge],2022-11-27 08:00:12,1,0,十二年奥粉一枚,5,1,432150415,6,任务6 交友行动,间谍过家家 中配版,legend,legend
回复 @Sparkle斯巴扣 :我还以为秦霄贤呢,2023-04-09 20:20:42,1,0,何字共七笔,3,1,432150415,6,任务6 交友行动,间谍过家家 中配版,Sparkle,Sparkle
回复 @grwef :冷知识：这番有个长的像艾美的角色[doge],2022-11-26 21:40:20,5,0,暗月教,6,1,432150415,6,任务6 交友行动,间谍过家家 中配版,grwef,grwef
回复 @亿只大Mouse :什么瓜体[doge],2022-12-05 14:04:48,27,0,水果太妃什锦苏心糖,6,1,262234897,7,任务7 目标的次子,间谍过家家 中配版,Mouse,Mouse
都有      仰望 仰望仰望  www我想要在你想想   我我    9仰望我 我  我想问一下写作业写作业我  恶,2025-02-25 04:16:48,0,0,iBravo,6,1,262234897,7,任务7 目标的次子,间谍过家家 中配版,www       9,www 9
fox9我 我我  我我想问一下 仰望 我想要在 我  我  仰望我 www  我仰望 99    我想要在  我想要在 我想要在YY9  我想要在www 我9  www9仰望仰望www9 www9我我我我9仰望wwwYY99  9    wwwwww 仰望 哦哟我,2025-02-25 04:17:01,0,0,iBravo,6,1,262234897,7,任务7 目标的次子,间谍过家家 中配版,fox9           www   99       YY9  www 9  www9www9 www99wwwYY99  9    wwwwww,fox9 www 99 YY9 www 9 www9www9 www99wwwYY99 9 wwwwww
wo22ne,2022-12-24 21:43:59,3,0,冥毒禾古,6,1,219637261,10,任务10 躲避球大作战,间谍过家家 中配版,wo22ne,wo22ne
回复 @音无结旋QAQ :25啊,2022-12-25 10:10:34,0,0,XYF为,6,1,219637261,10,任务10 躲避球大作战,间谍过家家 中配版,QAQ 25,QAQ 25
回复 @coonsnanu :快乐,2026-01-28 23:29:35,0,0,kepler725c,6,1,859695625,11,任务11 <星>,间谍过家家 中配版,coonsnanu,coonsnanu
回复 @visions枭龙 :从这些例子来看，美国真是敢想敢干[doge],2025-04-06 09:20:04,0,0,Zudica,6,1,309738018,14,任务14 拆除定时炸弹,间谍过家家 中配版,visions,visions
回复 @Lumos_xc :[喜羊羊·筐出未来_比心],2023-03-09 18:36:47,0,0,小灰灰之声,6,1,309738018,14,任务14 拆除定时炸弹,间谍过家家 中配版,Lumosxc,Lumosxc
回复 @9unlucky :是狼王之子[喜羊羊·筐出未来_比心],2023-03-09 18:36:51,0,0,小灰灰之声,6,1,309738018,14,任务14 拆除定时炸弹,间谍过家家 中配版,9unlucky,9unlucky
"回复 @思雨予君倾 :其一：春物的梗 
几年前的一部番了  《我的青春恋爱物语果然有问题》
黄昏，约尔，夜帷三个人的cv 在《春物》里分别配了 
男主（比企谷八幡——cv江口拓也） 
女主（雪之下雪乃——cv早见沙织） 
学妹（一色彩羽——cv佐仓绫音）  而团子 则是这部作品的另一个被网友广泛熟知的角色
由比滨结衣（cv东山奈央） 可能是因为丸子头的缘故 被网友称为团子   整段故事的前期或许大概可能也许是最有机会赢的人 可是后来 架不住作者的安排 被写成了败犬 （ACG圈里 有“团不过”这么一说  就是这么来的）

其二：团子 ，团子……大家族
是出自一部名叫《Clannad》的致郁（致郁）番 
不光番火出圈了  这首歌也是",2023-11-27 18:50:11,18,0,心の镜,6,1,568020523,18,任务18 家庭教师舅舅 | <东云>,间谍过家家 中配版,"cv  
cv 
cv 
cv   
cv         ACG “”  

 
Clannad",cv cv cv cv cv ACG “ ” Clannad
回复 @icewolf00 : 斗子哥来改申鹤的卷子了[doge],2023-03-30 19:56:47,7,0,危险篷,6,1,568020523,18,任务18 家庭教师舅舅 | <东云>,间谍过家家 中配版,icewolf00,icewolf00
回复 @冉风儿 :夜维的日配cv是佐仓绫音  春物里由比滨结衣的cv也是佐仓绫音  而这个人物被广大网友称为团子,2023-04-13 18:37:31,3,0,心の镜,6,1,951967962,19,任务19 对德斯蒙复仇计划 | 母亲，幻化成风,间谍过家家 中配版,cv  cv,cv cv
回复 @Exploder-03 :[藏狐],2024-07-26 10:19:42,0,0,爱烧鱼的明宝,5,1,739856242,21,任务21<夜帷> | 第一次嫉妒,间谍过家家 中配版,Exploder03,Exploder03
回复 @fjlihdy :花生[吃瓜],2024-11-03 11:01:11,0,0,爱烧鱼的明宝,5,1,739856242,21,任务21<夜帷> | 第一次嫉妒,间谍过家家 中配版,fjlihdy,fjlihdy
Hhhhh,2026-01-18 15:53:32,0,0,和未何为,3,1,909830456,23,任务23 坚定不移的轨道,间谍过家家 中配版,Hhhhh,Hhhhh
