content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
原来我读的zhen（四声）兔 真hu（二声）,2020-10-02 02:14:53,46,0,CK沉木,6,1,414809347,3,锖兔与真菰,鬼灭之刃 中配版,zhen hu,zhen hu
回复 @炎上Z-Loner :企图让父母通过看番学会日语后带他们去日本旅游的我[吃瓜],2020-10-02 02:50:20,108,0,建筑社奶椰naiye,6,1,457367853,4,最终选拔,鬼灭之刃 中配版,ZLoner,ZLoner
gkdgkd,2020-10-02 08:14:05,0,0,Hansoner,6,1,457367853,4,最终选拔,鬼灭之刃 中配版,gkdgkd,gkdgkd
把它看了一遍，同意一位老哥的观点，要是翻译能口语化一点就更好了。比如炭治郎拿面时说了句“十分感谢”，让我少了一点代入感，平常我们习惯说一句“谢谢”，已经足够了。中配版面向的观众是我们，要是台词也能向我们的口语靠拢，绝对能让“中配”二字亮眼不少。一直记得以前老师举的一个例子，幸运儿翻译成英语是“lucky dog”，这就是习惯了。引用一句我看过的翻译书上的原话“优秀的译者，还应对双语的文化具有足够的敏感性，才不至于在翻译时出现‘死译’、‘硬译’的现象”。,2020-10-17 00:44:38,282,0,难哥灬,6,1,927476430,7,鬼舞辻无惨,鬼灭之刃 中配版,“”“”“”“lucky dog”“‘’‘’”,“ ” “ ” “ ” “ lucky dog ” “ ‘ ’ ‘ ’ ”
回复 @bili_43158652963 :第25集标题[蛆音娘_卖萌],2020-11-01 16:09:01,2,0,血梦神愿,6,1,755050549,12,野猪露牙 善逸沉睡,鬼灭之刃 中配版,bili43158652963 25,bili43158652963 25
回复 @bili_43158652963 :是梨花落香奈乎，虫柱蝴蝶忍的继子，用的是花之呼吸。接下来会在第二十一集十五分三十五秒出场。如果好奇的话可以先去看看日配，是个很可爱的女孩子,2020-11-01 16:40:15,5,0,Dample-,6,1,755050549,12,野猪露牙 善逸沉睡,鬼灭之刃 中配版,bili43158652963,bili43158652963
回复 @-AURONRA- :鸣女真的是全方位碾压响凯[笑哭]毕竟上弦,2020-11-07 08:30:33,43,0,是大白耶丶,6,1,797734308,13,比生命更重要的东西,鬼灭之刃 中配版,AURONRA,AURONRA
回复 @999BKKK :最近刚看完中文版还是记得的 不过换重力我感觉吊一点[歪嘴],2020-11-07 15:57:16,1,0,奥术彗星触发先攻,6,1,797734308,13,比生命更重要的东西,鬼灭之刃 中配版,999BKKK,999BKKK
好id，远子学姐yyds！,2020-11-28 00:16:25,1,0,冰心灬莉莉艾,6,1,372994784,19,火神,鬼灭之刃 中配版,idyyds,idyyds
我TM直接six,2020-11-29 18:35:38,2,0,每天一giao,5,1,885413957,20,拼凑的家人,鬼灭之刃 中配版,TMsix,TMsix
