content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
回复 @Autism南风 :不动了,2021-11-18 14:27:23,4,0,Autism南风,5,1,676643891,1,炎柱 炼狱杏寿郎,鬼灭之刃 无限列车篇,Autism,Autism
回复 @夕颜cat :[滑稽]纠正一下，音柱不是说做我继子吧，而是对阵上六的时候为了虚张声势说他们三个是我优秀的继子(暗示配合好)，然后弹幕都是“上一个说要收他们当继子的已经。。。”,2021-11-24 20:47:07,988,0,饭事屋老板,6,1,549259476,2,沉眠,鬼灭之刃 无限列车篇,cat “”,cat “ ”
回复 @楊宇曦 :我怎么觉得我又误解了你的意思呢？？？？（/TДT)/（/TДT)/（/TДT)/我敲！！！！我让我身边一屋子的空气都陷入了尴尬！！！！！大哥说的是好吃！！！这是他独特的萌点！！！（我猜大哥并不是所有的东西都会说好吃的(^・ω・^ )）不过，如果是好朋友，亲近的人做的事物，我相信大哥也会大声的说出：唔麦一！！！(°∀°)ﾉ希望大哥每时每刻都能用自己热情似火的态度，正义凛然的作风感化他人！！！(∂ω∂)大哥是我的偶像！同时也是我的榜样！(・ω&lt; )★,2021-11-24 22:31:18,4,0,只是个rison,5,1,549259476,2,沉眠,鬼灭之刃 无限列车篇,TTTTTT lt,TTTTTT lt
剧场版票房不也很好吗（查了一下是288亿日元……第一季bd销量也有500w），资金无比充足，还是给剧场版的基础上再做补充，肉眼可见的经费燃烧,2021-11-24 22:22:16,320,0,Noiz椅椅日记,6,1,549259476,2,沉眠,鬼灭之刃 无限列车篇,288bd500w,288bd500w
回复 @ChairyPonPon :然而全球票房是500亿日元，你这数据过时了,2021-11-24 22:35:26,54,0,bili_453176456,5,1,549259476,2,沉眠,鬼灭之刃 无限列车篇,ChairyPonPon 500,ChairyPonPon 500
回复 @57541806854_bili :是想象啊喂[笑哭],2021-12-01 21:18:17,14,0,赤色の星,6,1,252036485,3,本来,鬼灭之刃 无限列车篇,57541806854bili,57541806854bili
轰隆轰隆轰隆轰隆～~Duang,2021-12-01 21:33:39,13,0,痞帅的小夏木,6,1,252036485,3,本来,鬼灭之刃 无限列车篇,Duang,Duang
回复 @津田健次郎officiaI :这个片段具体在哪？,2021-12-22 23:18:53,10,0,仓鼠牙签,5,1,252455360,5,前进,鬼灭之刃 无限列车篇,officiaI,officiaI
回复 @Tomorrow柳 :那是没有三件套的情况下，没有三件套的猪猪和香奈乎都没有杀掉一个，有三件套的柱完全不怕童磨，来一个三件套的风哥一个恋或霞，就能打赢。,2021-12-22 23:06:33,247,0,雾山土行赛高,6,1,252455360,5,前进,鬼灭之刃 无限列车篇,Tomorrow,Tomorrow
回复 @雾山土行赛高 :我看一两个柱就算配了三件套打童磨也悬。其实童磨玩的时候也是浪了，速度能快到kanao完全意识不到（夺刀）的地步对付没有那么快的柱还是绰绰有余的。最主要是冰人偶技能太赖了，漫画里甚至直接没给数量上限，而且每个人偶强度不亚于本体，要不是中毒寄了真的很难打,2021-12-22 23:32:08,290,0,SakuraEnderCat,6,1,252455360,5,前进,鬼灭之刃 无限列车篇,kanao,kanao
"变鬼吗？变鬼吗？
joy吗？joy吗？",2021-12-29 21:41:54,25,0,城市造景,5,1,850212318,6,猗窝座,鬼灭之刃 无限列车篇,joyjoy,joyjoy
回复 @ANGEL安久安久 :他父亲在他母亲死后已经自暴自弃了，杏寿郎是靠自己自学主动加入鬼杀队的哦,2021-12-29 21:07:39,300,0,King-Hasan,6,1,850212318,6,猗窝座,鬼灭之刃 无限列车篇,ANGEL,ANGEL
回复 @King-Hasan :炎柱他爹不是学不会日呼才颓废的么[思考],2021-12-29 21:10:09,51,0,Another-Tiger,6,1,850212318,6,猗窝座,鬼灭之刃 无限列车篇,KingHasan,KingHasan
回复 @Emperor_Vader :师兄和风哥塑造挺好的吧,2022-01-06 12:19:04,57,0,彼此交融命运的泉水,6,1,677779757,7,燃烧心灵,鬼灭之刃 无限列车篇,EmperorVader,EmperorVader
回复 @Gabriel_a :热评的热评的热评的热评[脱单doge],2022-01-05 22:48:37,8,0,喵喵不能接受,6,1,677779757,7,燃烧心灵,鬼灭之刃 无限列车篇,Gabriela,Gabriela
