content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
回复 @旗落Norie :除柱还有主角团没人砍了吧,2022-03-05 22:18:57,11,0,沐音清城,6,1,381941309,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇,Norie,Norie
回复 @Toshiki_ :然后，碳一个人刚堕姬[笑哭],2022-03-13 01:46:12,418,0,四季青苹果,5,1,767190429,2,潜入游郭,鬼灭之刃 游郭篇,Toshiki,Toshiki
回复 @LLLLISU :其实你把无惨的话当成是对妓夫太郎说的就合理了起来[doge],2022-03-19 21:15:27,1001,0,Akureyriii,6,1,297311658,3,什么人,鬼灭之刃 游郭篇,LLLLISU,LLLLISU
回复 @selldavid :上六肯定有限制，比如哥哥和妹妹不能离开太远，不然不是无敌了？,2022-03-26 22:21:43,90,0,灵秀地,6,1,255055584,4,今夜,鬼灭之刃 游郭篇,selldavid,selldavid
回复 @selldavid :wc，要按你这个说法不成bug了[笑哭]，不死之身还怎么打呀？,2022-03-26 22:22:03,42,0,漠然映梦,6,1,255055584,4,今夜,鬼灭之刃 游郭篇,selldavid wcbug,selldavid wcbug
回复 @IronNia :是缘一老婆吧[捂脸][捂脸],2022-04-07 22:31:24,2,0,WS长安忆,5,1,212751993,5,华丽丽地上吧,鬼灭之刃 游郭篇,IronNia,IronNia
回复 @recluse-221b :打完了 姗姗来迟 “上六是最弱的”[笑哭],2022-04-02 21:13:57,2076,0,雨欣瑶,6,1,212751993,5,华丽丽地上吧,鬼灭之刃 游郭篇,recluse221b   “”,recluse221b “ ”
回复 @典明粥_unOfficial :半个上六也算上六[doge],2022-04-02 21:34:26,103,0,一把石剑,6,1,212751993,5,华丽丽地上吧,鬼灭之刃 游郭篇,unOfficial,unOfficial
回复 @zzzz1zxc :岩可以只是会被上六换掉而已…：,2022-04-02 21:36:49,96,0,Priestess_prts,5,1,212751993,5,华丽丽地上吧,鬼灭之刃 游郭篇,zzzz1zxc,zzzz1zxc
回复 @tb_3620589167452 :炭治郎祖先朋友,2022-04-23 23:44:12,87,0,否要了啦杰哥,6,1,553392244,6,重叠的记忆,鬼灭之刃 游郭篇,tb3620589167452,tb3620589167452
回复 @Arentlf :他面板在当代柱速度第一力量第二，表现力不如后期的柱是因为斑纹赫刀一个没开,2022-05-07 20:31:12,278,0,有黎明悬于泰山,6,1,726318958,8,集结,鬼灭之刃 游郭篇,Arentlf,Arentlf
难道不应该叫steam呼吸法吗？,2022-05-14 21:56:55,29,0,天梭冥界,6,1,596622098,9,如果击败了上弦鬼,鬼灭之刃 游郭篇,steam,steam
"其他柱：x之呼吸，x之型，xxx
音柱：我滴谱面，完成啦！哈哈哈哈哈哈哈",2022-05-21 20:04:07,9812,44,木栖栖栖子,5,0,426642581,10,绝不放弃,鬼灭之刃 游郭篇,xxxxx,xxxxx
回复 @kenDSG教授 :更不明白了，[辣眼睛],2022-08-07 15:12:20,46,0,"冬月,",6,1,426642581,10,绝不放弃,鬼灭之刃 游郭篇,kenDSG,kenDSG
