content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
回复 @Tortoise蛇屠箱 :@,2024-01-31 01:25:52,0,0,哎呦nini,6,1,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版,Tortoise,Tortoise
"l
saaaa
a

a",2024-06-16 18:44:05,0,0,69岁扶墙止戈,5,1,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版,"l
saaaa
a

a",l saaaa a a
"回复 @卍jue :l，我，，
，
跑塞",2024-08-08 01:00:13,0,0,宋宋0533,5,1,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版,jue l,jue l
回复 @哎呦nini :U,2025-02-11 10:50:00,0,0,咸鱼中的咸鱼中的咸鱼,5,1,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版,nini U,nini U
回复 @88岁自信守家 :屁，第二季是游郭篇，大哥，无限列车篇属于剧场版，只不过B站把它划分成7集了,2025-03-07 12:40:07,5,0,龙森湖,4,1,913682589,1上,音柱 宇髓天元（上）,鬼灭之刃 游郭篇 中配版,88 B7,88 B7
回复 @璃さんHN :看了下cv名小葵和菜穗没有变 另两小只不一样了[来古-沉思],2023-08-12 19:55:31,11,0,葡萄长出獠牙变野猪,6,1,488679440,1下,音柱 宇髓天元（下）,鬼灭之刃 游郭篇 中配版,HN cv,HN cv
回复 @NADH氧化呼吸链 :so？他在绝佳的位置，却直接不干正事[笑哭]幸好想起了初心。,2025-09-01 10:41:43,7,0,做梦zzzzzz,6,1,574240697,2,潜入游郭,鬼灭之刃 游郭篇 中配版,NADH so,NADH so
回复 @墨飞霓Finny_Mok : [笑哭]低音不够下去，高音就容易弱,2023-08-26 20:31:35,8,0,肝飞霓丫,5,1,829310048,3,什么人？,鬼灭之刃 游郭篇 中配版,FinnyMok,FinnyMok
回复 @瓦尔达-楼 : [脱单doge]没有语法，爱怎么断句怎么断，这个语言bug简直就是逆天开挂。中国方言其实也能做到Hhhhhh,2023-08-29 02:21:42,25,0,肝飞霓丫,5,1,829310048,3,什么人？,鬼灭之刃 游郭篇 中配版,bugHhhhhh,bugHhhhhh
回复 @还etjdd蛋仔号 :母语尴尬症（,2024-01-27 17:40:25,41,0,氵进水ingzz,6,1,914352073,4,今夜,鬼灭之刃 游郭篇 中配版,etjdd,etjdd
回复 @bili_382132590 :周星驰电影不就是这个风格，石斑鱼配音也没见这样啊，说白了就是动漫的配音水平不行，正儿八经的电视剧电影游戏配音比这强多了,2025-02-12 01:42:53,1,0,把狗当叠的都是飞舞,6,1,744557582,6,重叠的记忆,鬼灭之刃 游郭篇 中配版,bili382132590,bili382132590
回复 @胜人BaiZe :这句我懂,2024-03-07 18:54:03,4,0,久睡已成瘾-咋办,6,1,744557582,6,重叠的记忆,鬼灭之刃 游郭篇 中配版,BaiZe,BaiZe
handai,2024-06-29 00:54:14,0,0,腹黑恐龙,6,1,744557582,6,重叠的记忆,鬼灭之刃 游郭篇 中配版,handai,handai
神tmgif太郎[笑哭],2023-09-02 18:56:36,166,0,小波能有什么坏心眼呢,6,1,617041272,7,变貌,鬼灭之刃 游郭篇 中配版,tmgif,tmgif
GIF太郎hhh（￣▽￣）,2023-09-10 11:26:51,19,0,夏语OvO,6,1,617041272,7,变貌,鬼灭之刃 游郭篇 中配版,GIFhhh,GIFhhh
@missAfei_ 笑死,2024-06-02 09:53:36,0,0,墨天使ベ北冥,6,1,617041272,7,变貌,鬼灭之刃 游郭篇 中配版,missAfei,missAfei
回复 @Crorl旧城 :火能抑制鬼自愈，主公就是用炸药和铁针抑制无惨自愈拖时间的,2025-08-26 23:52:22,15,0,果冻恋人,6,1,617041272,7,变貌,鬼灭之刃 游郭篇 中配版,Crorl,Crorl
不出意外，家主的中配换了，巧合的是两位cv名字里的最后一个字都是“涛”，可谓是涛“字”依旧[doge],2023-09-02 21:36:57,41,10,嘻哈骑士猫,6,0,574511320,8,集结,鬼灭之刃 游郭篇 中配版,cv“”“”,cv “ ” “ ”
回复 @狮心骑士Braver :主要是西面正对了个中国，北面就是俄罗斯[笑哭],2023-09-03 14:52:32,25,0,古月陈坤,6,1,574511320,8,集结,鬼灭之刃 游郭篇 中配版,Braver,Braver
hahahahahaha,2023-09-09 19:31:05,4,0,家有萝莉喵,6,1,362003790,10,绝不放弃,鬼灭之刃 游郭篇 中配版,hahahahahaha,hahahahahaha
回复 @bili_59770139094 :无惨算了，一些上弦还是可以同情可怜和喜欢的,2023-12-02 20:56:03,25,0,无线的有线,5,1,659569373,11,无论重来多少次,鬼灭之刃 游郭篇 中配版,bili59770139094,bili59770139094
回复 @xlucyxlcy :是谁呢？可以介绍一下那个人吗？是个怎样的人？我很好奇，是否可以聊一聊？,2024-06-19 23:02:52,0,0,清风沐雨_dh,6,1,659569373,11,无论重来多少次,鬼灭之刃 游郭篇 中配版,xlucyxlcy,xlucyxlcy
