content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title,clean_content,segmented
回复 @odaahhh :点开图片，长按[doge],2024-06-07 17:20:57,7,0,兰花の预言者,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅,odaahhh,odaahhh
回复 @superxiang :[doge]自己动手怕忍不住打死了,2020-11-30 18:35:54,154,0,kakaxa,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅,superxiang,superxiang
屑魔女的自恋合集[tv_doge]https://www.bilibili.com/video/BV1dy4y1q7XK/,2020-12-05 19:17:59,70,0,ZV哇咔咔咔,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅,httpswwwbilibilicomvideoBV1dy4y1q7XK,httpswwwbilibilicomvideoBV1dy4y1q7XK
回复 @kakaxa :[惊讶][惊讶][惊讶][囧][囧][囧][热词系列_害怕],2021-04-18 17:41:43,9,0,挪威的大鲑鱼,6,1,329827456,1,见习魔女伊蕾娜,魔女之旅,kakaxa,kakaxa
回复 @云溪-yunxi :哈哈(*¯︶¯*),2025-08-27 22:53:47,0,0,白露百鹭,6,1,842411812,2,魔法使之国,魔女之旅,yunxi,yunxi
"一集一个大故事节奏较慢细节很多，能补充的地方比较少，强烈推荐看完本集后再看！：

1。逆转时间的复原魔法，基本上魔女还有一部分见习生都会，在这个世界不是很稀奇的魔法

2。原著有个细节是在伊蕾娜修复屋顶和沙耶伤势后，此时原文有一句伊蕾娜“半无视像是想对我说什么的她”，怕麻烦找上门就立刻骑扫把离开了没给沙耶说话的机会

3。伊蕾娜在刚丢了胸针还没察觉期间，由于没有身份证明。所以去的饭店也没有给她打折，去的宝石店想卖宝石还被人态度冷淡得回复，毕竟他们以为伊蕾娜连见习生都不是

4。隐瞒真相的沙耶在为伊蕾娜登记旅馆房间时提醒她胸针丢了，原则上不能给伊蕾娜以魔女身份打折，却巧妙用了给你添麻烦就给你打折吧的借口。从伊蕾娜角度只有这家店才给丢了胸针的自己优惠，从沙耶角度没有真的当恶人坑别人，为后面的沙耶并无坏心，只是想留伊蕾娜在身边陪她做了第一个伏笔。原文也提到了伊蕾娜感觉到了一些违和

5。沙耶拜托伊蕾娜教她时，用士下座跪下求，伊蕾娜心里有种全身发麻想踩对方头上的很S的冲动

6。沙耶很多魔法能力不用伊蕾娜教的，简单说就是装菜缠老师的套路，一切只为了让伊蕾娜陪她。远处风魔法吹瓶子是上集里老师教伊蕾娜的

7。伊蕾娜并得知真相没有急着戳穿的原因是分析了利弊和沙耶一系列行动的原因，原则以比较温和的方式让对方把物品主动交出来，当然也有可能是对方是个妹子

8。伊蕾娜送沙耶的备用帽子作为支柱，对伊蕾娜来说是备用的，对沙耶来说约等于定情信物。不论如何也才认识一周不到的时间，伊蕾娜在得到胸针之后，直接第二天就离开了。因此与其说是伊蕾娜在撩.妹，还不如说只是相识一场哄女孩的手段更贴切一些。但对沙耶来说伊蕾娜的地位已经超友谊了",2020-10-09 21:49:21,23635,114,S级猎人麦露,6,0,842411812,2,魔法使之国,魔女之旅,"1

2“”

3

4

5S

6

7

8",1 2 “ ” 3 4 5S 6 7 8
回复 @Esperas :哎，这波不是女仆自杀，就是女仆捅村长，再不是就是父慈子孝，怎么都不可能是好结局了。,2020-10-16 22:23:28,957,0,YK,6,1,797413836,3,貌美如花的她 / 瓶装的幸福,魔女之旅,Esperas,Esperas
回复 @daft-shy :在奴隶制社会对奴隶做这种事，其实也不能说是人渣，毕竟这在当时是合法的，倒不如说那个国家的奴隶制才是万恶之源,2020-10-16 23:33:44,1138,0,久远寺有珠l,6,1,797413836,3,貌美如花的她 / 瓶装的幸福,魔女之旅,daftshy,daftshy
回复 @久远寺有珠l :反正奴隶制必死，fan人类的制度,2020-10-16 23:42:43,286,0,樱廳和歌,6,1,797413836,3,貌美如花的她 / 瓶装的幸福,魔女之旅,l fan,l fan
回复 @田中庄司officail :虽然你说的很有道理，但我还是想纠正一下，虽然苏轼和妓女，和尚玩的挺好，但他从始至终正式纳的只有朝云一个妾，还是他妻子要求纳的，而且极其重情义，将朝云按她的愿望安葬，甚至还建了一个六如亭。另外，苏轼极其洁身自好，那些妓女也只能说是朋友，所以我觉得你这个例子不恰当 甚至有点子虚乌有[doge],2020-10-17 00:54:10,213,0,一笑琅然2333,6,1,797413836,3,貌美如花的她 / 瓶装的幸福,魔女之旅,officail,officail
