content,time,mode,color,send_time,cid,episode,episode_title,anime_title,aid,clean_content,segmented
难怪说saber是团宠,1044.686,5,10546688,2020-12-26 23:44:16,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,saber,saber
向你比大拇指的人，不一定在夸你，还有可能是超电磁炮——railgun,324.12,5,16646914,2021-07-26 10:43:51,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,railgun,railgun
肯主任的言外之意就是不想召唤lancer，想召唤大帝。但是因为圣遗物被偷不得不召唤lancer,248.938,5,41194,2021-05-20 04:48:29,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,lancerlancer,lancerlancer
历史是兰斯洛特NTR了亚瑟王王妃还一度拐走,534.067,5,16707842,2015-07-02 15:03:54,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,NTR,NTR
最强职阶:teacher,258.006,5,15138834,2022-05-23 20:53:33,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,teacher,teacher
我有一个梦想是买十架B2,1059.161,1,16777215,2023-05-24 21:36:53,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,B2,B2
上错花轿嫁对郎hhhhhhhh,304.99,1,16777215,2023-06-14 14:06:53,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,hhhhhhhh,hhhhhhhh
玩家精彩对局，土豪金闪闪vs丝滑兰斯洛特,640.15,5,16777215,2025-07-07 20:29:50,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,vs,vs
钢管落地.mp4,649.0,5,16707842,2024-06-18 21:25:30,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,mp4,mp4
bersaka的战斗技巧又细又狂，看似毫无理智实则步步预判,629.171,5,16707842,2024-04-29 10:45:20,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,bersaka,bersaka
快说谢谢征服王（dogo,999.763,5,16707842,2023-06-18 13:35:59,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,dogo,dogo
六个从者搁着开party 呢？,545.302,5,16707842,2023-02-08 16:55:14,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,party,party
叫狂兰b叔好奇怪呀2333，下意识以为在叫赫拉克勒斯，还是狂兰顺耳点儿,529.175,5,16707842,2025-08-23 00:18:53,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,b2333,b2333
wdf大帝这有点太草率了吧我说,58.931,5,16777215,2025-07-22 14:52:35,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,wdf,wdf
空之律者VS识之律者,617.716,5,16777215,2025-07-21 18:09:16,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,VS,VS
然而这只是平a里的平a了,692.927,5,16707842,2025-06-16 20:57:22,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,aa,aa
大帝应该说是这里面几个最自由的servant了因为master管不了,1094.192,1,16777215,2025-05-31 21:20:55,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,servantmaster,servantmaster
除了caster全了,540.279,1,16777215,2025-04-04 23:54:53,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,caster,caster
Eva暴走了！,754.747,1,16777215,2025-01-02 14:54:42,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,Eva,Eva
他是3d的看不出来,491.112,1,16777215,2024-08-16 04:00:58,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,3d,3d
这里是因为Berserker的宝具“不为己的荣光”效果隐藏了自身的信息,778.732,1,16777215,2024-07-29 23:16:46,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,Berserker“”,Berserker “ ”
Saber，本届团宠,1321.483,1,16777215,2024-01-29 20:16:30,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,Saber,Saber
闪闪不用ea，他真的我哭死,658.105,1,16707842,2023-11-03 11:09:13,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,ea,ea
