content,time,mode,color,send_time,cid,episode,episode_title,anime_title,aid,clean_content,segmented
saber和士郎在浴室的时候自己亲口说的 这样满身肌肉的身体士郎你肯定不会喜欢吧,802.054,1,16777215,2014-11-02 01:01:22,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,saber,saber
UBW线没有什么选项，直接就是按照这样的剧情走的,632.484,5,65280,2014-11-02 01:01:40,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,UBW,UBW
每次谈话桌上都要摆一桌点心 让Saber怎么专心,488.374,1,16711680,2014-11-02 00:12:43,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,Saber,Saber
职介：teacher 宝具：homework,824.071,5,15138834,2021-06-17 01:12:12,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,teacher homework,teacher homework
樱把使者给了慎二，所以她此时知道了卫宫是master,1016.206,5,15138834,2023-04-06 23:29:16,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,master,master
红A：练弓干嘛？弓兵都是近战不是众所周知吗？（doge）,883.696,5,15138834,2021-08-06 11:14:52,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,Adoge,Adoge
要是樱此时顺手把呆毛拔了，直接进HF（doge）,1049.577,5,38979,2022-06-18 10:27:47,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,HFdoge,HFdoge
红A次醋了2333,274.933,5,16707842,2016-01-17 12:12:11,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,A2333,A2333
切嗣papaTAT,1349.35,1,16777215,2014-11-02 02:02:35,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,papaTAT,papaTAT
SABER在士郎面前开朗了好多啊,836.374,1,16777215,2014-11-02 01:01:45,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,SABER,SABER
