content,time,mode,color,send_time,cid,episode,episode_title,anime_title,aid,clean_content,segmented
白蛇：《星尘斗士》好好看啊，勿cue,547.017,5,16777215,2022-02-12 12:07:08,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,cue,cue
冷知识：荒木恰过GUCCI的饭,371.299,5,16707842,2022-01-30 16:03:58,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,GUCCI,GUCCI
ff： 我是有灵魂的啊，徐伦,149.124,5,38979,2021-12-01 23:21:11,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,ff,ff
最右面那个在op和徐伦站一起露过脸 应该是主角团的,433.801,5,16707842,2021-12-01 21:03:01,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,op,op
Win~Win~Win~(大雾,411.638,5,16707842,2022-09-17 21:23:01,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,WinWinWin,WinWinWin
那棵树…掉san,1278.462,5,16777215,2022-07-18 18:14:11,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,san,san
白蛇有自主思想，所以能说话，然后白蛇和cd都是能被人看到的，所以那人在获得替身前就能看到白蛇,520.621,5,15138834,2022-09-12 14:29:51,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,cd,cd
这位就是大家熟知的FF壳子,860.451,5,15138834,2022-12-12 19:31:02,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,FF,FF
A级听力突然成D级听力,1026.116,1,16777215,2023-05-20 22:05:40,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,AD,AD
更第三部ed一样都有很伤感,1390.716,1,16777215,2023-01-11 18:21:27,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,ed,ed
神的步伐（ing）,577.485,5,16777215,2025-02-02 21:56:08,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,ing,ing
NO.4,330.013,5,16776960,2023-07-13 08:59:55,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,NO4,NO4
无法令人直视的Dark装扮,502.552,1,16776960,2022-10-22 14:15:21,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,Dark,Dark
Q太郎救母亲 你救Q太郎,31.636,5,16777215,2025-07-09 22:39:12,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,Q Q,Q Q
敌人：kiss吗？不太合适吧（脸红）,1108.413,5,16707842,2025-06-29 10:23:19,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,kiss,kiss
这能力好像d4c,1264.651,5,16646914,2025-05-02 11:30:39,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,d4c,d4c
Ff刚登场就那么凶残的吗？,159.96,1,16777215,2025-02-15 13:10:19,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,Ff,Ff
听力：sss,1030.077,1,16777215,2023-07-03 14:23:21,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,sss,sss
阿布嘟嘟（bushi）,148.979,5,15772458,2023-02-18 12:46:32,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,bushi,bushi
FF是谁？（本人2G网,248.542,1,16777215,2023-01-16 17:57:22,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,FF2G,FF2G
泡水里没伤害那个是MC玩多了吧,924.414,1,16777215,2022-12-15 10:59:57,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,MC,MC
麻木.jpg,335.794,5,16777215,2022-12-08 18:31:38,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,jpg,jpg
