content,time,mode,color,send_time,cid,episode,episode_title,anime_title,aid,clean_content,segmented
真嗣：除了驾驶eva，我什么也做不到,841.186,5,6830715,2022-12-22 19:25:29,230835878,1,单调·多彩,四月是你的谎言,1608327,eva,eva
是个开EVA的好年纪,463.158,5,13369971,2022-12-27 21:05:31,230835878,1,单调·多彩,四月是你的谎言,1608327,EVA,EVA
救命把MOMO看成了homo我还有救吗,768.776,5,16777215,2022-08-17 15:24:02,230835878,1,单调·多彩,四月是你的谎言,1608327,MOMOhomo,MOMOhomo
人善被人欺   马善马嘉祺(bushi,411.834,1,13369971,2024-07-31 15:25:32,230835878,1,单调·多彩,四月是你的谎言,1608327,bushi,bushi
crychic（幻听）,725.086,5,8700107,2025-03-31 19:59:46,230835878,1,单调·多彩,四月是你的谎言,1608327,crychic,crychic
CRYCHIC(幻听,724.954,1,16777215,2023-08-23 20:11:42,230835878,1,单调·多彩,四月是你的谎言,1608327,CRYCHIC,CRYCHIC
放的居然是OP,191.28,1,16777215,2014-10-10 02:13:53,230835878,1,单调·多彩,四月是你的谎言,1608327,OP,OP
花江夏树www,273.359,1,16777215,2014-10-10 02:11:11,230835878,1,单调·多彩,四月是你的谎言,1608327,www,www
goose house 都出来了！我也喜欢她们的歌,694.893,5,14811775,2014-10-10 02:26:00,230835878,1,单调·多彩,四月是你的谎言,1608327,goose house,goose house
上一部xxxholic,239.531,1,16777215,2026-04-16 23:22:08,230835878,1,单调·多彩,四月是你的谎言,1608327,xxxholic,xxxholic
上一部：free!,226.844,1,16777215,2025-08-03 14:48:52,230835878,1,单调·多彩,四月是你的谎言,1608327,free,free
这块的BGM太棒了啊啊啊啊啊啊啊啊啊,1224.848,5,16777215,2025-06-06 11:49:50,230835878,1,单调·多彩,四月是你的谎言,1608327,BGM,BGM
上一部relife,228.654,1,16777215,2025-05-12 21:45:30,230835878,1,单调·多彩,四月是你的谎言,1608327,relife,relife
上一部 NANA,240.209,1,14811775,2026-03-18 21:36:10,230835878,1,单调·多彩,四月是你的谎言,1608327,NANA,NANA
好喜欢op,68.435,1,16777215,2026-02-08 14:46:20,230835878,1,单调·多彩,四月是你的谎言,1608327,op,op
上一部clanned,230.134,1,16777215,2025-11-17 23:42:12,230835878,1,单调·多彩,四月是你的谎言,1608327,clanned,clanned
上一部lain,223.318,1,16777215,2025-10-19 13:40:00,230835878,1,单调·多彩,四月是你的谎言,1608327,lain,lain
hi,12.848,1,16777215,2025-07-06 00:08:45,230835878,1,单调·多彩,四月是你的谎言,1608327,hi,hi
上一部Cl,230.485,1,16777215,2025-06-22 11:38:01,230835878,1,单调·多彩,四月是你的谎言,1608327,Cl,Cl
没人关心你上一部看的啥 ky烦不烦,262.242,1,16777215,2025-05-29 23:24:46,230835878,1,单调·多彩,四月是你的谎言,1608327,ky,ky
krkrdkdk！,482.442,1,16777215,2025-04-20 23:46:40,230835878,1,单调·多彩,四月是你的谎言,1608327,krkrdkdk,krkrdkdk
上一部:Air,233.894,1,16777215,2025-04-05 21:40:51,230835878,1,单调·多彩,四月是你的谎言,1608327,Air,Air
上站：Free,206.393,1,16777215,2025-04-02 19:36:45,230835878,1,单调·多彩,四月是你的谎言,1608327,Free,Free
solo,39.214,1,16777215,2026-05-04 20:30:27,230835878,1,单调·多彩,四月是你的谎言,1608327,solo,solo
