content,time,mode,color,send_time,cid,episode,episode_title,anime_title,aid,clean_content,segmented
上一个听自己op的，已经成神了,192.395,5,15138834,2023-04-01 16:03:20,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,op,op
怎么OP不是粤语啊（恼）,59.645,5,16777215,2023-04-15 10:20:24,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,OP,OP
四月新番（bushi）,17.888,1,16777215,2023-04-22 00:50:25,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,bushi,bushi
kon的味道哈哈哈,236.73,1,16777215,2023-04-03 12:32:47,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,kon,kon
这里可以开始给女二配《电灯胆》BGM了,737.711,1,16777215,2023-04-03 17:11:08,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,BGM,BGM
要kirakira~！,481.146,1,16777215,2023-04-03 16:55:53,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,kirakira,kirakira
WC，这是什么,2.419,1,16777215,2023-04-03 21:20:18,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,WC,WC
一股tvb味。哈哈哈,218.57,1,16777215,2023-04-02 20:06:42,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,tvb,tvb
TVB 翡翠台,0.639,5,16777215,2023-04-04 06:13:57,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,TVB,TVB
mark低就很灵性,755.746,5,16777215,2023-04-09 12:37:14,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,mark,mark
好浓的K-ON味,222.825,1,16777215,2023-07-24 13:27:36,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,KON,KON
看到女主就开始想哭了T﹏T,928.345,1,16777215,2023-04-03 13:11:39,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,TT,TT
痛seyana,254.852,5,16777215,2025-02-26 20:47:43,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,seyana,seyana
男主这个配音好苏啊啊啊V✪⋏✪V,501.342,1,16777215,2025-01-11 09:56:14,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,VV,VV
薰啊，又见面了T 。T,22.033,1,16777215,2024-08-16 19:57:34,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,T T,T T
nice ball！,200.954,5,16777215,2023-04-15 10:23:46,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,nice ball,nice ball
md没反应过来说的什么语言,215.774,1,16777215,2023-04-06 11:44:15,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,md,md
可能我先入为主 总觉得TVB好D,281.694,1,16777215,2023-04-01 20:20:17,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,TVBD,TVBD
我diu佢把聲好flirty,503.804,1,16777215,2026-05-03 11:21:47,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,diuflirty,diuflirty
26nian55月1日,587.558,1,16777215,2026-05-01 08:31:07,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,26nian551,26nian551
Hi,58.899,1,16777215,2026-04-12 16:59:47,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,Hi,Hi
zjw我好想你,24.488,1,16777215,2026-03-28 16:15:40,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,zjw,zjw
nm好像日语,236.145,1,16777215,2025-08-04 13:26:57,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,nm,nm
emm..一边是纯真治愈少女，一边是精英式培养，看起来就很不搭啊,184.471,1,16777215,2025-05-19 21:45:26,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,emm,emm
abcd 甲乙丙丁,1247.89,1,16777215,2025-04-13 02:20:23,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,abcd,abcd
说住为什么是友人A，不是B,1220.603,1,16777215,2025-04-04 15:38:51,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,AB,AB
part time,753.726,1,16777215,2024-12-22 01:04:05,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,part time,part time
为什么不是粤语版ed,1289.058,1,16777215,2024-06-14 00:07:10,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,ed,ed
原来bang的原曲来自这里,84.661,1,16777215,2024-04-12 00:00:31,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,bang,bang
wasted,247.293,1,15138834,2024-04-09 22:00:28,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,wasted,wasted
km,998.673,1,11890,2024-04-06 02:09:26,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,km,km
w w w w w w,1081.255,1,16777215,2024-04-01 11:23:03,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,w w w w w w,w w w w w w
发现co老师,12.434,1,16777215,2024-03-17 17:34:20,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,co,co
cs,1080.265,1,16777215,2024-03-12 18:21:10,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,cs,cs
明明应该哭，我却想笑HHH,1017.685,1,16777215,2023-10-26 19:29:43,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,HHH,HHH
tvb也不会换op的呀,85.784,1,16777215,2023-08-30 13:16:13,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,tvbop,tvbop
好luan痛,258.087,1,16777215,2023-06-29 22:38:33,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,luan,luan
这个ning neng我爱了,321.887,1,16777215,2023-06-28 23:14:28,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,ning neng,ning neng
hhhhhhhhc,237.583,1,16777215,2023-06-09 16:44:32,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,hhhhhhhhc,hhhhhhhhc
az,444.974,1,16777215,2023-04-28 12:30:50,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,az,az
si月还neidei谎言,37.949,1,16777215,2023-04-22 09:09:47,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,sineidei,sineidei
好好听qwq,606.907,1,16777215,2023-04-21 22:54:05,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,qwq,qwq
hhhhhh,1079.887,1,16777215,2023-04-21 12:47:14,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,hhhhhh,hhhhhh
他爸在CCG加班呢,506.323,1,16777215,2023-04-13 04:59:30,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,CCG,CCG
ǒng落去,397.181,1,16777215,2023-04-13 04:55:34,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,ng,ng
cateen,824.076,1,16777215,2023-04-07 18:42:45,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,cateen,cateen
我也以为粤语op，hh,63.901,1,16777215,2023-04-08 19:09:30,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,ophh,ophh
当年的A1,128.167,1,16777215,2023-04-08 17:53:44,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,A1,A1
胸前原来是23，我还以为2b,1037.773,1,16777215,2023-04-07 22:36:30,1092784594,1,单调·多彩,四月是你的谎言 粤配版,824025821,232b,232b
