content,time,mode,color,send_time,cid,episode,episode_title,anime_title,aid,clean_content,segmented
怎么他好像每次都从下水道出来hhhhh,1331.645,5,15138834,2021-01-24 01:31:28,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,hhhhh,hhhhh
红姐被前辈骂，白哥被队友骂，不愧是cp,1380.679,5,41194,2021-01-31 05:45:25,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,cp,cp
black是战亡的白血球画得不够多，其实数量差不多的,989.191,1,16707842,2021-01-25 18:29:43,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,black,black
不靠谱的前辈怎么这么顽强.gif,657.919,5,16776960,2021-01-31 12:35:57,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,gif,gif
艾丽娜对抗石鬼面（bu,556.935,5,15138834,2021-01-24 00:19:16,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,bu,bu
科普：WBS为白细胞的学名,1379.761,5,16646914,2021-01-24 17:16:31,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,WBS,WBS
正派死于话多（bushi）,516.199,5,15138834,2021-08-23 14:07:53,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,bushi,bushi
他甚至还没来得及说出那个“す”（doge,37.852,5,15138834,2022-12-24 19:28:08,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,“”doge,“ ”
踏仙君：嗯？本座？|核善微笑.jpg,1108.681,1,52480,2022-06-10 13:58:46,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,jpg,jpg
各位一定要勤洗头啊QAQ,971.879,5,16777215,2022-02-10 23:15:02,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,QAQ,QAQ
不是区区毛发！！！！每一根Tony都很重要！！！！,1160.688,1,16777215,2021-09-29 22:22:43,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,Tony,Tony
'KFC细胞,260.61,5,16707842,2023-04-29 19:56:13,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,KFC,KFC
小手一抖，op没有,162.095,5,15138834,2022-05-30 18:04:57,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,op,op
persona,371.625,1,16777215,2025-08-21 15:37:08,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,persona,persona
全场mvp中二细胞,638.519,1,16777215,2025-04-18 22:08:27,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,mvp,mvp
哇嘞哇嘞哇hhhc,493.524,5,9033215,2023-07-08 17:45:13,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,hhhc,hhhc
怪不得我头发不到两天就出油，md,1266.077,1,16777215,2022-12-17 21:57:23,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,md,md
这力气，不当T细胞太可惜了（doge,238.977,5,16740868,2022-04-28 22:08:35,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,Tdoge,Tdoge
这个敲门声让我想起了FBI,178.729,1,16777215,2021-10-03 16:29:18,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,FBI,FBI
flag,287.316,1,16777215,2026-03-29 01:07:12,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,flag,flag
rtyuiop[]\sdfghjkl;',1015.37,1,16777215,2026-03-14 23:38:55,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,rtyuiopsdfghjkl,rtyuiopsdfghjkl
Nooo都怪我这个大油皮！,944.092,1,16777215,2026-03-14 10:00:39,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,Nooo,Nooo
saber声线出来了,550.099,1,16777215,2026-03-07 12:45:22,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,saber,saber
上线就送100连抽（bushi（不要动我的头发！！！,789.479,1,16777215,2026-02-23 14:12:49,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,100bushi,100bushi
Black太恐怖了，回来缓缓,0.715,1,16777215,2026-02-18 19:18:13,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,Black,Black
ding～ding～,546.239,1,16777215,2026-02-12 18:34:46,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,dingding,dingding
喃喃呐呐nnnh,261.906,1,16777215,2026-01-25 15:13:56,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,nnnh,nnnh
m m m k k k k kk,16.979,1,16777215,2026-01-25 15:10:49,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,m m m k k k k kk,m m m k k k k kk
后面就是蚊子来叮咬我们了啊哟呀，所有血细胞都被吸取1%那个白细胞和 B淋巴细胞肥大细胞都忙不得辣，救命啊,9.182,1,16777215,2026-01-16 21:57:45,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,1 B,1 B
bilibili干杯,77.296,1,16777215,2025-12-30 22:41:06,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,bilibili,bilibili
从BLACK回来，这边真是阳光明媚啊！,25.682,5,16777215,2025-11-23 21:58:42,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,BLACK,BLACK
black看到这里过来避难的orz,742.933,1,16777215,2025-11-09 20:04:00,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,blackorz,blackorz
no别动我头发啊啊啊啊,800.455,1,16777215,2025-10-09 01:13:42,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,no,no
MC玩家:中光灵箭了！,1346.521,1,16777215,2025-09-06 14:31:36,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,MC,MC
CP好,684.787,1,16777215,2025-08-11 20:46:18,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,CP,CP
history细胞，？,225.853,1,15138834,2025-07-19 01:53:31,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,history,history
Go  work！,742.937,5,16777215,2025-07-11 17:32:44,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,Go  work,Go work
san值狂掉,1339.836,5,16777215,2025-07-09 00:05:56,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,san,san
可是ta是主角啊喂,1145.853,1,16777215,2025-07-05 12:46:48,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,ta,ta
white哥,987.64,1,16777215,2025-06-23 21:01:20,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,white,white
go work!,745.506,1,16777215,2025-06-03 18:16:10,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,go work,go work
Smimase,267.748,1,16777215,2025-05-18 22:01:53,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,Smimase,Smimase
嗜碱性粒细胞也会产生组织胺，但是没有MAST细胞的重要,471.172,5,16777215,2025-05-06 00:21:15,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,MAST,MAST
kill    达卜kill   拽卜kill  蓝鲸的胃！！！！！,229.357,5,16777215,2025-04-27 21:30:28,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,kill    kill   kill,kill kill kill
可爱ai,357.328,1,14811775,2025-03-19 21:42:30,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,ai,ai
所以我脸上痘痘上面的白色脓点里面全是死去的白细胞吗T﹏T,963.661,1,16777215,2025-03-10 14:47:00,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,TT,TT
风遁.大瀑布术dog,402.135,1,41194,2025-02-18 16:51:53,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,dog,dog
wryyyyy（幻听,408.0,1,16777215,2025-02-11 12:11:43,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,wryyyyy,wryyyyy
wry~~~~~,390.703,1,16777215,2025-02-10 00:25:23,286091033,3,登革热/痤疮,工作细胞 第二季,886319522,wry,wry
