content,time,mode,color,send_time,cid,episode,episode_title,anime_title,aid,clean_content,segmented
薇尔利特   精速双A，力量B，射程C，持续力B，成长A。,452.624,5,16707842,2021-03-07 00:33:42,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,ABCBA,ABCBA
单抽SSR你怎么说,347.092,5,16776960,2021-01-15 12:30:25,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,SSR,SSR
手工队VS机械队,293.279,5,16765698,2020-11-11 12:18:44,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,VS,VS
“always”,1055.788,5,16740868,2021-09-12 19:35:57,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,“always”,“ always ”
卷王（bushi）,549.591,1,16777215,2022-01-20 19:56:41,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,bushi,bushi
按“E”进行跳跃,1303.685,1,52480,2021-09-21 17:57:41,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,“E”,“ E ”
舍不得跳的op,88.78,5,15138834,2022-04-18 22:46:50,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,op,op
人工队vs机器队,288.531,1,16777215,2021-11-18 23:14:09,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,vs,vs
少佐别慌，先把AK放下,877.003,1,16707842,2021-08-23 15:06:01,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,AK,AK
莱因哈鲁特：又被冒犯到（Re0）,475.07,1,16777215,2021-08-27 13:14:18,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,Re0,Re0
少佐:诶嘿，名刀CD好了,1030.702,1,16777215,2022-04-09 00:45:03,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,CD,CD
Estrella 西班牙语意思：星空,0.0,5,15138834,2022-03-26 15:16:36,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,Estrella,Estrella
你就是老娘的master吗？,352.102,1,16777215,2022-02-08 19:45:57,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,master,master
Always,1053.543,5,38979,2021-12-02 11:41:43,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,Always,Always
世界名画jpg,55.958,5,16646914,2021-08-23 16:16:38,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,jpg,jpg
OP很好看所以我准备跳过,157.408,1,16777215,2022-03-27 12:55:18,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,OP,OP
这bgm真的有感觉,8.701,1,16777215,2021-08-17 12:04:29,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,bgm,bgm
不用感谢我，BGM叫Torment(折磨),19.676,1,16777215,2022-04-07 18:18:38,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,BGMTorment,BGMTorment
少年立的一手好flag,376.474,1,16777215,2022-02-07 16:06:16,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,flag,flag
这集cp我就锁亿秒呜呜呜,159.668,1,16777215,2022-01-06 21:28:19,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,cp,cp
桐老爷的cv！！桐老爷的cv！！,396.282,1,16777215,2021-12-26 12:39:54,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,cvcv,cvcv
那这不会从头到尾都没有男主叭，yyy,278.977,1,16777215,2022-01-29 17:05:09,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,yyy,yyy
科教频道CCTV,292.898,1,15138834,2021-12-29 16:40:45,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,CCTV,CCTV
施展xx技艺,60.761,1,16777215,2021-12-14 14:59:50,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,xx,xx
fiag都是用来打破的,86.955,1,16777215,2021-09-16 12:37:02,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,fiag,fiag
mio？？,21.715,5,16777215,2021-09-04 22:02:12,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,mio,mio
CCTV10,303.67,1,16646914,2021-08-21 17:09:27,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,CCTV10,CCTV10
BGM绝了,16.861,1,16777215,2021-08-15 13:55:43,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,BGM,BGM
no way out,579.583,1,16777215,2022-04-25 22:00:32,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,no way out,no way out
kanle,44.908,1,16777215,2022-04-25 13:50:06,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,kanle,kanle
有4k，打开新世界,619.903,1,16777215,2022-04-24 01:13:32,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,4k,4k
wc她笑了,1292.392,1,14811775,2022-04-20 14:09:17,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,wc,wc
ed,1343.928,1,16777215,2022-04-14 11:24:08,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,ed,ed
哇4K超清太棒了,1180.549,1,16777215,2022-04-12 22:47:47,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,4K,4K
别呀少佐放下G3好好说话,613.794,1,16777215,2022-04-11 17:45:55,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,G3,G3
edqee,628.918,1,16646914,2022-04-07 16:48:13,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,edqee,edqee
hhhcxwl,846.333,1,15138834,2022-03-27 22:05:10,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,hhhcxwl,hhhcxwl
这里薇尔莉特回复他了吧声音调最大有句hi,1309.216,1,16777215,2022-03-27 14:02:08,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,hi,hi
甜死我了wwww,880.343,5,14811775,2022-03-27 00:40:56,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,wwww,wwww
ki米那一挖,1174.213,1,16777215,2022-03-26 01:15:13,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,ki,ki
leimu,184.972,1,16777215,2022-03-19 17:51:59,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,leimu,leimu
少佐:想不到吧我cd好了 ,1043.379,1,9487136,2022-03-19 15:56:13,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,cd,cd
少佐：stella,925.404,1,16777215,2022-03-16 00:30:33,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,stella,stella
太香了，wcdl,1317.638,1,16777215,2022-03-13 18:17:21,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,wcdl,wcdl
re0:这我熟,476.965,5,15138834,2022-03-12 15:06:40,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,re0,re0
kksk这个BGM,1064.382,1,9487136,2022-03-11 20:12:27,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,kkskBGM,kkskBGM
FBI的布莱克（？,939.549,1,16777215,2022-03-07 22:48:45,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,FBI,FBI
哈哈哈哈哈，法国军火，XSWL,837.951,1,16777215,2022-02-26 19:56:50,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,XSWL,XSWL
偷家shib,1139.096,1,16777215,2022-02-24 23:50:56,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,shib,shib
面包：MD，别捏劳资了,813.006,5,16755202,2022-02-24 00:29:18,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,MD,MD
op不看小手dd,104.205,1,16777215,2022-02-19 20:34:07,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,opdd,opdd
？勒韦尔？levi?!,233.289,1,16777215,2022-02-17 12:07:02,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,levi,levi
土间埋：看番勿cue，我和少佐没关系,953.558,5,41194,2022-02-16 15:49:13,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,cue,cue
of course,622.615,1,16777215,2022-02-13 11:07:38,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,of course,of course
"l.,;kpikiopk-/p[l;o\",295.967,1,16777215,2022-02-10 20:05:24,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,lkpikiopkplo,lkpikiopkplo
这个AK47太好听了,107.276,1,16777215,2022-02-09 16:14:29,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,AK47,AK47
90N,1360.229,1,38979,2022-02-09 15:47:45,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,90N,90N
hg：这可是个大单,577.485,1,16777215,2022-02-09 01:13:18,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,hg,hg
好亮qwq,1192.085,1,16777215,2022-02-09 00:56:58,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,qwq,qwq
少佐:tnnd，趁我不在玩阴的是吧？,1327.141,1,16777215,2022-02-06 19:36:21,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,tnnd,tnnd
AI少女不理解,1039.725,1,38979,2022-02-05 14:36:47,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,AI,AI
长按fj解除跟随,1309.564,1,16646914,2022-02-04 19:19:53,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,fj,fj
good,510.396,1,16777215,2022-02-03 14:23:45,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,good,good
哈雷：wndmd,409.939,5,38979,2022-02-01 23:55:14,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,wndmd,wndmd
1vs1,838.712,1,16777215,2022-02-01 19:55:12,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,1vs1,1vs1
少一个鲁，reo里面的是莱茵哈鲁特,502.02,1,16777215,2022-01-31 20:58:10,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,reo,reo
大英雄：Stella！,1209.955,5,52480,2022-01-28 16:40:58,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,Stella,Stella
sabishi,1079.107,1,16777215,2022-01-26 21:33:11,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,sabishi,sabishi
violet：敢不敢跟我比划比划,826.712,5,13369971,2022-01-26 13:53:56,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,violet,violet
按“F”踹出右脚,878.62,1,16777215,2022-01-25 20:11:11,31933194,6,在某处的星空下,紫罗兰永恒花园,19582736,“F”,“ F ”
