content,time,mode,color,send_time,cid,episode,episode_title,anime_title,aid,clean_content,segmented
老父亲恨不得代替阿尼娅自己入学读书了hhhhhhh,918.845,1,16777215,2022-10-15 23:13:17,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173,hhhhhhh,hhhhhhh
服务员：讲英文啊，A餐，B餐，C餐，D餐啊,240.042,1,16777215,2022-10-22 14:39:27,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173,ABCD,ABCD
win~win~win~,309.574,5,16777215,2022-10-17 23:38:22,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173,winwinwin,winwinwin
阿罗过家家(bushi),558.626,5,16777215,2022-10-15 19:06:51,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173,bushi,bushi
Elegant,1268.778,5,16755370,2022-10-29 00:27:45,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173,Elegant,Elegant
八星八雷上将（滑稽。jpg）,416.211,1,16777215,2024-11-28 12:41:09,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173,jpg,jpg
好LEN优雅,1270.036,1,16777215,2022-10-16 22:12:10,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173,LEN,LEN
lang衫太对味了,188.755,1,16777215,2023-01-11 19:53:38,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173,lang,lang
异读字，g和k都可以，官方比较常用g,502.67,1,16777215,2022-11-23 02:50:32,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173,gkg,gkg
吓成荷包蛋www,161.403,1,16777215,2022-11-11 23:22:46,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173,www,www
点解听成“dum骨”,678.147,5,16777215,2024-05-21 03:43:58,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173,“dum”,“ dum ”
so鸠ry,1259.903,1,16646914,2022-10-30 14:40:25,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173,sory,sory
lan衫=毛衣,202.342,1,16777215,2022-10-19 22:59:48,843953561,6,任务6 交友行动,间谍过家家 粤配版,345974173,lan,lan
