content,time,mode,color,send_time,cid,episode,episode_title,anime_title,aid,clean_content,segmented
soyo：抱歉长官刚才没认出您,1354.546,5,16777215,2025-01-02 22:54:42,27730904912,1,秘密。（Sub rosa.）,颂乐人偶,113740078909891,soyo,soyo
妻子si了，又被骗这么多钱，祥爹是真的惨啊,813.799,5,16707842,2025-01-03 00:04:07,27730904912,1,秘密。（Sub rosa.）,颂乐人偶,113740078909891,si,si
明明灯变绿了，但是cy已经无法前进了,956.203,5,16777215,2025-01-07 21:56:40,27730904912,1,秘密。（Sub rosa.）,颂乐人偶,113740078909891,cy,cy
大喵老师还笑得出来，说明BPM还能加,247.511,5,16777215,2025-01-02 22:07:25,27730904912,1,秘密。（Sub rosa.）,颂乐人偶,113740078909891,BPM,BPM
不要破坏世界观.jpg,1039.767,5,16707842,2025-01-02 22:19:25,27730904912,1,秘密。（Sub rosa.）,颂乐人偶,113740078909891,jpg,jpg
初华：sumimi偏商务 mujica偏运动,457.448,5,8700107,2025-01-10 22:47:35,27730904912,1,秘密。（Sub rosa.）,颂乐人偶,113740078909891,sumimi mujica,sumimi mujica
这行动力 Saki对自己真狠啊,792.235,5,9033215,2025-01-10 02:59:10,27730904912,1,秘密。（Sub rosa.）,颂乐人偶,113740078909891,Saki,Saki
saki酱你真的应该位列二十四孝榜首,806.999,5,16777215,2025-01-16 23:02:37,27730904912,1,秘密。（Sub rosa.）,颂乐人偶,113740078909891,saki,saki
开EVA,98.295,1,16777215,2025-01-02 22:02:36,27730904912,1,秘密。（Sub rosa.）,颂乐人偶,113740078909891,EVA,EVA
《立希谈avemujica》,1037.696,5,16777215,2025-01-05 04:01:30,27730904912,1,秘密。（Sub rosa.）,颂乐人偶,113740078909891,avemujica,avemujica
这下终于知道mana酱为什么放不下初华了,112.384,5,16777215,2025-01-11 19:17:56,27730904912,1,秘密。（Sub rosa.）,颂乐人偶,113740078909891,mana,mana
全网最尊重mujica世界观的人,985.441,1,16777215,2025-01-10 04:48:07,27730904912,1,秘密。（Sub rosa.）,颂乐人偶,113740078909891,mujica,mujica
初华：这个（sumimi）不需要了,465.903,5,16707842,2025-01-19 19:12:59,27730904912,1,秘密。（Sub rosa.）,颂乐人偶,113740078909891,sumimi,sumimi
mortis头发每日一乱,1207.197,5,10546688,2025-07-17 00:38:42,27730904912,1,秘密。（Sub rosa.）,颂乐人偶,113740078909891,mortis,mortis
听这前奏是killkiss吧,75.605,5,16777215,2025-08-24 13:04:57,27730904912,1,秘密。（Sub rosa.）,颂乐人偶,113740078909891,killkiss,killkiss
注意这里op开始了,52.139,5,15138834,2025-07-25 00:59:53,27730904912,1,秘密。（Sub rosa.）,颂乐人偶,113740078909891,op,op
