content,time,mode,color,send_time,cid,episode,episode_title,anime_title,aid,clean_content,segmented
这里细节，三哥的BGM刚开始被童磨压下去了,437.416,5,16777215,2023-06-03 20:09:16,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,BGM,BGM
酚酞遇碱变红（Doge,639.313,5,16777215,2023-06-03 20:51:37,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,Doge,Doge
没想到吧，我存了整整一季，hhhhhh,8.402,1,16777215,2023-08-14 12:22:36,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,hhhhhh,hhhhhh
果然，真正的变态只有mamo能驾驭,391.285,1,16777215,2023-06-11 07:11:27,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,mamo,mamo
笑死我了，我oc的原型就是蓝色彼岸花,622.975,5,16777215,2026-02-24 22:12:34,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,oc,oc
Akaza多磨～,986.352,1,16777215,2026-02-20 16:35:09,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,Akaza,Akaza
依旧COS化学家,510.437,1,16777215,2026-03-18 18:23:51,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,COS,COS
不是黑死眸就像个AI一样消失了,969.413,1,16777215,2026-02-21 22:55:33,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,AI,AI
好喜欢鸣女这句恕我拒绝ovo,1017.185,1,16777215,2026-02-23 20:15:10,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,ovo,ovo
三哥:san值狂掉中,329.01,1,15138834,2026-04-04 15:02:01,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,san,san
流言蜚语～（bushi）,948.306,1,16777215,2026-03-23 20:36:19,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,bushi,bushi
怪不得这么多人喜欢童磨，可爱ing,1035.223,5,14811775,2026-03-03 20:37:50,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,ing,ing
三哥：damn！为什么死的不是童磨,375.459,5,41194,2026-02-23 23:41:18,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,damn,damn
Cos科学家。,557.28,1,16777215,2026-02-23 21:58:33,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,Cos,Cos
炭香sl 角色活着 香奈乎独美,1232.327,1,16777215,2026-02-18 20:07:08,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,sl,sl
os好扫,600.487,1,16777215,2026-02-16 18:07:16,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,os,os
我和我闺蜜bi like,382.623,1,16777215,2026-04-12 19:26:03,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,bi like,bi like
看到是gay,948.521,1,16777215,2026-04-12 18:43:27,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,gay,gay
想看3D,177.479,1,16777215,2026-04-12 16:32:54,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,3D,3D
Hello,22.0,1,8700107,2026-04-12 10:10:10,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,Hello,Hello
Hello，hello又见面了,2.155,1,16777215,2026-04-09 13:19:39,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,Hellohello,Hellohello
童磨和太宰治是同一个CV,535.289,1,16777215,2026-04-08 18:41:52,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,CV,CV
CS来了,307.608,1,16777215,2026-04-07 18:03:18,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,CS,CS
4k高清真好看,122.481,1,16777215,2026-04-07 13:15:15,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,4k,4k
嘿hello小宝剑们又遇见了,16.236,1,16777215,2026-04-06 20:38:10,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,hello,hello
他没有叫堕姬qwq,515.612,1,16777215,2026-04-06 16:46:15,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,qwq,qwq
直接O39。哎,919.235,1,16777215,2026-04-06 14:49:31,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,O39,O39
Hi！,21.011,1,16777215,2026-04-05 21:09:23,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,Hi,Hi
MM,294.784,1,16777215,2026-04-05 16:37:44,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,MM,MM
akaza,162.937,1,16777215,2026-04-05 13:35:58,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,akaza,akaza
主公o>_<o,104.65,1,16777215,2026-04-04 09:09:30,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,oo,oo
堕姬：hello？鼠的不止我哥哥吧？hello？？,526.815,1,16777215,2026-04-04 01:09:20,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,hellohello,hellohello
nao,496.008,1,16777215,2026-04-03 22:22:42,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,nao,nao
TvT,61.075,1,16777215,2026-04-03 19:05:30,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,TvT,TvT
已经分不清是3d还是2d,559.331,1,16777215,2026-04-02 21:40:55,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,3d2d,3d2d
Ciaalo,76.557,1,16777215,2026-04-01 21:31:44,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,Ciaalo,Ciaalo
黑死me,479.168,1,16777215,2026-03-30 06:38:17,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,me,me
猗窝座SO：当然担心，担心死的不是你。,385.569,1,16777215,2026-03-29 16:49:47,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,SO,SO
666还是个m,721.195,1,16777215,2026-03-29 01:22:30,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,666m,666m
AH,449.065,1,16777215,2026-03-28 21:46:24,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,AH,AH
