content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
妈妈是个爱哭的人，是把汐努力生下来的人，是爱着爸爸的人,10,超神作,4m ago,nagisa,876,CLANNAD 〜AFTER STORY〜,2,9.2
补，在动画里还是够格的,9,神作,1h 54m  ago,0And1Story,876,CLANNAD 〜AFTER STORY〜,2,9.2
看哭了,10,超神作,5h 51m  ago,yanami酱,876,CLANNAD 〜AFTER STORY〜,2,9.2
有的剧情不是很合理，但是瑕不掩瑜，能引起共鸣，这份细腻的感情是真的,10,超神作,19h 27m  ago,Ryu6000,876,CLANNAD 〜AFTER STORY〜,2,9.2
阳平篇 8+ / 美佐枝篇7/ 有记宁篇7,8,力荐,20h 7m  ago,幻星龙帝,876,CLANNAD 〜AFTER STORY〜,2,9.2
20年看的，太好看了！！！,10,超神作,21h 16m  ago,叶子,876,CLANNAD 〜AFTER STORY〜,2,9.2
在我自己看了，是真正的神作,10,超神作,1d 1h ago,M,876,CLANNAD 〜AFTER STORY〜,2,9.2
伟大，无需多言,10,超神作,1d 2h ago,事与愿wei,876,CLANNAD 〜AFTER STORY〜,2,9.2
"没有第二季的cl是不完整的，如果第一季是青春与相爱，那么第二季就是责任成长，和人生
这部被万人吹捧的催泪神作背后的是什么？是与古河渚一起度过的柴米油盐，是与冈崎直幸的和解与理解，是冈崎朋也面对离别的挣扎与痛苦，是对汐的爱与释怀
相爱，失去，沉沦，醒悟，那些平凡的日常与温暖的陪伴，才是生活中最宝贵的时光，麻枝准仅用了短短1000多分钟就完美呈现了一个普通人深沉而又热烈的爱情与人生，这不仅是一部动漫，更是一部教人担当，成长的人生必修课",10,超神作,1d 3h ago,蚯蚓,876,CLANNAD 〜AFTER STORY〜,2,9.2
没有你的世界，都无所谓了。回头看，原来自己也是自己憎恨的人。,10,超神作,1d 6h ago,小野屋,876,CLANNAD 〜AFTER STORY〜,2,9.2
补标,9,神作,1d 10h ago,甜食伯爵,876,CLANNAD 〜AFTER STORY〜,2,9.2
KEY社最高作，AS的改编不错，比本篇好,7,推荐,1d 18h ago,使徒之海,876,CLANNAD 〜AFTER STORY〜,2,9.2
神，无需多言,10,超神作,2d  ago,T.T123,876,CLANNAD 〜AFTER STORY〜,2,9.2
"前作无聊完了,前4集脑瘫完了,再看 3 集还是这种水平打一星.",1,不忍直视,2026-4-10 15:20,魔力奶爸,876,CLANNAD 〜AFTER STORY〜,2,9.2
无法逾越的高峰,10,超神作,2026-4-9 14:21,霜落冰海,876,CLANNAD 〜AFTER STORY〜,2,9.2
