content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
不管走到哪里看到就会被硬控的含金量,10,超神作,1h 43m  ago,LULU,25961,猫和老鼠,3,9.1
无需多言,9,神作,14h 23m  ago,Gojeonpa,25961,猫和老鼠,3,9.1
小时候看的，非常有意思，全年龄神作！John Pomeroy赛高！！,10,超神作,21h 12m  ago,叶子,25961,猫和老鼠,3,9.1
"永不过时的经典
无论是什么年龄段拿出来看都会感到有趣",9,神作,1d 3h ago,凌空ovo,25961,猫和老鼠,3,9.1
差点忘了猫和老鼠也是一部动画，一部动画史上的真神，永远忘不了小时候乱序看的时候的快乐；不知道是否全部看完了，从未注意过，不过只要是网上能搜到的，都应该看过至少两遍了；虽然现在依旧记得清很多情节，但即便如此，如今的我也乐意再次重温任何一集，毕竟，这份最初的记忆无论何时都能为我带来些许笑容，我相信这是永恒不变的，不知未来如何呢？这部作品的内容永远不会改变，它还是一对仇家、一猫一鼠的故事，若当我们在未来忘记了它为我们的世界带来的那份美好，届时，我们的人生应该就算是真正意义上永远的失去了纯真的童年，转而成为生活的囚徒——2026/4/10,0,未评分,2026-4-10 13:14,RxLkl,25961,猫和老鼠,3,9.1
经典,10,超神作,2026-4-9 10:51,wm,25961,猫和老鼠,3,9.1
"从动画的角度而言非常不可思议的作品
算是绝大多数人的童年启蒙
无需多言",10,超神作,2026-4-8 13:18,陈蔚蓝cwleste,25961,猫和老鼠,3,9.1
这能第3 我看鬼灭之刃能第1,1,不忍直视,2026-4-7 22:41,哟哟哟魔女,25961,猫和老鼠,3,9.1
刷分刷上来的，很无聊，这个要是能排第3，那葬送的芙利连绝对是第一了,1,不忍直视,2026-4-7 06:10,2.2,25961,猫和老鼠,3,9.1
能感受到精彩的音画协同，炫技般的动作作画，比较出色的情节创意。但是同样的，样板化公式化，不明所以的情节越来越多，形式上的精彩带来的冲击趋于平和，整个作品变得愈发无聊。局部优秀但是整体却很平庸,7,推荐,2026-4-6 21:36,瓶子大家族,25961,猫和老鼠,3,9.1
小学生最爱，大学生也爱,10,超神作,2026-4-6 01:00,葬送的芙莉莲,25961,猫和老鼠,3,9.1
"作画节奏各种音效,感觉都是无法超越的水平,什么东西都恰到好处,抛开童年印象分也是绝对无敌的作品。",10,超神作,2026-4-5 13:54,the question,25961,猫和老鼠,3,9.1
无需多言,10,超神作,2026-4-4 00:08,uru_official,25961,猫和老鼠,3,9.1
百看不厌,10,超神作,2026-4-3 20:42,sadness,25961,猫和老鼠,3,9.1
神,9,神作,2026-4-2 12:55,千珏,25961,猫和老鼠,3,9.1
世界遗产级别的。,10,超神作,2026-4-2 09:12,魔飯,25961,猫和老鼠,3,9.1
我已经回不到我的童年了，我现在居然感觉有几集令人不适或恐怖。//居然有好几集都是总集篇性质，不可思议。//Gene Deitch地这几集简直糟糕透顶，公认的黑历史不看也罢。//Chuck Jones的这几集好想象力好丰富，实现漫画框隔空取物了，不过这个时候的猫鼠没有朋友打闹的感觉了。//全部看完，除了公认的黑历史，我也不大喜欢Chuck Jones的部分，不过MGM版本确实非常有趣。,9,神作,2026-3-30 20:20,默倚,25961,猫和老鼠,3,9.1
献给童年，伟大无需多言,10,超神作,2026-3-30 01:27,浮梦,25961,猫和老鼠,3,9.1
现在看也不算晚。,0,未评分,2026-3-28 17:40,NieA_SE7EN,25961,猫和老鼠,3,9.1
少儿动漫封顶8分,1,不忍直视,2026-3-28 08:25,kjmw,25961,猫和老鼠,3,9.1
伟大，无需多言,10,超神作,2026-3-27 13:55,锦绣山河,25961,猫和老鼠,3,9.1
夯中夯,10,超神作,2026-3-26 23:36,雨宫莲,25961,猫和老鼠,3,9.1
Hanna和Barbera时期是10分，后面即使抛开Chuck Jones时期我也不太感冒。个人比较反感用这部作品去踩其他正剧的行为，Tom and Jerry本身的价值应该是一种无功利的快乐才对。,0,未评分,2026-3-26 16:27,LAD,25961,猫和老鼠,3,9.1
无需多言,10,超神作,2026-3-24 15:02,丢人王六六,25961,猫和老鼠,3,9.1
