content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
算是体现出神山健治跟押井守的区别了，如果换成鸭子来导大概率会塞进一堆纯日常回用以补充角色细节和强化角色印象；神山这版26集从头到尾要么主线回要么支线回，完全没有日常故事插足的空间，这种角色与故事强绑定的风格虽然能使得剧情更紧凑但也导致角色被剧情框死了，角色几乎无法脱离故事单独存在，反倒是塔奇克马这种长期游离于故事之外的角色能给人最长久的印象,8,力荐,15h 38m  ago,ベホイミ,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1
了不起的作品,8,力荐,21h 2m  ago,杨,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1
神,10,超神作,23h 25m  ago,蚯蚓,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1
9.2非常现实的结尾，“未成熟者的特征，是为理想选择高贵的死；成熟者的特征，是为理想选择卑贱的生。 ”“我们没有灵魂，却在思考何为灵魂。 ”ep17，ep25（2024.5.12～2026.4.10）网络世界，无限宽广,9,神作,2026-4-10 13:39,凛十一_dimmyts,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1
至今想不出，这么神的动漫，竟然只是第5，总有一群自认为有品的人恶意刷低分，其实也正常，毕竟高品味永远是少数群众的特权,10,超神作,2026-4-9 16:41,2.2,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1
被严重高估与跟风吹嘘的作品，单元回大多都很平庸，无论故事性还是表现力都相当一般，看似涉及的多，深度跟内涵却仅仅浮于表面，也没什么出色的镜头语言，人物刻画并不周全与深入，像前期巴特个人回是个很好的切入点结果表现比较肤浅，主线节奏松散，没有悬疑感，剧本一般，尾声的留白也略显自以为是。整体看下来其实还算喜欢，但被吹过头了,7,推荐,2026-4-8 20:44,渐渐被你吸引,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1
ep1比老版观感好//为什么要洗女主服装啊，正剧里设计成这样就是烂啊//一堆当代弹幕，花心思去洗这种历史遗留糟粕，这何尝不是行为艺术//←就为了看场外因素的猴有必要继续补么。←因为它本质和屏幕是一种丑陋所以才更反感么。//针对tv：开始装逼知道眼皮底下有垢都没本事抠掉。乐，西装革履、推杯换盏的既得利益者矜持，这终归是供大肚皮吮吸的镜花水月啊，除开一只谈二，怎能苟同呢？上次有这种观赏体验还得是别人压抑到没边的yy，正剧么还这犬样，探讨么茧房外有的是，美术么我是真没被打动到，横竖看也只像是懦夫的奶头乐，非受众，不打分表示尊重。,5,不过不失,2026-4-7 07:34,天上的浇头,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1
其实还行，它从脖子后面可以拉根线的操作，这个是不是赛博朋克里面的操作的鼻祖啊？其实就是很简单的犯罪剧，至于说的哲学的思考，我能看出来一点，但是其实并没有很细的往里面思考。草薙素子我好喜欢，无论是性还是灵魂,6,还行,2026-4-6 23:51,枫逸瑾,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1
神,10,超神作,2026-4-6 22:01,紅莉栖,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1
超爱塔奇克马,10,超神作,2026-4-6 02:59,Kenneth,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1
相比2nd更注重单元剧，主题也不同，但仍然极其惊艳,0,未评分,2026-4-5 20:30,Daiba_Nana,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1
除了机器人那几集看的想睡觉外，看的很爽。,7,推荐,2026-4-4 23:44,超冷的哀酱,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1
总体很棒，但部分单元剧质量不太高,9,神作,2026-4-4 15:50,锦绣山河,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1
10，我可能没什么资格评价它,10,超神作,2026-4-3 11:47,12c,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1
坏了，是单元剧，我不爱看（）,0,未评分,2026-4-2 23:54,海鳴,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1
"人们需要一个符号，来确认“我是谁 ”。
人们需要一个敌人，来确认“我不是谁”。人们需要一个故事，来确认“我为什么在这里”。",10,超神作,2026-4-2 12:47,rewired,324,攻壳机动队 STAND ALONE COMPLEX,5,9.1
