content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
加入看单里至少4年了,0,未评分,20h 25m  ago,不聪明的亚子,237,攻壳机动队,9,8.8
忘标了，说真的，何以为人这东西，不说哲学神学科学的部分，就算是玛丽雪莱也写了七七八八吧。放在一百年前也是土土的，气氛塑造很到位但也是剧场版有钱烧这一块。加一分给我爹川井宪次的神中神谣。,6,还行,1d  ago,nullexist,237,攻壳机动队,9,8.8
老铁，这是在日动里罕见的，台词与画面逻辑高度贴合的动画效果，每个镜头除开技术有限的原因都尽量用图形和线条呼应台词和口气。女性肉体戳着尖锐的茂盛的脑袋，微妙的不聚焦瞳孔、又狼一样的发光，由身体符号的视觉多重对比建立起的强壮与坚毅，又被时不时叹出的长长的婉转的自省包裹，由语言成为支撑对比的第三面，这是用美术力量实操的精心构建出的主体性啊。这开场已然摆明让女主排泄掉凝视，回到她的世界与自我，又在结尾褪皮，只有这样才能和你的先锋宏图并行自洽啊。这起手教学都喂到脸上了，大肚皮tv换瞳色玩成高叉泳衣sm，这居然能相提并论吗？害得我以为整个ip都一坨，被观看顺序驴了个大的，何意味系列评分，和解了，确实有壁。//我认为美术就是一场魔术，旨在对可视的任何做出个人的再阐述。那制作组就是在解构与操控感受的理解上近乎妖孽的魔术师，这真是一场世纪魔术啊，氛围十足，像上了堂课。,9,神作,1d 5h ago,天上的浇头,237,攻壳机动队,9,8.8
攻壳的世界观铺垫点到为止，但电影想要探讨的主题内核与提出的概念可是相当前卫，那可是1995年！如今过去31年，AI如设想般到来开始改变世界，仅仅发展几年就掀起了第四次工业革命，所生成的影像数据开始以假乱真，而在此基础上再过三十年呢？或许在不久的未来，关于人类与AI生命共存的哲学思考就会被真正摆上台面「如果记忆可以被创造，那么我是谁?」「如果意识可以相融合，那么还存在个体与灵魂之分吗，世界还存在真与假吗？」，不禁让人遐想到距离我们将意识或是记忆上传入信息海之后，关于「我」的边界会消失，从而实现赛博永生穿梭于信息海的时刻还有多久会到来，这种超越生与死的概念简直震人心魄，以至于看完后思绪仍在不断回响··另外押井守的个人风格也实在强烈，极致的冷峻美学，特立独行的音乐傀儡谣，超长意识流的香港漫游空镜等等，所有的这些元素交织在一起造就了这部跨时代的影史伟大巨作！,10,超神作,1d 19h ago,屹青,237,攻壳机动队,9,8.8
二遍,0,未评分,2026-4-10 02:18,kinso,237,攻壳机动队,9,8.8
故事节奏几近完美，探讨的存在主义问题深刻但并不难懂，这得益于导演和制作组的叙事功力。后劲很大的划时代作品,9,神作,2026-4-9 01:35,栗悟饭和龟波气功,237,攻壳机动队,9,8.8
"灵魂在眨眼间浮沉
■
从去年有引进的消息开始祈祷，终于等来删减40s的结果，电影票改签过一次也不能退了?",10,超神作,2026-4-8 17:37,鱼头,237,攻壳机动队,9,8.8
本身的故事在一个半小时里想完全讲明白还是有点太困难了，但它确实去探讨了一些东西,9,神作,2026-4-7 14:13,CyraZm,237,攻壳机动队,9,8.8
一般，不懂哦,0,未评分,2026-4-6 19:28,小沙盒2,237,攻壳机动队,9,8.8
看的第一部鸭子的电影，值得反复评鉴的作品,10,超神作,2026-4-5 20:37,Daiba_Nana,237,攻壳机动队,9,8.8
