content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
“坚持不下去的时候，一定要寻求别人的帮助，因为只有这样，才会有能依靠你的人”,10,超神作,2026-4-9 07:15,MiSuZu DaiSuki,211567,3月的狮子 第二季,10,8.8
为了醋包的这盘饺子,1,不忍直视,2026-4-9 04:43,用户,211567,3月的狮子 第二季,10,8.8
好温暖，眼泪止不住。学了将棋基础才知道将棋的世界，剧中男主7手诘跟喝水一样，不愧是职业棋手。羽海野千花老师的 蜂蜜与四叶草 也好看的。,10,超神作,2026-4-7 17:38,THEKEY,211567,3月的狮子 第二季,10,8.8
野火那两集神回把整部剧拉到新的高度,9,神作,2026-4-6 22:36,momom,211567,3月的狮子 第二季,10,8.8
沁人心脾，希望零能幸福！我要看漫画去了,10,超神作,2026-4-5 17:30,miraitowa,211567,3月的狮子 第二季,10,8.8
第二季剧情比第一季精彩不少,7,推荐,2026-4-5 14:01,the question,211567,3月的狮子 第二季,10,8.8
成长与治愈神作,9,神作,2026-4-4 16:14,英梨梨不会败北,211567,3月的狮子 第二季,10,8.8
感觉一般啊,7,推荐,2026-4-2 22:33,艾丝凡防撒,211567,3月的狮子 第二季,10,8.8
缓缓褪去早已僵硬的外壳，稚嫩的双手轻轻触碰着温暖的樱花瓣。作为一部成长番，三狮无可挑剔。最开始逃避一切的少年在温情中拾起勇气，直视感受，直视自己，直视他人，直视世界。在迷茫中缓缓探寻自己的意义，寻求一切的解释。作为一部群像番，三狮更是惊艳无比。所有人物，戏份或多或少，都在优秀的原作下得到了十分完备且复杂的人物弧光。面对千日手毫无退缩的小胖，背负着家乡的岛田，以及许多并不绝对重要的角色，都实打实地让我感受到了他们作为一个角色的魅力。称之为最好的群像番，毫不为过。之所以能做到如此出彩，本作对于“瞬间”独到的描绘绝对为最大功臣。幸福的瞬间，迷茫的瞬间，潮湿的瞬间，炎热的瞬间，这些难以表达的情绪与意象总能被在一瞬间以巧妙的演出被优美呈现，而本作最为难得的真实感也得以从中涌出。虽说将棋线和生活线联系过浅实属遗憾，不过这不妨碍三狮依旧是一部用心，细致的作品。,8,力荐,2026-3-31 21:30,MaxaM73,211567,3月的狮子 第二季,10,8.8
很大程度上，本作的叙事逻辑是博物馆式的，需要谁登场才去讲谁的故事，在此之前完全没有铺垫，因此，三月的狮子算不上很优秀的群像剧。但抛开这层来看，无论是讲将棋的部分，讲同僚们的部分，还是讲现实生活的部分，讲原生家庭的部分，几乎每个章节都做到了尽善尽美，细挖起来堪称杰作的杰作。偏偏到头来用极长的篇幅去讲一个臭而长的校园霸凌故事，除了增加观众对次女的怜爱以外，剩下的桥段实在莫名其妙。霸凌者重拿轻放，帮凶们公式化道歉再洒几滴眼泪，要不是圣人日向坚强包容，否则各个都该杀。唉，真是给你虚伪完了。,8,力荐,2026-3-31 13:50,王司徒,211567,3月的狮子 第二季,10,8.8
挺温馨，可惜人物形象不是很合我眼,8,力荐,2026-3-29 13:01,锦绣山河,211567,3月的狮子 第二季,10,8.8
"我真的不太适应羽海野老师这种青春满满酸甜温情的异性恋，但真的冲着这一口去应该货很对版吧，我愿称之为高级key系！还是喜欢一期那种不完全属于这里的感觉……唉，一款我的问题。二期不同段落水平起伏挺大的，欺凌篇前面给我的感觉不算好，太范式太健全了成年人都太有成年人样子了！人均温柔坚定指导者。但是结局日向的话特别喜欢——「因为她们无论怎样都不会觉得自己错了，很快就把这件事忘记了，所以我要一直去学校，一直开口，不论发生什么都要活到毕业，绝对不会把自己的人生付之一炬」……唉太喜欢保持愤怒的、对世上一切不断带刺不断质问的小孩。并非付之一炬，而是把自己点燃了一样激烈的女人。
现在反倒觉得这片的下棋刻画巨好啊，几乎每场对决每个人物都有着潇洒淋漓的个性高光，假如没情感戏纯下棋我能再加两分……虽然是纯粹残酷的竞争世界，但也经常从场外让人觉得那是一个人与人有所交流的世界。",8,力荐,2026-3-28 21:09,アメノ涼子,211567,3月的狮子 第二季,10,8.8
