content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
剧情对于如今而言过于少年漫了,7,推荐,14h 29m  ago,Gojeonpa,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
重看了，前面有点赶，但是忠于原作。,8,力荐,17h  ago,扶她扶不起,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
没有缺点就是最大的优点，毋庸置疑,10,超神作,1d 3h ago,蚯蚓,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
歌好听，剧情没感觉，看了十集，没什么大的缺陷，但也没什么让人眼前一亮的神来之笔，能看出有多线叙事的野心，但很难吸引我继续看下去，制作上比起现在的大制作动画乏善可陈，就这么弃了吧。,5,不过不失,2d 22h ago,吾妻佐切,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
很完美 24年底第一次看简直是相见恨晚 回看了三四遍每次都折服于世界观和角色设计的精妙 大概再也不会有这么优秀的少年漫了,10,超神作,2026-4-10 13:46,sceneryss,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
很不错很不错，但是感觉一切锅都甩到小黑球上还是不让人满意,8,力荐,2026-4-10 05:02,此用户已删除LMUR,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
结尾有些部分有点降智和强行剧情 别的都很好 四天刷完,9,神作,2026-4-9 22:56,Paiapo,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
荒川弘就是区,1,不忍直视,2026-4-9 20:10,3-E,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
09年的动画片我26年观看也没感觉到什么违和感 毋庸置疑的佳作 难得的并不过誉,8,力荐,2026-4-9 15:08,Clementine,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
热血少年漫的顶点了，人物塑造立体，叙事节奏舒适，配乐时机恰到好处，情绪渲染顺理成章，不得不感叹一句六边形战士。,9,神作,2026-4-9 07:32,Lipo,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
画面优秀打戏流畅，叙事节奏非常好几乎一直引着观众的思绪，有大量感情爆发的神回（亲情线，友情线，爱情线），以及恰到好处的伏笔回收，结尾豆爸离世我大概能记一辈子了（bgm：rain）,10,超神作,2026-4-9 00:06,Misuzu,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
"所谓既有艺术性又有动画感，剧情人设全都讨喜的六边形战士是也
希望每个创作者都可以看一次的
某种程度上的标准答案",10,超神作,2026-4-8 13:31,陈蔚蓝cwleste,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
这玩意牛逼在哪儿呢,3,差,2026-4-8 02:24,刷； ；牙,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
高中看的为数不多的长篇之一 非常宏大的世界观 逻辑很完美的同时也不存在战力崩坏的问题 看了这么多集也不会觉得无聊 神作,9,神作,2026-4-7 21:49,酒鬼天下第一,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
完全神作，现在想起来每个oped得音乐都很好听，还有神插入，当时第一次看的时候完全被大哥哥那一集吓到了( ･᷄ὢ･᷅ ),10,超神作,2026-4-7 10:25,NGC2237,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
站在顶尖的少年热血漫,10,超神作,2026-4-6 00:59,葬送的芙莉莲,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
大量多线叙事，虽然部分情节降智，但人物塑造完美，就算是配角都塑造得有血有肉。故事通俗易懂，却又给人以深刻的思考，现在看过最完美的少年漫改。,10,超神作,2026-4-5 20:46,iokm,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
最佳热血少年番，真神！,10,超神作,2026-4-5 18:15,Ilya,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
将等价交换贯穿全剧，最后决战了两次片尾插入和爱德华的最后一次的炼金术，热血少年漫的巅峰无疑了,10,超神作,2026-4-5 18:13,渚酱真可爱,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
"就是很出色的作品,你很难说它虽然人物画风有一点点低龄的感觉,但是一口气看起来就是很过瘾,很痛快,只能说观看下来,我觉得确实是骨头社的巅峰。",8,力荐,2026-4-5 14:03,the question,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
动画确实是神作,10,超神作,2026-4-5 00:35,Possib1e,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
人物塑造好，基本没有那种前面出现过，隔了很久再出场我就不记得的角色，剧情节奏舒适，故事扎实不谜语，世界观设定、故事、人物塑造结合非常好。比起前面说的这些，战斗设计我认为稍差了一点。总之是一部值得一看，甚至再看的作品。,9,神作,2026-4-4 05:00,瑟尔泽,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
能够做到主题，人物，剧情，设定高度统一的作品，看这部作品不能一遍过，看第二遍可能比第一遍要好上不少,10,超神作,2026-4-3 22:31,帅比,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
无论在剧情，音乐，作画等方面都非常优秀，但我不认为可以直接评为神作，对我没有那种直击灵魂的震撼感，可能我不感冒吧，题材还是相当不错的，非常值得一看,8,力荐,2026-4-3 18:00,万华落川,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
当时瓶中小人出来的时候不知道怎么赢,9,神作,2026-4-3 08:17,凉宫春日,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
"315 5348
(64+4)
2024.4.8-2025.8.5",9,神作,2026-4-3 02:10,平泽唯唯,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
⭐,9,神作,2026-4-3 00:58,周紫陌,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
"绝对意义上的神作,剧情深度,人物塑造,感情渲染,音乐,画面等都是顶级,看完之后忍不住再次品味的作品",10,超神作,2026-4-1 23:24,fanartly,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
03几年前看完了但fa一直没补，前面剧情基本一样导致根本看不动，说不定在我现在忘了不少剧情的时候重看一遍就能看完了，总之先标记下吧,0,未评分,2026-4-1 11:03,空晴,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
20集开始和03版差别就很大了,8,力荐,2026-3-30 20:41,鑫炎玉,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
这是我等价交换的起源吧，全程50多集，但是看起来感觉却没想到那么长，一下子就看完了，后面而且还有一个很美好的结局，这是我没想到的，看的时候一度很绝望觉得男主兄弟真的没救了，他们肯定会be的吧，没有什么能拯救他了，结果还真给他救回来了，看当时看着他们俩在里面撕门，看的我全身都在用劲，恨不得出一份力帮他们撕开来，能够得到善终，真的太好了，感恩呜呜呜（捂嘴哭）,8,力荐,2026-3-30 02:24,kanro,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
少年漫的理想形态——不仅意味着作品很好地发扬了少年漫的优势，同样意味着作品没能避开少年漫普遍的缺点（或者说“特点”），不过虽说谋篇布局之外本作其实没有真正出类拔萃的点，但角色（而非人物）塑造、核心抒情、情节的质量和密度都迈过了佳作门槛，对话设计、歌曲和剪辑也效果不错，作为作品的质量还是足以让人信服,10,超神作,2026-3-29 00:18,苌楚无思,1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,8.8
