content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
速速没！塔塔开！,9,神作,16m ago,nagisa,263750,进击的巨人 第三季 Part.2,16,8.7
动漫史上打戏文戏双巅峰，“”海的那边是敌人“”,10,超神作,20h 36m  ago,圆心,263750,进击的巨人 第三季 Part.2,16,8.7
最好的一季,9,神作,2026-4-9 02:03,Ame韵雨,263750,进击的巨人 第三季 Part.2,16,8.7
巅峰,10,超神作,2026-4-9 01:06,蕩れ,263750,进击的巨人 第三季 Part.2,16,8.7
好看,8,力荐,2026-4-6 20:35,北川夕利,263750,进击的巨人 第三季 Part.2,16,8.7
团长够帅，顶级少年漫改,9,神作,2026-4-5 22:35,Nice_Future,263750,进击的巨人 第三季 Part.2,16,8.7
巨人篇章的巅峰，任何意义上,9,神作,2026-4-5 17:24,Ilya,263750,进击的巨人 第三季 Part.2,16,8.7
兵长砍猴帅呆了,10,超神作,2026-4-5 15:48,田小谷,263750,进击的巨人 第三季 Part.2,16,8.7
忘不了第一次看时的震撼与触动。神场面数不胜数,9,神作,2026-4-5 15:08,3rd,263750,进击的巨人 第三季 Part.2,16,8.7
二刷补标,9,神作,2026-4-4 19:36,Levi0743,263750,进击的巨人 第三季 Part.2,16,8.7
补标，个人觉得最好的一季,9,神作,2026-4-4 16:09,Friedrich,263750,进击的巨人 第三季 Part.2,16,8.7
最后的荣光,9,神作,2026-4-4 15:52,英梨梨不会败北,263750,进击的巨人 第三季 Part.2,16,8.7
怒涛展开，教科书般的改编，剧情类动画的巅峰。,9,神作,2026-4-4 02:26,yifei,263750,进击的巨人 第三季 Part.2,16,8.7
高潮来了,9,神作,2026-4-3 09:37,nongchaoer,263750,进击的巨人 第三季 Part.2,16,8.7
暴力而赤裸的生存之战，原始和信仰碰撞的震撼,9,神作,2026-4-2 22:09,xung,263750,进击的巨人 第三季 Part.2,16,8.7
神作,10,超神作,2026-4-2 16:55,uiuc,263750,进击的巨人 第三季 Part.2,16,8.7
不论是谁想要让我推荐动漫，我的第一个回答永远都是，进击的巨人,9,神作,2026-4-2 12:57,千珏,263750,进击的巨人 第三季 Part.2,16,8.7
我感觉这是巨人最好看的一部。,10,超神作,2026-3-31 13:54,不跟风,263750,进击的巨人 第三季 Part.2,16,8.7
巨人系列最好的一季，很好地收束了帕拉迪岛的故事。海的那边是什么，如果把海那边的敌人都杀光我们就能自由了吗,9,神作,2026-3-30 14:21,zgzgzg,263750,进击的巨人 第三季 Part.2,16,8.7
