content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
一个月多的时间看完了作品，有不少的感触，过段时间如果有空我会写篇长评来聊一聊,9,神作,22h 29m  ago,つばさ,2907,银河英雄传说,17,8.7
有点后悔没早点看了，如果是我当年中考完或者在高中时就看了这部，估计他会成为我的本命作。现在看会发现很多地方很粗糙，上学时可能不会在意，但现在会出戏。,9,神作,2026-4-9 15:54,不成熟的迷失者,2907,银河英雄传说,17,8.7
"云过一些剧情
一直没有耐下性子看的机会
有空补补.jpg",0,未评分,2026-4-8 13:35,陈蔚蓝cwleste,2907,银河英雄传说,17,8.7
我们的征途是星辰大海，最差的民主也要好过最好的专制,9,神作,2026-3-30 23:56,言理,2907,银河英雄传说,17,8.7
经典空想作品，在1988可以给8分，在2026只能给6分，从2017「百年未有之大变局」这个概念提出以来，疫情，俄乌，以色列加沙，以色列美国伊朗，现实比空想更精彩也更残酷。（全世界除了一些理想主义志愿者，就这样看着以色列对加沙种族灭绝，内塔尼亚胡这3年成功扭转了希特勒的风评，希特勒从人类史上知名战争罪犯 变成 想要阻止犹太人操纵世界对加沙种族灭绝的穿越者）,6,还行,2026-3-15 07:18,Miku,2907,银河英雄传说,17,8.7
"刚开始看，人物太多，欧美名字太难记了[捂脸]，好在通过发色区分得开。
要是停留在牢杨结婚的55集就好了。
看之前以为是宇宙高达圣斗士之类的……
处处透露着东西方的历史，是糅合大作，鉴于三国在日本的地位，所以很多桥段第一时间都是联想到三国的典故。
愿你魂归瓦尔哈拉，杨和莱因哈特开始在瓦尔哈拉征服另外一个宇宙了……",10,超神作,2026-3-13 08:04,不聪明的亚子,2907,银河英雄传说,17,8.7
ACGN史上本不该被遗忘的一座丰碑。如果说IMAS是千禧年后声优黄埔军校，那银英动画就是全业界的黄埔军校。虽然古语云“圣人不死大盗不止”，但谁不喜欢看“圣人”“英雄”的故事呢？或许是受限于文学创作和田中希望早点完结的心理，以现在眼光看后期的莱茵哈特完全会觉得他已经陷入了一种自我感动和陶醉的情绪中。因此，如果硬要比较的话，我相信现在人可能更多喜欢杨而不是金发小子。,10,超神作,2026-3-8 13:24,Ganfisher,2907,银河英雄传说,17,8.7
【9+】，最佳小说改，最好的太空歌剧，除了数值有点阴没什么不满意的,9,神作,2026-2-28 21:09,樱姬花吹雪,2907,银河英雄传说,17,8.7
260218：一些持续至今的议题，抑或是地域性的代差？；吉格飞带走了所有的色彩，世界变成灰色,8,力荐,2026-2-18 14:36,西野六花,2907,银河英雄传说,17,8.7
配乐和文戏很好，但军事和政治的描写有些浅薄，我更想多看看两位主角的故事，乏味的群像暂时看不下去了,7,推荐,2026-2-16 22:45,牧濑清莉栖,2907,银河英雄传说,17,8.7
"最后几集所展现的效果实在不太理想，自杨死后的故事就如同红楼梦高鹗那加的四十回，注定是不完美的，杨永远是一位在银河历史上注定要名留青史的人物，但他不应该死的那么荒唐那么仓促，或许这就是命运吧，人是无法反抗自己的命运的。

如果说莱茵哈特是一把锋利的剑话，那吉尔吉菲斯就是他的剑鞘，当剑鞘离去，再锋利的剑失去了支撑与保护也会随之离去。后代的诞生，与姐姐的和解，敌人的消失，一件又一件的事情被解决，这个宇宙最骄傲最自负的男人失去了目标在没了剑鞘的保护之下，这个如同大神奥丁一般的男人，也化作最亮的那颗星星，照耀着新银河帝国的子民。

而被他所照耀的子民将会走向何方? 无人知晓，旧的传说结束了，而新银河的历史又往下翻了一页，一个崭新的统一的银河将会由属于他的人民打造。在浩瀚的宇宙当中，接下来又会发生多少有趣的故事呢，我们就不得而知了。

再见了，银英",10,超神作,2026-2-12 05:52,穗娜,2907,银河英雄传说,17,8.7
宏观上的体制、国关、作战稍显古典，但这种宏观放到角色塑造上又成就了另一种三国的味道，挺喜欢的,8,力荐,2026-2-11 19:45,猫尾爱丽丝,2907,银河英雄传说,17,8.7
田中芳树对民主制度的反思、贵族阶层的勾心斗角、打着宗教旗号的恐袭，都有着一套逻辑严密的描写，里面包含的经济因素是以往战争文学想不到的：同盟为出兵名义不得不拿出军用物资赈济焦土战略，帝国征服同盟后疲于应付物资供应系统故障，皆造成了居民起义的混乱局势；同盟总统利用人民的盲目崇拜，管制媒体报道、资助右翼团体镇压和平示威，控制整个国家的军政要权造成了同盟的内战和灭亡，帝国内部也出现了军官敌视文臣导致部下叛乱的街头对垒，无不揭示政治的惟利是图远残酷于血腥征战；那两篇解说宇宙史的节目视频尤为深刻印征了杨利威对军队实质的看法，审训期间论述生命高于国体意义，明知政客的无耻仍坚守民主的信念，最后竟死于狂热的宗教和阴谋家，颇具悲剧意味；要说缺点，用中世纪骑兵战写宇宙舰队，黑洞代替有山有河的地形，很有问题。,10,超神作,2026-2-9 23:54,thunder,2907,银河英雄传说,17,8.7
我的征途是星辰大海q(≧▽≦q),9,神作,2026-2-8 19:05,萌王,2907,银河英雄传说,17,8.7
老版银英的尴尬和所有通俗作品一样，都困于情节和人物，有明显的设计痕迹，经常作为吐槽点的杨开挂可视为一个具体的案例。但如果接受这些设定（通俗作品就是需要大家共同约定某件事），那这部作品人物之繁杂多样，剧情之跌宕起伏，所涉主题之层次丰富，几乎无法在其他动画作品中看到。,0,未评分,2026-2-4 04:53,junkmen,2907,银河英雄传说,17,8.7
太空歌剧最高作吧,10,超神作,2026-1-15 21:29,ikari,2907,银河英雄传说,17,8.7
神作。,10,超神作,2026-1-11 20:26,sora,2907,银河英雄传说,17,8.7
二刷补标，作为科幻迷眼中自认最浪漫磅礴太空歌剧式的日漫。从莱因哈特覆灭高登巴姆王朝开始，安森巴哈和吉尔菲艾斯的刺杀与护主，杨在巴米利恩几乎逆袭成功，伊谢尔伦政府的成立，罗严塔尔的反叛，蔷薇骑士团最后的突击，到尤里安最后孤身杀到莱因哈特面前结束战争，这些英雄所绽放出神性的光辉，推动着宇宙历史的前进。杨威利，莱因哈特为中心的一系列人物塑造，田中先生成功的创造出了一大批深入人心且十分有人文魅力的英雄角色。遗憾的是吉尔菲艾斯过早退出这宏大的舞台，徒留莱因哈特落寞地孤独前行，最后他的命数用尽而终亦令人唏嘘，莱皇也完成了对吉尔菲艾斯的承诺 “わが征くは星の大海”,10,超神作,2026-1-10 19:20,天依天依天,2907,银河英雄传说,17,8.7
好长，不知道什么时候能抽时间看,0,未评分,2026-1-6 23:06,北小河,2907,银河英雄传说,17,8.7
