content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
时代的烙印之一,8,力荐,2026-4-9 09:42,kyon1586,11834,银魂',19,8.7
特别对电波的动漫，如果对生活有不解或者疑问的人会很喜欢。,10,超神作,2026-3-25 13:45,wenzhuo4657,11834,银魂',19,8.7
7.1,7,推荐,2026-3-16 20:28,aab852,11834,银魂',19,8.7
补标,7,推荐,2026-3-4 21:14,李世哲,11834,银魂',19,8.7
【8】，S2,8,力荐,2026-3-1 10:40,樱姬花吹雪,11834,银魂',19,8.7
银桑是我最喜欢的男主之一，为数不多让我看完全集的大长篇,9,神作,2026-2-22 09:20,yzhanglp,11834,银魂',19,8.7
"2023.11.1
我爱银魂。。。。",10,超神作,2026-2-20 00:34,硫酸盐,11834,银魂',19,8.7
满分，开场的第一个小长篇四天王篇神中之神，整体制作比第一季精良许多,10,超神作,2026-2-17 20:36,hsdheuhweh,11834,银魂',19,8.7
时不时会看，没太大感觉,6,还行,2026-2-17 17:39,秋洋,11834,银魂',19,8.7
最爱,10,超神作,2026-2-16 10:44,Winsyan,11834,银魂',19,8.7
"不要放弃啊，魂蛋
青春期16-20岁少年必看，虽然很恶搞但是是我眼泪掉的最多的二次元作品",10,超神作,2026-2-15 00:45,Asahina Saki,11834,银魂',19,8.7
挺有趣的，很多玩梗看得都很乐呵，不过有些热血剧情太套路，感觉都可以猜出下面的发展了，还不如日常剧情好看,8,力荐,2026-2-13 21:29,吱吱,11834,银魂',19,8.7
不得不说，银魂在长篇连载漫画中，做到了搞笑的极致，其他长篇搞笑的我只能想到蜡笔小新，这里不对两部动漫进行比较，因为二者都做到了让我能够在寻求快乐时一看就笑，诚然银魂会有一些这样那样的问题，但他已经做到了所在领域的极致了，就凭这量大管饱的长篇高质量搞笑番，给出10分就可以理解了。,10,超神作,2026-2-8 21:36,找找过去,11834,银魂',19,8.7
很喜欢银魂……热热闹闹日常真是太好了。不太喜欢对月咏的塑造，主线比起日常还是差一些的,8,力荐,2026-2-8 01:31,trap,11834,银魂',19,8.7
怎么说呢…主线的套路我有点看腻了 开头为了亲情或者爱情的委托和一大堆人敌对 被打爆然后回忆一下爆发之后嘴炮几句 中间夹杂着不合时宜的玩笑话 如果不是对这些人物有感情真懒得看下去 哪怕你们倒幕 为的是两个人的爱情？这格局也太小了吧//总体来说没第一季好笑 但特别好笑的短篇不少 石田彰配音太给力了//四天王篇好看 感觉这种长篇动画看多了就会生出感情……每个角色啥都不干就在那一出场就感觉好燃好感动 依然为锁血挂生气 战力崩坏的每一集 生死就在作者一笔里 每次感觉要死其实都没人死,8,力荐,2026-2-4 14:47,七海枫,11834,银魂',19,8.7
能看小银时，也是很掉贞操了,8,力荐,2026-1-30 22:40,我,11834,银魂',19,8.7
搞笑的同时又能让人体会一些道理,10,超神作,2026-1-29 21:51,clesa,11834,银魂',19,8.7
"常用标签：必看？
还真是。
但是对不起我真的没看完...因为集数太多了，而我的时间不够，我也没下全。
真的很好看很™搞笑！",8,力荐,2026-1-29 00:49,末永唯,11834,银魂',19,8.7
银他妈还是不够好看,0,未评分,2026-1-23 09:36,Ashin,11834,银魂',19,8.7
逗人的。,7,推荐,2026-1-23 01:52,威风番薯,11834,银魂',19,8.7
童年追到成年喵,0,未评分,2026-1-17 22:29,K-ON,11834,银魂',19,8.7
第一次知道ntr,0,未评分,2026-1-13 16:10,九思,11834,银魂',19,8.7
永远不洁！每个人都身处泥潭，道路黑暗，但依然以最渺小的节操换取那最鲜亮的灵魂。,8,力荐,2026-1-10 01:13,夏日终牡鹿,11834,银魂',19,8.7
"2012年看完
四天王篇还挺好看的",8,力荐,2026-1-7 11:34,躁动的U型锁,11834,银魂',19,8.7
我永远喜欢银踏马,10,超神作,2026-1-1 14:09,伏特加白,11834,银魂',19,8.7
不要觉得把一些不知所谓的词不加标点符号地组合成长难句就算是银魂式标题了喂,10,超神作,2025-12-30 15:26,WHEE2Y,11834,银魂',19,8.7
老实说我已经看得快睡着了，电波对不上，太平淡了，除了主线有一些矛盾的剧情，日常一点起伏都没有,7,推荐,2025-12-23 19:46,理塘王,11834,银魂',19,8.7
好看的日常番 人物形象很鲜明，梗放现在也很好笑，不会过时的一部,8,力荐,2025-12-19 23:52,crow,11834,银魂',19,8.7
万事屋永不完结！这一季的笑点依旧满满，尽管有些单集质量过于水，但高质量的故事不在少数：热血的有四天王篇，无下限的搞笑单集也有ep220、ep231这些。我喜欢这部动画的地方在于，每个角色都极易给人留下深刻印象——他们既遵循着自己的人设演绎，又时常跳脱常规，营造出绝佳的节目效果。而且动画很爱玩黄色笑话，这种搞笑方式总能让我忍不住笑出声，毕竟看着男角色们晃着那打了马赛克的部位，旁若无人地做出各种令人捧腹的举动，也就只有银魂敢这么大胆了。另外，动画该正经的时候也足够严肃，虽是传统的叙事配方，我却依旧吃这一套。一路追着银魂走到现在，它在我心中早已占据了不可替代的位置，真希望银魂的故事永远都不要完结！,9,神作,2025-12-19 16:22,沢近愛理,11834,银魂',19,8.7
吃饭时候挑着看了几集，早晚会看完的,10,超神作,2025-12-5 17:12,逆天的夏亚,11834,银魂',19,8.7
只要有银魂存在，那么人生就不会太糟啦,10,超神作,2025-12-3 23:27,哲克CAT,11834,银魂',19,8.7
看时间长了这个阶段感觉非常不错。,6,还行,2025-12-2 22:26,否极泰莱,11834,银魂',19,8.7
会看吗，会吗？,0,未评分,2025-11-30 21:37,ぽぽたん,11834,银魂',19,8.7
制作组满满的爱,9,神作,2025-11-26 21:59,藤崎羽护,11834,银魂',19,8.7
大学接触。不喜欢这莫名其妙的搞笑,0,未评分,2025-11-26 15:53,ginqiang,11834,银魂',19,8.7
假装自己看过了.jpg,7,推荐,2025-11-20 05:02,暁の車_2887,11834,银魂',19,8.7
现在很难再出来像银魂这样的番，神作,9,神作,2025-11-17 21:26,千早爱爱音,11834,银魂',19,8.7
银魂动画一向都做的好看,8,力荐,2025-11-10 03:58,假面骑士3号,11834,银魂',19,8.7
好看的炸了,10,超神作,2025-11-3 07:20,孤独的根号三,11834,银魂',19,8.7
很适合打发时间,7,推荐,2025-10-28 11:09,明日奈的折刀,11834,银魂',19,8.7
看了几集先放着,8,力荐,2025-10-27 15:29,乌拉吧嗒,11834,银魂',19,8.7
nice,9,神作,2025-10-26 03:34,鍾寒,11834,银魂',19,8.7
日常搞笑番，中断后因集数过多而搁置,6,还行,2025-10-14 17:37,千秋erQS,11834,银魂',19,8.7
我为什么一直拖着没看银魂呢？,0,未评分,2025-10-12 01:04,笑笑,11834,银魂',19,8.7
日常搞笑的天花板,9,神作,2025-10-8 12:37,mingzhixin,11834,银魂',19,8.7
很有意思，T0级别，每个人都有自己的武士道。,10,超神作,2025-9-30 18:35,adss,11834,银魂',19,8.7
银魂动画质量的顶峰阶段,10,超神作,2025-9-30 00:51,xaoma,11834,银魂',19,8.7
懒得评,3,差,2025-9-18 08:38,asa,11834,银魂',19,8.7
系列最佳,9,神作,2025-9-17 06:35,苍崎青子,11834,银魂',19,8.7
乐子真多,9,神作,2025-9-16 23:39,一夜纸鱼,11834,银魂',19,8.7
好看,8,力荐,2025-9-15 17:20,天缘,11834,银魂',19,8.7
第二季的节奏不错,8,力荐,2025-9-10 13:39,born1oopy,11834,银魂',19,8.7
长篇动画里独一无二的存在,9,神作,2025-9-8 14:49,铁血纵横,11834,银魂',19,8.7
卡密,10,超神作,2025-9-8 01:22,Akula,11834,银魂',19,8.7
神,10,超神作,2025-9-6 03:23,王铁柱,11834,银魂',19,8.7
青春努力和胜利！,9,神作,2025-9-1 16:33,半糖十七,11834,银魂',19,8.7
我刚挤出来的眼泪啊喂！,10,超神作,2025-8-30 14:54,奶油泡芙,11834,银魂',19,8.7
和碧蓝之海是最搞笑的番，这就是长篇的碧蓝之海，其他搞笑番都落后这两一个档次,10,超神作,2025-8-25 23:58,李动,11834,银魂',19,8.7
补标,9,神作,2025-8-25 17:40,ヤマ,11834,银魂',19,8.7
"2025-08-13
前两集我要笑疯了啊啊啊啊救命啊啊啊啊啊；第二季也看完了，本来看银魂想着看个乐，怎么我的内心萌生了一些多余的情感",7,推荐,2025-8-25 00:26,手里拿着旺旺,11834,银魂',19,8.7
搞笑与感动并存,8,力荐,2025-8-19 02:55,ysj7,11834,银魂',19,8.7
主线和日常两极化以及点子重复的缺点开始表面化，但仍然能令人会心一笑的第二季。,8,力荐,2025-8-17 03:25,文库魍魉,11834,银魂',19,8.7
有泪有笑，神作无需多言，空知英秋讲故事真厉害,10,超神作,2025-8-17 02:56,传说中的花京院凶真A,11834,银魂',19,8.7
搞笑动画的绝对经典，十年前的我看银他妈笑得死去活来，有笑点泪点，有些回也能给人启发。不用多说了，看就完事。,9,神作,2025-8-13 13:12,爱打瞌睡的宅宅柠檬 ...,11834,银魂',19,8.7
很好入口，很搞笑，看得下去,9,神作,2025-8-11 22:13,Macheath,11834,银魂',19,8.7
唯一看的长篇动画,9,神作,2025-8-11 15:47,Saito,11834,银魂',19,8.7
日常热血最爱,9,神作,2025-8-9 21:17,natsume,11834,银魂',19,8.7
看过后悔三天，不看后悔三辈子,10,超神作,2025-8-9 16:11,柏澜香,11834,银魂',19,8.7
日本武林外传，除了一些梗难懂和黄段子没啥大缺点,9,神作,2025-8-7 10:03,江表之力牧,11834,银魂',19,8.7
大概从吉原炎上篇开始有这个迹象，到第二季日常和主线已经非常割裂了，一边是几秒一个笑点拼命搞笑，另一边则是仗着角色的人气演少年漫样板戏。搞笑部分不管怎么说还笑得出来，正剧部分就多少有点丧失自己的特色了，银时在里面比起有骨气的小市民经常是更像传统大男主。随着角色形象和角色关系趋于固定，强剧情的篇章大概还会越来越难写越来越无聊。,5,不过不失,2025-8-7 02:20,飞飞飞飞飞飞飞栗,11834,银魂',19,8.7
比起蛋黄酱盖饭还是红豆盖房饭人间一点,10,超神作,2025-8-5 21:34,hehe_China,11834,银魂',19,8.7
非常好的作品使我的节操丢失,9,神作,2025-8-4 01:54,刘廿宗,11834,银魂',19,8.7
超长，感觉这辈子也看不完了?,0,未评分,2025-8-3 20:01,织田香抱过我,11834,银魂',19,8.7
无节操,8,力荐,2025-8-1 09:59,Bamgyuna,11834,银魂',19,8.7
天然卷没有坏人,9,神作,2025-8-1 01:02,yeah peace peace,11834,银魂',19,8.7
"无厘头喜剧。
动画史第一的暴走狂想。",8,力荐,2025-7-29 02:39,天柱大将军,11834,银魂',19,8.7
爽,8,力荐,2025-7-28 11:07,久远寺红莉栖,11834,银魂',19,8.7
"有血有肉的角色使我落泪，前期有多快乐，后期就有多虐。其他的热血动漫教你如何去实现梦想，为梦想拼搏，而银魂就是再教你，梦想失败后，该如何活下去。在我生活迷茫不易的时候学会了许多人生道理。
人啊，根据重新振作的方法可分为两种： 
      一种是看着比自己卑微的东西，寻找垫底的聊以自慰。
     另一种则是看着比自己伟大的东西，狠狠踢醒毫无气度的自己。
银魂永不完结！",10,超神作,2025-7-25 01:56,苏子澈,11834,银魂',19,8.7
这真的，搁置很久了，偶尔看几集，非常好看好笑，但关了就不想再打开了，不知道为何,8,力荐,2025-7-24 17:14,Qiqi,11834,银魂',19,8.7
在搞笑和热血方面做的非常棒,8,力荐,2025-7-21 04:43,月咏羽织,11834,银魂',19,8.7
