content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
好看在哪？不好看在哪？神在哪？史在哪？我是谁？我在哪？,9,神作,1h 37m  ago,LULU,265,新世纪福音战士,20,8.7
"一切都是凭空捏造。
无所谓目标意义，做完那些任务工作，好好的放松自己，享受生活——这就是我的意义。
打算二刷",9,神作,20h 39m  ago,不聪明的亚子,265,新世纪福音战士,20,8.7
补标∥精神危机为主要思潮下诞生的极端作品当中没一个心理健康的角色。既然是非正常环境下诞生的非正常人，嗯…无可厚非，就不给更低分了。但其实主要问题在于他写不明白。∥总的来看还是低配版xg。,5,不过不失,1d 4h ago,死鸦. 梅尔菲斯,265,新世纪福音战士,20,8.7
带上对历史的尊重与宽容（,8,力荐,1d 12h ago,tazi,265,新世纪福音战士,20,8.7
其实吧2年前看过几集，未来补完计划，五年或者十年，现在是不着急看eva的～(￣▽￣～)~//三千标预订，看我是先弃坑还是能熬到补Eva的时候,0,未评分,1d 19h ago,沢近愛理,265,新世纪福音战士,20,8.7
好几个月前就答应朋友要补的,0,未评分,1d 21h ago,冬日の蛍,265,新世纪福音战士,20,8.7
ep3ep4，你们的管理这么宽松的吗···怎么想来就来想走就走··· //前中期是比较常规的战斗题材作品，遇到敌人寻找解法战胜敌人。令人眼前一亮的是对角色内心挣扎的把握，尽管我不太能共情他们，但不得不承认确实相当精准。ep21-23相当精彩，用分晓把故事推向高潮，伏线的回收做的恰到好处。ep24-26则让人摸不着头脑，到底是什么意思，一堆人说着我看不懂的话然后做着我看不懂的事··· //感觉整部作品对心理的侧写有点太隐晦了，就算经过分析能觉察到其精准性，但也因为需要分析才能理解而失去了明见性及其直接的情感冲击,7,推荐,2026-4-10 12:47,Ltimbe,265,新世纪福音战士,20,8.7
我没get到。但是我觉得碇源堂是对的,8,力荐,2026-4-9 22:39,uru_official,265,新世纪福音战士,20,8.7
「Bangumi API test」老人是正确的。,9,神作,2026-4-9 20:58,白鹭,265,新世纪福音战士,20,8.7
如果现在让我讲看动画的动机。大概就是某个幼儿园的午后，看到电视上水天使将导弹撕成三瓣的那个瞬间，我大概是在那一个瞬间第一次感受到了“看见冰的那个下午”的感觉。我只是一直想找到那个感觉。//等哪天有空了我会再回来看一次，记录下那个时刻的感受//恰好最近失恋了，该打开最珍藏的美酒抚慰一下自己了//才看了四集就快看不下去了，越看越痛苦越难过，很难想象庵野秀明当初是怎么创作出来这样的作品的，我看了四集都快想死了//只要微笑就好了//我只是想再见大家一面而已//在知道谜底之后回头看发现了好多好多之前没注意的细节//奇观动画，看的越多越感慨奇观之宏伟//ep20看完想把自己掐死//我不想接受庵野秀明，但我无法逃避自己//可能是因为真的看了无数遍了，这次回头看才显得更加刻骨铭心//有一个很不一样的点，角色们会对自己说谎//看完第26集，我宣布从失恋的自己走出来了！,0,未评分,2026-4-8 21:50,骨猪的神判,265,新世纪福音战士,20,8.7
我喜欢明日香,10,超神作,2026-4-8 13:37,陈蔚蓝cwleste,265,新世纪福音战士,20,8.7
太喜欢明日香了。。。tv版香简直是神， 看完确实感觉心里的某一部分被补完了。香党全部火速去观看纪念三十周年小短片，无论是惣流香和式波香都得到了自己的补完好结局，原谅痞子。,8,力荐,2026-4-7 22:25,Okuma,265,新世纪福音战士,20,8.7
从一群问题儿童打怪兽到最后自闭少年的自我和解，全篇正常人类屈指可数，最大的作用是让人开始关注自己的心理健康,8,力荐,2026-4-7 01:37,四季幻羽,265,新世纪福音战士,20,8.7
看了一半仍然没感觉到它的魅力,6,还行,2026-4-6 15:19,锦绣山河,265,新世纪福音战士,20,8.7
[8] 2026.4.5完成,8,力荐,2026-4-6 05:36,MJUNM（闭关中）,265,新世纪福音战士,20,8.7
怎么这么多年了没想起来把这个标了呢。。。,9,神作,2026-4-5 21:02,三皮,265,新世纪福音战士,20,8.7
影响我的追番之路的作品,8,力荐,2026-4-5 20:58,思维导函树,265,新世纪福音战士,20,8.7
前半段中规中矩，后半段是gainax伟大的创作,8,力荐,2026-4-5 20:44,Daiba_Nana,265,新世纪福音战士,20,8.7
动画历史上里程碑级别的作品,9,神作,2026-4-5 18:18,Ilya,265,新世纪福音战士,20,8.7
看完也就补完了 世界上最后（厚）的心之壁,7,推荐,2026-4-5 16:38,傲娇的订书机,265,新世纪福音战士,20,8.7
用现在眼光看，前半部有很多擦边镜头，放这些镜头的用意是色诱男观众吗？不少桥段看了昏昏欲睡，不知是不是新时代的短剧和快节奏剧看多了。另外，那个时代的日本人都流行打耳光？,9,神作,2026-4-5 14:41,瓷神无双,265,新世纪福音战士,20,8.7
