content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
补标,8,力荐,12h 15m  ago,DoHowie,216371,莉兹与青鸟,27,8.6
各方面都无可挑剔，初印象很普通，但实际很惊艳的百合作。画风清淡漂亮，淡淡的文艺感但又不至于矫情文青，完美运用音乐和各种画面小镜头叙述描写少女间细腻真挚的感情。虽然整体故事十分简单，简单到四格漫画的程度，但在叙事上却十分精彩。无论是童话隐喻，还是首尾呼应都做得很好，个人也比较喜欢这对主角组人设。,9,神作,14h 48m  ago,suzu,216371,莉兹与青鸟,27,8.6
真的很值得反复看回味无穷，一个半小时的戛然而止真的是神来之笔以后一定多刷,9,神作,1d 5h ago,真喜欢樱岛麻衣,216371,莉兹与青鸟,27,8.6
神,9,神作,1d 12h ago,是鸭不是nga,216371,莉兹与青鸟,27,8.6
神作,10,超神作,1d 14h ago,EkhoLee,216371,莉兹与青鸟,27,8.6
细腻的作品总是能打动人心 只靠音乐 画面就能表达出来这般情感,9,神作,1d 16h ago,温庭筠,216371,莉兹与青鸟,27,8.6
看完后的感觉无法用言语来表达。本作在烘托氛围这一块实在是太强了，虽然全篇都是较为平淡的剧情，但是却通过音乐、对话、画面等等烘托出了很合适的氛围,10,超神作,1d 19h ago,Guanine000,216371,莉兹与青鸟,27,8.6
其实真没有那么厉害,8,力荐,1d 23h ago,mirror,216371,莉兹与青鸟,27,8.6
柔和 舒适 细腻,9,神作,2d 5h ago,madokami,216371,莉兹与青鸟,27,8.6
非常细腻的一部，比起本篇更爱这部，可以说是艺术品的地步。,9,神作,2026-4-10 01:53,发芽的土豆,216371,莉兹与青鸟,27,8.6
互相奔向各自的未来，但也是为了最终永远永远在一起呢,9,神作,2026-4-9 15:25,贤一,216371,莉兹与青鸟,27,8.6
情感刻画太细腻了，表现形式也很多样，可惜最终也没能在大陆上映,9,神作,2026-4-9 09:45,kyon1586,216371,莉兹与青鸟,27,8.6
太美了太美了！有点拧巴，但是总体感觉特别清凉清爽,8,力荐,2026-4-9 07:45,Breeze,216371,莉兹与青鸟,27,8.6
怎么这么短呢,8,力荐,2026-4-8 22:59,wosile,216371,莉兹与青鸟,27,8.6
当时看的时候不知道这是京吹人物传，还没看京吹呢。不过氛围感和细节真的不错，只是情感上有点赶吧（可能是我的原因）。但伞的脖子好长,8,力荐,2026-4-8 19:54,岚山,216371,莉兹与青鸟,27,8.6
伞木希美ε٩(๑> ₃ <)۶з,10,超神作,2026-4-7 01:09,Akisuiki,216371,莉兹与青鸟,27,8.6
那一句“我喜欢你的双管笛”就想是 莉兹对青鸟说我喜欢你的羽毛一样，因为我不想要你的羽毛变成空有一物，所以我希望你去飞翔，你不应该被牢笼束缚着,10,超神作,2026-4-6 14:57,虚晔,216371,莉兹与青鸟,27,8.6
霙和希美，利兹与青鸟的故事相互交织，可到底谁是利兹，谁又是青鸟？希美一年级时独自退出吹奏社，给霙说要报考音大后又选择普通大学，她似乎是霙拼命想留下的青鸟，每次都留下霙独自一人。                     可希美心中又怎么没有痛苦与不舍，因为霙的努力而不忍邀请她退社，因为自己的才能有限而无法与霙共赴音大，似乎希美才是利兹，利兹为了青鸟的自由而让其离开，希美为了霙的前程而与霙分开。      但是霙的心中，最重要的只有希美，她努力的动力只有希美，或许在青鸟的心中对利兹的爱比她向往的蓝天更为重要呢，一直一直忍耐着的霙终于在最后对希美表达了自己的感情，是希美走进了她封闭的世界，给予了她接触音乐，进入吹奏乐社的机会，希美就仿佛是照亮她世界的光，才能普通的希美在霙眼中却是最特殊的存在。,9,神作,2026-4-6 10:49,Setsuna,216371,莉兹与青鸟,27,8.6
极其惊艳的百合向作品，情感细腻真挚，山田尚子的巅峰作品,0,未评分,2026-4-5 20:50,Daiba_Nana,216371,莉兹与青鸟,27,8.6
"绝对是山田尚子最好的作品没有之一,可惜我对于本部剧场版中的CP并不感冒,我觉得两者之间的天赋差距过大,到最后除非互相迁就,要不然没有办法抵达最终美好的结局,所以无感。",7,推荐,2026-4-5 14:14,the question,216371,莉兹与青鸟,27,8.6
灵魂深处的喜欢，Happy End,10,超神作,2026-4-5 01:10,Hout ZhuoSi,216371,莉兹与青鸟,27,8.6
同时期,0,未评分,2026-4-5 00:28,ctheb,216371,莉兹与青鸟,27,8.6
“我喜欢霙的双簧管”这句话是打开鸟笼的“方法”，这句话是放飞霙的手段，而非对告白的拒绝,10,超神作,2026-4-4 18:49,asery,216371,莉兹与青鸟,27,8.6
京都动画最后的巅峰，这才是百合,9,神作,2026-4-4 11:08,Miceking,216371,莉兹与青鸟,27,8.6
百合味道淡些，又极温润。如果拿掉演奏，那可能是你我日记本上的某段故事，作为利兹在纸上独白，为了青鸟告别得热烈,8,力荐,2026-4-3 23:48,rinna,216371,莉兹与青鸟,27,8.6
补标,8,力荐,2026-4-3 22:25,1096,216371,莉兹与青鸟,27,8.6
在箱庭之外观察着少女们的互动，细腻而触动,9,神作,2026-4-2 22:12,xung,216371,莉兹与青鸟,27,8.6
看过一遍，觉得故事有意思，没觉得有多好。今后有时间再品一遍（可能会改分）,7,推荐,2026-4-2 13:30,loglook,216371,莉兹与青鸟,27,8.6
艺术片里百合最好的，百合片里艺术最好的。如果让我给艺术片打分，我会觉得这种题材上不了台面，但偷偷摸摸出于私心给它位置排得很高。真挚的情感表达总是最好的,9,神作,2026-4-1 18:39,广安帅哥张顺飞,216371,莉兹与青鸟,27,8.6
非常非常非常喜欢的氛围感,10,超神作,2026-3-30 23:23,Mizore,216371,莉兹与青鸟,27,8.6
看过 TV版 来 剧场版 ，看了10分钟 同性恋有点不适,6,还行,2026-3-30 22:55,风祝,216371,莉兹与青鸟,27,8.6
画风顶，音乐顶，人物塑造顶,9,神作,2026-3-30 14:23,zgzgzg,216371,莉兹与青鸟,27,8.6
8.6,9,神作,2026-3-28 22:18,一只纳比,216371,莉兹与青鸟,27,8.6
艺术品,10,超神作,2026-3-28 00:10,kkr可爱捏,216371,莉兹与青鸟,27,8.6
水准确实高，不过个人不喜欢的元素很多,7,推荐,2026-3-27 21:39,夜影若依,216371,莉兹与青鸟,27,8.6
"青色的调色好好看，好青春的感觉//
画风和京吹好不一样啊，作画真的好有质感//
好喜欢这种细腻的氛围感，好像被邀请进了青春一样//
剧情好像有点没看懂，不知道是不是没看正传的原因，正篇剧情都是在用利兹与青鸟的故事在做隐喻，但是人物心境的变化我真的没怎么跟上",8,力荐,2026-3-27 21:00,Rakuto Hoshino,216371,莉兹与青鸟,27,8.6
难以言表的美！！！,10,超神作,2026-3-27 14:04,锦绣山河,216371,莉兹与青鸟,27,8.6
高中看的，真是青春啊，可恶。细节刻画的很好，只是对裙摆的刻画，就足以诠释情感变化ovo,7,推荐,2026-3-26 19:48,芝世咚,216371,莉兹与青鸟,27,8.6
