content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
流川枫我爱你,0,未评分,2026-4-8 10:31,Free,1608,灌篮高手,29,8.6
神作，流川枫万岁,10,超神作,2026-4-5 03:16,木偶,1608,灌篮高手,29,8.6
记忆模糊,0,未评分,2026-3-25 17:25,wakakap,1608,灌篮高手,29,8.6
咋换封面了？,7,推荐,2026-3-19 15:34,宇治松千夜,1608,灌篮高手,29,8.6
虽然我能理解井上“篮球场画得跟足球场一样大似的”这种作为本质原作者的不满，但动画质量真挺高的,9,神作,2026-3-16 23:03,pg707,1608,灌篮高手,29,8.6
运动番开山之作吧、应该？张弛有度,9,神作,2026-3-11 01:00,thime,1608,灌篮高手,29,8.6
不如漫画，动画质量本来就很一般，动画组还顶着井上雄彦的反对搞原创，然后端出来全国大赛前的全明星赛魔改这种东西。就此和井上雄彦闹掰，动画也就止步于全国大赛前//以前看着挺燃的，更推荐去看原作,5,不过不失,2026-3-9 03:12,Lanl,1608,灌篮高手,29,8.6
虽然没看过漫画，但动画本身也足以构成回忆...,7,推荐,2026-3-8 10:29,黎,1608,灌篮高手,29,8.6
我妈拉我看的,8,力荐,2026-3-6 13:34,狼鸟,1608,灌篮高手,29,8.6
有着漫画情怀看，还行，音乐很好，几个流行歌手都是第一档的水平了,6,还行,2026-3-4 13:41,huhu,1608,灌篮高手,29,8.6
【8】，致青春//还是太PPT了，原创回也很水,8,力荐,2026-2-28 21:14,樱姬花吹雪,1608,灌篮高手,29,8.6
第一部看完的日本动画，也是因为这个开始爱上篮球。可惜太老了，篮球动作表现不算让人满意，真的不能重制吗？,8,力荐,2026-2-27 00:21,vertin,1608,灌篮高手,29,8.6
青春的极致,10,超神作,2026-2-21 13:50,Hurrysonn,1608,灌篮高手,29,8.6
看了几集 没啥感觉 可能还是因为我对篮球没啥兴趣吧哈哈哈 不过还是经典,7,推荐,2026-2-20 01:03,硫酸盐,1608,灌篮高手,29,8.6
热血运动番天花板了，“教练，我想打篮球”、扣倒花形、传错高砂等名场面历历在目，直到世界尽头、好想大声说爱你等名曲配合极佳，除了部分原创回水了点没有挑剔的地方了,8,力荐,2026-2-19 15:54,yltpcdz,1608,灌篮高手,29,8.6
陪我妈去看了剧场版，然后垂直入坑,9,神作,2026-2-17 17:44,秋洋,1608,灌篮高手,29,8.6
剔除某些回忆与人云亦云，相当差劲的动画作品，而漫画是相当优秀的作品,4,较差,2026-2-14 14:22,Milchstraße,1608,灌篮高手,29,8.6
