content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
此刻青春燃尽,9,神作,2h 12m  ago,剑寒心,67753,明日之丈2,31,8.7
"控制左手的人就能称霸整个世界 双脚与肩同宽 双肋想要把人射穿一样打出去 出拳，出拳 慈善没有任何取处 就这样，出拳！呯！石锤丈从孤儿院逃跑那天就没有想过明天会怎么样 沿着贫民窟的那条小溪漂流 一刻也不回的 直到看见不知道什么东西在闪发光的大海东洋 四角囚笼限制不了丈 丈想要的也不是champin这种仅此而已的东西 丈不是被螺旋拳这种东西击败 没有螺旋拳也会自取灭亡 那就是被螺旋拳这种东西击败 无数次选择燃烧充实自己的循环螺旋 在扭曲的做法下 螺旋进奇点
一部简直是做了79集+46集伏笔的史诗 这和还会冒烟的不完全燃烧不一样 会有那么一瞬间绽放出耀眼的光芒 不会有渣 传奇拳手牙不k丈 燃烧殆尽了，只剩下白色的灰",9,神作,1d 19h ago,普通人dhj,67753,明日之丈2,31,8.7
永远在被致敬的传奇神作，无比出圈的梗让所有人都知道这个故事的结局，但即使如此你也很难不为之动容，这就是个无比纯粹的故事。与前作相比最直观的提升就是音画水平，十年的动画技术发展肉眼可见，S1剧情和制作上的稚嫩确实已经到了难以无视年代会影响观感的地步，S2将S1槽点满满的最后一个篇章进行了重置，优秀制作配合出崎统出神入化的演出也补齐了前作的所有短板 ，虽然也不是挑不出毛病，但也足够让观众沉浸在故事中。曾经孤独的野狗已经荡然无存，我只看到了一个潇洒的拳击手，他是那么坚定，那么的一往无前，即使终点是熊熊大火，丈也会冲进去燃烧殆尽，每经历一场比赛，丈所背负包袱都要沉重几分，大叔，叶子，力石，卡洛斯，乃至整个泪桥，明明有那么多在乎他的人，为什么他还是能如此义无反顾，但这就是丈，最纯粹的拳击手，无比厚重的最终战让每个人看后都会说出那句“燃尽了，只剩下雪白的灰”,10,超神作,2026-4-1 23:23,.ZiP,67753,明日之丈2,31,8.7
一切都在向好的地方发展，丈越来越成熟，大叔从教练到家人甚至是父亲，叶子与丈互相理解，泪桥日本都怀有希望，明明也没吃过几次败仗，但是在中期仍不可避免地感到哀伤  很多角色像是被荷西打败后给自己的狗取名荷西、被小混混欺负只会一直喊我是前日本冠军的烤肉大叔，神志不清但依旧寻找丈并向他挥拳的卡洛斯等实在令人唏嘘，最后的燃尽夸大精神力的作用也算是回回血,9,神作,2026-3-21 01:08,Kisara258,67753,明日之丈2,31,8.7
虽然名为明日，但走下拳台之后的明天又在哪里呢？根本就不重要。纯粹的野性，只为此时此刻存在的生命力。而我们也只能如同故事里的过客，看夕阳燃烧殆尽。,9,神作,2026-3-20 12:49,龙舌兰日落,67753,明日之丈2,31,8.7
燃尽,8,力荐,2026-3-18 00:03,御神衔一,67753,明日之丈2,31,8.7
【9+】,9,神作,2026-2-28 21:05,樱姬花吹雪,67753,明日之丈2,31,8.7
【10】极其令人震撼的作品。从丈一到丈二间隔了10年，10年里动画技术有了巨大的提升，出崎统的演出也更加成熟，而丈一所传递的精神在丈二里也更加熠熠生辉，即使是在46年后的现在，这股源于灵魂的燃烧依然耀眼,10,超神作,2026-2-28 03:13,hziko,67753,明日之丈2,31,8.7
各方面都十分優秀的作品，而且第二季相比於第一季看下來更加的精彩，雖然已經過去五十年的時間，但是今天看這部作品仍然能給人一種震撼与熱血沸騰的感覺。,10,超神作,2026-2-26 15:25,🎏霈鑫⛩️,67753,明日之丈2,31,8.7
"网球娇娃后出神入化的出崎演出/// 明日是怎样的？
丈用一生追寻这个答案。力石彻倒下时，他看见明日是墓碑的方形；卡洛斯癫狂时，他看见明日是空洞眼神的圆形。两个天才因他而陨落，两份羁绊在他身上重叠成无法挣脱的诅咒。
可就在与荷西的最后战役中，当拳头如雨点坠落，记忆如走马灯流转，丈终于明白——明日不在胜负的彼岸，不在燃尽之后。
它就藏在山的那边，藏在力石最后那一拳里，藏在卡洛斯的舞步中，藏在段平粗糙的手掌，藏在叶子湿润的眼角。
所有的羁绊从未消失，它们只是化作燃料，支撑这场孤注一掷的燃烧。最后一刻，丈笑了，不是为了悲壮的告别，而是因为他终于抵达——那个从孤儿院远足途中就开始追寻的、山那边的好地方。
那里没有明日，只有今日，只有此刻，只有一片纯净的、不被任何遗憾染污的白色。
“燃えた，燃え尽きた，真っ白に”
原来那从来不是终结，而是他终于活过",9,神作,2026-2-25 14:33,にじけん@天の芸,67753,明日之丈2,31,8.7
"因为梗太有名了，所以这可以算是一部无人不知结局的动画，甚至丈自己都知道。
而在知道丈最终宿命的情况下，每看一集都是在朝“燃尽”靠近。然而即使清楚这些，当丈打完最后一个回合，在裁判宣判胜利方前就闭上了眼，这一刻的冲击力还是如此强劲。
如果是S1的丈是“天生的拳击手”，那到了S2丈就是“注定要燃尽的拳击手”。在丈的生涯中，跟他交手的强大对手不是死就是断送生涯，可以说这是作者的一个恶趣味了，但这点在我看来是完成丈人物升华非常重要的一个坎。力石和金，卡洛斯和荷西，这四场比赛的关系是最紧密的，而且每一次的文戏都相当精彩。
丈的人物性格塑造并不是一条直线上升，而是有起有落的，总体呈上升趋势的。而且对他的强敌们也花了不少笔墨，这样在他们的拳击比赛当中，还有会有理念的碰撞。像卡洛斯这样的就变成了纯粹的战斗：）233，反之就是金。包括叶子和纪子这样的人物也很丰满",9,神作,2026-2-20 20:12,茉兰朵,67753,明日之丈2,31,8.7
"不得不燃尽,但也必须燃尽",9,神作,2026-2-15 16:59,pilgrim,67753,明日之丈2,31,8.7
热血沸腾…扎扎实实的热血沸腾了,9,神作,2026-2-14 01:17,両儀_式,67753,明日之丈2,31,8.7
最好的拳击番,8,力荐,2026-2-10 23:44,supereater,67753,明日之丈2,31,8.7
CNM燃起来了，燃尽了,8,力荐,2026-2-7 01:45,YiTer,67753,明日之丈2,31,8.7
作画精良，一种追求卓越的精神,10,超神作,2026-2-5 07:13,Nice_Future,67753,明日之丈2,31,8.7
燃烧了，燃尽了，只剩下雪白的灰......这位是真神作。说实话很难想象这是70年代与80年代的番，制作真的还不错，剧情更是很优秀，我们也不难看出它给后代带来的影响无疑是巨大的，很多番里面都有它的影子。其实我想引用我玩的一款游戏中的一句台词：“天赋的高山永无顶点，胜利的尽头仍是胜利”,9,神作,2026-1-29 17:48,圣园三力,67753,明日之丈2,31,8.7
经典之作，1980的作品，放在现在依旧能打，能看得下去，热血！总在各种国内外作品中看到致敬他的场面，足以证明他的伟大。,9,神作,2026-1-28 22:16,何天阳,67753,明日之丈2,31,8.7
因为某部的致敬回来补的,9,神作,2026-1-28 21:44,Greasama,67753,明日之丈2,31,8.7
【10+】,10,超神作,2026-1-9 04:18,眠中夢,67753,明日之丈2,31,8.7
如果说第一季还能带来些许感悟，第二季就回到本质运动番的那些缺点了，很可惜我不能接受，现代人看，也一定会说一句，“没苦硬吃”的,6,还行,2026-1-6 00:30,Obschur,67753,明日之丈2,31,8.7
第二季明显看出来各种方面精进了许多，光线的协调运用 演出和作画的张力都炉火纯青 尤其26 27集神回 将明日之丈的精神升华 出崎统是真的大师,10,超神作,2026-1-4 04:06,纳什维尔地平线,67753,明日之丈2,31,8.7
燃尽了，化作雪白的灰……，远超同时代tv动画的影像,10,超神作,2025-12-25 19:54,颂寒,67753,明日之丈2,31,8.7
运动番的巅峰,10,超神作,2025-12-21 23:59,上课见面,67753,明日之丈2,31,8.7
追逐那并不温柔的明日，去追那一盏耀眼到刺痛的灯——它照亮的不是胜利，而是一个人把自己押上去之后，仍然愿意往前走的姿势。《明日之丈》之所以能穿过年代，并不是因为它把拳击画得多热血，而是因为它把活着画得太具体：贫民街的风、少管所的铁门、绷带里渗出来的汗味，还有擂台边那一瞬间的沉默——你明明听见铃响了，却发现人站着不动，比倒下更让人心里发紧。它从不许诺“只要努力就会赢”，它只反复逼你承认：有些人上台是为了不向自己低头。而当这种低头与不低头反复出现，意志便不再只是意志。它被一拳一拳地敲实，被失败与胜利一并磨损，最终沉入身体，变成一种无法替换的活法。丈继续向前，并非因为看见了未来，而是因为一旦停下，连自己都会失去形状。明日不再是目标，而是维持存在的方向感。只要仍有人沿着这条轨迹前行，《明日之丈》就不会结束，它会在不同的时代、不同的身体里，一次次重新点燃。,9,神作,2025-12-20 04:19,赤い彗星,67753,明日之丈2,31,8.7
燃烧自己的精神很感动，但拳击多数都在乱扯，让我完全认真不起来看,7,推荐,2025-12-12 19:12,波兰首都是上海,67753,明日之丈2,31,8.7
只剩雪白的灰…,10,超神作,2025-12-10 13:40,伦理大魔王,67753,明日之丈2,31,8.7
"1.op、ed真好听
2.昭和画风很喜欢。颜色鲜艳饱满，人物画得还是人，不像之后的那么夸张
3.看了10集，不喜欢丈的性格。固执己见，强撑，冲动。要不是叶子请来了卡洛斯，他就会如旁人所说结束职业生涯。这就是昭和男儿？讨厌他不该笑的时候也笑，和“嘿嘿”。
4.终于找到丈的违和感来源了：年纪20出头，声音30+
5.记得《百万美元宝贝》里瞎眼大爷说拳击手都是固执的。看到丈，算是明白了。丈不是用来崇拜的，只是来展示人可以对拳击热爱至此
6.减重事件感人
7.节奏一般快，对我这种急着想看神剧情的来说太慢，但每一集表达的东西都很好，无水。适合。。。每天看一集吧
8.大小姐有多好就不必说了吧
9.对纪子刻画不多，但也是个有性格的人物
10.虽然我到最后也不喜欢他那个烂性格，但怎么说呢，只能说被他折服了，服了。最后也很对得起大小姐
11.会回味",9,神作,2025-11-30 23:51,ginqiang,67753,明日之丈2,31,8.7
"看到最后    野狗也能成为真正的拳击手 
叶子也能发自内心的支持他所选择的道路
就算未来不美好
也要燃尽自己也要走向明天吗",10,超神作,2025-11-24 05:31,shun,67753,明日之丈2,31,8.7
男主从一个放荡不羁的小混混蜕变成一个真正的拳击手，把自己的一生都献给了拳击，一个坚持走自己的路的男人，当别人在十几二十岁的时候尽情享受青春，去谈恋爱去泡吧，你是否会羡慕，拖着一身伤病的身体你是否后悔着，在最终决赛前面对叶子的表白他却决然走向擂台，最终把自己的生命也献给了拳击，丈啊，你变成熟了，丈啊也许你从未改变。真的燃尽了啊，燃尽了啊，只剩下了雪白色的灰。。。。。。,10,超神作,2025-11-14 00:03,yu ki,67753,明日之丈2,31,8.7
因为结局过于出名早有耳闻，所以此前我一直以为明日之丈是一个非常悲壮的故事，但在我实际把它看完后结局留下给我的感想却只有深沉的释然，或许是因为这并非是一个关于“失去”的故事，而是一个有关“完成”的故事。悲剧一直以来都是留给那些未竟之人之事的，而对于矢吹丈这么一个已经不留遗憾的灵魂，选择在更短的生命里“抗争命运”“燃烧生命”“战斗到底”一定不只是一件令人感到“悲伤”的事情，更多是一件令人感到“美丽”的事情。,9,神作,2025-11-13 14:13,Ningensan,67753,明日之丈2,31,8.7
多么美丽啊/燃尽所有生命力的/雪白的灰烬,10,超神作,2025-10-31 11:10,花街散人,67753,明日之丈2,31,8.7
9+，,9,神作,2025-10-21 22:28,最上旭,67753,明日之丈2,31,8.7
