content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
小时候只觉得好玩，再长大些觉得幼稚，再长大些才懂得欣赏。,8,力荐,2h 31m  ago,Judeau,1962,大闹天宫,32,8.6
真正的中式美学，我们也曾踏足过山巅。（唯一缺点，应该是受限于时代导致音效少了点）,9,神作,2d 16h ago,skywalker,1962,大闹天宫,32,8.6
最好的国漫居然在1961年，有点可悲,8,力荐,2d 22h ago,露琪亚,1962,大闹天宫,32,8.6
对孙悟空这传承百年的形象做出了全新的，革命的诠释，是在一个伟大时代的黄金精神熏陶下才能塑造出的反压迫反教条的革命形象，正式这一经典的形象令其成为了民族性的象征,9,神作,2026-4-9 01:26,icy cirno,1962,大闹天宫,32,8.6
LUXE版,10,超神作,2026-4-8 17:37,鱼头,1962,大闹天宫,32,8.6
神作 神作,10,超神作,2026-4-8 13:41,陈蔚蓝cwleste,1962,大闹天宫,32,8.6
极具特色的美术，浓郁的戏剧风格，西游记的志怪故事，还有很明显的时代隐喻，无愧是巅峰作品。但故事过多地为了隐喻妥协，表层故事看起来并不开心，看动画像做阅读理解一样，不做理解只感觉猴头很吵闹。插一嘴与质量无关的题外话，虽说这对原作做了不少的改编，但观感的异样让我依然觉得西游记只有大闹天宫是不完整的。,8,力荐,2026-4-1 21:13,meltriston,1962,大闹天宫,32,8.6
六几年啊，真特么牛逼,8,力荐,2026-3-22 18:24,sakurapy,1962,大闹天宫,32,8.6
辉煌属于上美,9,神作,2026-3-20 12:05,波千鳥,1962,大闹天宫,32,8.6
民族动画的临摹范本,9,神作,2026-3-15 16:02,ewww,1962,大闹天宫,32,8.6
孙悟空象征着中华人民的一种精神。没演到五指山，真是惊了//影迷高清修复版：av25319561,8,力荐,2026-3-10 17:14,隔壁的王某某,1962,大闹天宫,32,8.6
上美为什么是神，无需多言,10,超神作,2026-3-6 07:54,睦陈陈,1962,大闹天宫,32,8.6
中国迪士尼；放到现在我看妖怪们也不该执着于唐僧肉，不如找人代购蟠桃,0,未评分,2026-3-4 14:52,甲鱼丸,1962,大闹天宫,32,8.6
今日欢呼孙大圣，只缘妖雾又重来。,9,神作,2026-3-1 21:09,白发生,1962,大闹天宫,32,8.6
中国动画史上最浓墨重彩的一笔，色彩绚丽，想象力出众，配乐更是如同看了一出戏剧，时代意义十足,7,推荐,2026-2-26 12:56,三玖,1962,大闹天宫,32,8.6
中国动画史上最浓墨重彩的一笔,8,力荐,2026-2-23 10:01,神尾观铃Misuzu,1962,大闹天宫,32,8.6
真正的东方神话，后难有来者的艺术品,9,神作,2026-2-22 13:37,广,1962,大闹天宫,32,8.6
国漫美术颠峰了 七万多张原画，十几万张手稿 一想到现在国漫在玩3D就让人感叹还不如60年以前,7,推荐,2026-2-22 01:03,普通人dhj,1962,大闹天宫,32,8.6
看爽了,8,力荐,2026-2-14 11:32,beckon,1962,大闹天宫,32,8.6
网左说的对，但是万籁鸣1960年至1964年，担任动画片《大闹天宫》的导演。在1964年，因为下集拍摄完成后由于文艺政策的变化，影片的全本没能够上映。文革开始后更因为《大闹天宫》被说成借古讽今，甚至指其有反xxx思想，所以被隔离审查。,9,神作,2026-2-8 17:52,🎏霈鑫⛩️,1962,大闹天宫,32,8.6
艺术,10,超神作,2026-2-8 00:18,棋哥12345,1962,大闹天宫,32,8.6
说实话，没有大闹天宫这部动画，孙悟空这个形象也不会慢慢变得那么伟大,9,神作,2026-2-4 13:26,しょうはく,1962,大闹天宫,32,8.6
琼浆玉液龙肝凤髓只供各路神仙享受，时代意义十足，其蕴含的思想很突出。但受限于原作，就像诸葛于五丈原，很难接受大圣最终被压在五指山下,9,神作,2026-2-3 00:02,久远寺有珠,1962,大闹天宫,32,8.6
补标,0,未评分,2026-1-28 12:10,Dec0cto,1962,大闹天宫,32,8.6
友情分,7,推荐,2026-1-26 13:47,zzz,1962,大闹天宫,32,8.6
