content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
2早晨刷牙插叙昨夜受邀去麻美家，镜中无限映像，回想来回跳切/妈妈的愿望，把两个职员扔到其他单位（不然由妈妈来当社长吧，原来有这招/圆爽心灵对话眼神示意，仁美误会眉目传情（圆吐槽今天的仁美总觉得好像爽/爽推测焰从一开始就知道丘比会找圆，所以早上就去“找麻烦”/教室内焰看圆，课上爽睡着，圆画魔法少女样式，悠木碧作画/大部分孩子都会马上答应的（拥有不惜付出生命也要实现的愿望的人应该很多，想不到愿望的我们只能理解这种程度的不幸，过得太幸福而成了笨蛋，上条病床血色背景剪影，为什么是我们被选上，世上明明有很多人渴望得到这种机会/圆问焰的愿望，痛苦回身脚步特写/仁美又说两人之间没有自己的容身之处/爽带了球棒，圆想了造型/球棒附魔/未接受悲叹之种，这就是回答/想实现什么愿望没法一下子决定，但麻美努力助人的样子很迷人，这样的我也能像那样成为别人的助力的话就太令人高兴了,9,神作,5h 11m  ago,人真妙文,9717,魔法少女小圆,34,8.6
就欺负二次元未成年少女吧！,4,较差,10h 59m  ago,nongchaoer,9717,魔法少女小圆,34,8.6
小圆好惨，老虚我恨你。,8,力荐,21h 30m  ago,叶子,9717,魔法少女小圆,34,8.6
圆神了,9,神作,1d 3h ago,水啊猫,9717,魔法少女小圆,34,8.6
神,0,未评分,1d 7h ago,似雪花,9717,魔法少女小圆,34,8.6
虐,0,未评分,1d 22h ago,薇尔莉特·伊芙加登,9717,魔法少女小圆,34,8.6
我们这个时代的浮士德（需要加上叛逆的物语）,8,力荐,2d 22h ago,wei_1_1,9717,魔法少女小圆,34,8.6
往往怀揣着的梦想越是为了他人的幸福，现实就会向截然相反的方向发展，大概也与这片土地的故事 不谋而合吧///其实是因为好朋友去看的,9,神作,2026-4-9 23:55,饼etcetera,9717,魔法少女小圆,34,8.6
and I’m home,10,超神作,2026-4-9 21:16,uru_official,9717,魔法少女小圆,34,8.6
设定创新，具有独特的艺术风格，开创后来的非传统魔法少女角色设定潮流,9,神作,2026-4-9 15:08,黑田空辰,9717,魔法少女小圆,34,8.6
虽不是黑深残马猴烧酒的开创者，但是黑深残马猴烧酒的发扬者,8,力荐,2026-4-9 09:46,kyon1586,9717,魔法少女小圆,34,8.6
第十集神回，比起最后小圆成神，还是晓美焰的轮回更打动我,8,力荐,2026-4-9 02:32,オクトパス,9717,魔法少女小圆,34,8.6
经典之作,7,推荐,2026-4-8 15:48,suzu,9717,魔法少女小圆,34,8.6
剧情本身已经十分“完美”，但更优秀的是其极具风格化的美术与演出，宛如一件艺术品,8,力荐,2026-4-8 15:02,3rd,9717,魔法少女小圆,34,8.6
"虽然已经被剧透成筛子了但是应该会补吧
会吧......?",0,未评分,2026-4-8 13:44,陈蔚蓝cwleste,9717,魔法少女小圆,34,8.6
没有想的那么震撼,7,推荐,2026-4-8 00:01,炸薯角,9717,魔法少女小圆,34,8.6
我也想当魔法少女！！哎。。怎么不是收集卡牌的？怎么没有爱给我做衣服的好闺蜜出现？怎么没有一个黄色小飞鼠当我的守护灵？？怎么没看到一个中国道士？！！不对。。。出现在我面前的是一个白色大耗子？不对不对不对。。这是哪部魔法少女？！？,7,推荐,2026-4-7 22:30,Okuma,9717,魔法少女小圆,34,8.6
一气呵成的神作，还能说什么呢剧本太神了,9,神作,2026-4-7 20:44,momo,9717,魔法少女小圆,34,8.6
在2025年看的，确实对于当下的动漫环境与癫狂现状下看的不是很起劲了已经,6,还行,2026-4-6 21:25,花漫惊梦人,9717,魔法少女小圆,34,8.6
非凡的表现力撑起如怒涛般汹涌展开的剧情，心灵仿佛接受了一整片汪洋的冲击洗礼，整个人被包裹在震撼中，肃静地见证着艺术品的诞生,10,超神作,2026-4-6 00:42,启明,9717,魔法少女小圆,34,8.6
入坑番，新房不赖,8,力荐,2026-4-5 18:45,Ilya,9717,魔法少女小圆,34,8.6
现在看来真的是全方面的强,10,超神作,2026-4-5 18:13,渚酱真可爱,9717,魔法少女小圆,34,8.6
