content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
迄今为止最好看的魔法少女小圆,9,神作,1h 39m  ago,LULU,44693,剧场版 魔法少女小圆 [新篇] 叛逆的物语,35,8.6
9.2,9,神作,6h 24m  ago,洋紅色的血淚,44693,剧场版 魔法少女小圆 [新篇] 叛逆的物语,35,8.6
期待回天,9,神作,19h 7m  ago,Dixiky_215,44693,剧场版 魔法少女小圆 [新篇] 叛逆的物语,35,8.6
好，爱的战士发力了,8,力荐,1d 21h ago,オクトパス,44693,剧场版 魔法少女小圆 [新篇] 叛逆的物语,35,8.6
本作完结后依然能创作出如此高水平的续篇,7,推荐,2d  ago,Fekko,44693,剧场版 魔法少女小圆 [新篇] 叛逆的物语,35,8.6
"个人认为剧场版的立意要比TV版好
需要牺牲所爱之人才能拯救的世界还是毁灭罢
毕竟双输好过单赢[doge]
不过最后老虚还是心慈手软机械降神让大家幸福地生活在一起，恩情还不完啊！",10,超神作,2d  ago,plum,44693,剧场版 魔法少女小圆 [新篇] 叛逆的物语,35,8.6
神,9,神作,2026-4-9 00:03,uru_official,44693,剧场版 魔法少女小圆 [新篇] 叛逆的物语,35,8.6
"达到极致的疯狂
我到死都想不到反转那段剧情是如何想出来的
某种意义上来说是一个Happy Ending",10,超神作,2026-4-7 00:34,Tasgram,44693,剧场版 魔法少女小圆 [新篇] 叛逆的物语,35,8.6
还是病娇焰全胜结局,8,力荐,2026-4-6 20:24,beckon,44693,剧场版 魔法少女小圆 [新篇] 叛逆的物语,35,8.6
这个剧场版太震撼了，我以为TV动画的剧情已经足够完整，原TV结尾后续应该加不了任何剧情，结果竟然是用这种方式,10,超神作,2026-4-5 18:12,渚酱真可爱,44693,剧场版 魔法少女小圆 [新篇] 叛逆的物语,35,8.6
9.5。“将自己的宝贵生命舍弃 能如此爱着我的人是 你”，《柯赛特》的毒性还在发力。在圆成为至高的存在后，唯有焰记得圆时，绝望与希望在焰身上并存，故事便走向了这样必然的发展。比希望更炽热，比绝望更深邃的，是爱，神爱世人，而魔只爱神。TV、总集篇剧场版的影像思路继续延续并达到巅峰，在焰的内心世界中，镜头中的一切环境都可以是焰的内心具象化，因此本片的演出被赋予了更深一层的含义。/本片红蓝戏份其实也蛮不错的。,9,神作,2026-4-3 22:52,伊吹言諾子,44693,剧场版 魔法少女小圆 [新篇] 叛逆的物语,35,8.6
无法用言语形容的牛逼，百合界最高的山,10,超神作,2026-4-2 19:27,kodmep,44693,剧场版 魔法少女小圆 [新篇] 叛逆的物语,35,8.6
