content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
更加忧郁更加昏暗，人的情感越来越直接和激烈，人和人之间的牵绊越来越成为重点。让我觉得可惜的是，虫一直在作为谜底而很少直接融入背景，不过这只是吹毛求疵+个人爱好吧，我更喜欢很能自圆其说+很多交互和联动的世界观,9,神作,2026-3-16 04:18,Meteor,106207,虫师 续章 第2部分,36,8.6
一个奇妙的世界,9,神作,2026-3-11 11:50,隔壁的王某某,106207,虫师 续章 第2部分,36,8.6
依然维持高质量，与前季虫与自然的探讨相比续章更聚焦于人情关系，选题多了许多伦理因果报应。ep12，洞中轮回重复人生，剧本精巧的章节//ep17 虽形状不一样，但本质是一样的，你存在每一个地方//ep18，互相不爱的人最好结局就是分开//ep20，被砍倒的巨树，人与自然互依共存,8,力荐,2026-3-2 22:14,sardine522,106207,虫师 续章 第2部分,36,8.6
补标,9,神作,2026-3-2 10:44,泠汐,106207,虫师 续章 第2部分,36,8.6
【9】,9,神作,2026-3-1 13:33,樱姬花吹雪,106207,虫师 续章 第2部分,36,8.6
8.4，音乐封神。除了第一集丰富主角人设外前6集都是非常温馨的好故事，后7.8.9集虽有遗憾刀但整体故事依然非常优秀,8,力荐,2026-2-26 23:12,问号人,106207,虫师 续章 第2部分,36,8.6
“这世上的每一寸土地都不会拒绝任何人…这世上的每个角落都是你的容身之所”,9,神作,2026-2-21 00:26,Masahiro,106207,虫师 续章 第2部分,36,8.6
后半令人感伤的故事比较多。整体和第一季的安心不同，多描写的是人生百态和人与自然的关系,8,力荐,2026-2-19 00:55,私人童话帖,106207,虫师 续章 第2部分,36,8.6
补标8.5,9,神作,2026-2-14 03:38,vesper,106207,虫师 续章 第2部分,36,8.6
在各种琐碎行政事务的间隙倍速看完。到了续章，题材已不再新鲜，对各类自然现象的趣说显得有些“为虫而虫”，与此同时主旨上则更朝向人性的幽暗，如《抚夜之手》《花惑》《泥草》中的杀戮，或是围绕原生家庭扭曲变形的爱与恨。画面上《啼贝》《雷袖》两节具有冲击力。《眇之鱼》《踏草之声》（第一话）《草褥》讲述少年银古。故事地点往往是乡村，与《咒术回战》中的都市咒怨相对，这或许也呈现出时代的变化。,9,神作,2026-2-13 23:33,草莓牛奶,106207,虫师 续章 第2部分,36,8.6
