content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
只不过刚过去了五十年而已,10,超神作,38m ago,nagisa,400602,葬送的芙莉莲,40,8.5
优秀的画风，优秀的音乐，略微有些无聊的剧情，以及极度压抑的粉丝,7,推荐,2h 38m  ago,Judeau,400602,葬送的芙莉莲,40,8.5
为数不多喜欢的治愈系,8,力荐,1d 12h ago,是鸭不是nga,400602,葬送的芙莉莲,40,8.5
强大，无需多言,10,超神作,1d 18h ago,纸舟渡夜,400602,葬送的芙莉莲,40,8.5
六边形战士，不愧是MAL上评分最高的番，最后两话感动哭了,10,超神作,1d 18h ago,芙芙可爱,400602,葬送的芙莉莲,40,8.5
原作的许多问题实际在第一季都有体现，优秀的制作暂时掩盖了本质上的缺陷，但还是值得推荐,8,力荐,2026-4-10 03:38,绮罗星Kira,400602,葬送的芙莉莲,40,8.5
补完了,7,推荐,2026-4-9 19:57,轮椅飘移高手不吃香菜,400602,葬送的芙莉莲,40,8.5
看完还是觉得很好看，芙莉莲这种性格我好喜欢，奇幻的冒险之旅也看得我心旷神怡，期待下一季,10,超神作,2026-4-9 15:01,茶木灰,400602,葬送的芙莉莲,40,8.5
天时地利人和的一部作品，总体来说很好看,8,力荐,2026-4-9 09:47,kyon1586,400602,葬送的芙莉莲,40,8.5
好，但没那么好,7,推荐,2026-4-8 17:35,三文芝居,400602,葬送的芙莉莲,40,8.5
"大学时候追女生的动力源之一
真遗憾
她不是芙莉莲
我也没有成为辛梅尔
遗憾
总是伴随着人生始终",10,超神作,2026-4-8 13:55,陈蔚蓝cwleste,400602,葬送的芙莉莲,40,8.5
学院篇后以及公式套路导致观感有所下降，但整体各方面都十分优秀，无可挑剔，拥有独特的氛围感，属于喜欢的会很喜欢，不喜欢的则会觉得流水账无聊,9,神作,2026-4-8 04:06,suzu,400602,葬送的芙莉莲,40,8.5
经纶世务者，望峰息心。,9,神作,2026-4-8 00:19,肚子肉,400602,葬送的芙莉莲,40,8.5
以我现在的人生经验评价，可以给到10分。但世上没有完美的作品，就以9分作为十全九美的推荐指数吧。,9,神作,2026-4-8 00:12,归途,400602,葬送的芙莉莲,40,8.5
有点异世界公路片的感觉，辛世纪芙音战士。配乐给到一个夯，战斗作画很棒很棒，好久没看到这么爽的魔法对轰了。喜欢看菲伦超速平A打魔族和迷宫试炼芙和菲伦打复制体芙这俩集。,7,推荐,2026-4-7 22:31,Okuma,400602,葬送的芙莉莲,40,8.5
神,9,神作,2026-4-7 20:51,浩,400602,葬送的芙莉莲,40,8.5
补录：只记得辛美尔给芙莉莲留下的浪漫回忆了,0,未评分,2026-4-6 21:18,yvl,400602,葬送的芙莉莲,40,8.5
整体观看非常不错，印象最深的是前半段公路片剧情中的弦乐配乐与考试篇战斗时的作画，算是近年少有的各方面都十分优秀的作品。唯一的问题就是公路片与考试篇剧情观感有些割裂，且后者剧情过于套路化，观感显著低于前者。比起击败魔王，证明自己存在过似乎难得多。,8,力荐,2026-4-6 19:23,不热心宇宙公民王某,400602,葬送的芙莉莲,40,8.5
神作,9,神作,2026-4-6 14:30,なるせ しろは,400602,葬送的芙莉莲,40,8.5
非常适合和家人情侣一起看,10,超神作,2026-4-6 01:01,葬送的芙莉莲,400602,葬送的芙莉莲,40,8.5
