content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
剧情太有意思了，力荐,8,力荐,21h 34m  ago,叶子,325285,奇巧计程车,41,8.5
我说悬疑群像剧是神有没有懂的？,10,超神作,1d 3h ago,蚯蚓,325285,奇巧计程车,41,8.5
從劇情的角度來看，我能給滿分。13集的篇幅，完成度也非常高。很有趣的故事。,9,神作,1d 5h ago,小鱼ova,325285,奇巧计程车,41,8.5
8.4,8,力荐,1d 17h ago,一只纳比,325285,奇巧计程车,41,8.5
最后的翻转确实意想不到，很有创意。不过还是看不懂黑猫为什么被完美替换,7,推荐,1d 19h ago,少喝热水,325285,奇巧计程车,41,8.5
【A+】,8,力荐,2d 4h ago,Light,325285,奇巧计程车,41,8.5
21年最大黑马，年度最佳,9,神作,2026-4-10 09:29,绮罗星Kira,325285,奇巧计程车,41,8.5
典型的在电影或者电视剧里拍出来可能会被骂俗套但拍成动漫看着就还挺像样的剧本，看下来不会有哪集的观感差加一分，除了比较都合比较俗以外是没什么短板的作品,8,力荐,2026-4-10 04:43,性感的痕迹d,325285,奇巧计程车,41,8.5
本质日剧，从内到外这部动画每一个环节都是为了服务剧情，剧情环环相扣在结尾迎来高潮，令人拍案叫绝，许多地方也让我意想不到，这种惊奇惊喜感特别加分，本来因为动物原因迟迟未看现在只觉得相见恨晚，希望未来能二刷一遍,8,力荐,2026-4-10 01:02,什么洛澧,325285,奇巧计程车,41,8.5
剧情连贯环环相扣,9,神作,2026-4-9 14:58,霜落冰海,325285,奇巧计程车,41,8.5
几个巧合插入地很不合理；有些角色的结局让人气愤，让主线冲突显得小丑,8,力荐,2026-4-9 00:55,Aneil,325285,奇巧计程车,41,8.5
草蛇灰线，伏脉千里,9,神作,2026-4-9 00:46,逃往何方,325285,奇巧计程车,41,8.5
基准分：6//剧情架构：卓越 +1//情绪体验：优良 +0.5//人物塑造：卓越 +1//音画表现：优良 +0.5//最终分：9,9,神作,2026-4-8 15:19,银狂TDF,325285,奇巧计程车,41,8.5
"羊驼可爱
大家都可爱
看完这部看了back arrow
都是好作品",10,超神作,2026-4-8 13:54,陈蔚蓝cwleste,325285,奇巧计程车,41,8.5
感觉需要二刷，第一遍太囫囵吞枣,7,推荐,2026-4-6 22:35,yvl,325285,奇巧计程车,41,8.5
很棒的群像剧，但有点用力过猛,8,力荐,2026-4-6 20:45,北川夕利,325285,奇巧计程车,41,8.5
26年补番成功，遗憾没能获得21年追番的感受，好在没有被剧透。画面制作不算出色，但剧情和每个出场人物的塑造闭环且精妙，全篇的视角小巧思在观看途中有所察觉，但最后揭晓的一刻还是给了我莫大的震撼。下次看羊驼的时候试试播放巴西战舞,9,神作,2026-4-6 15:27,unicorn,325285,奇巧计程车,41,8.5
最佳剧情,9,神作,2026-4-5 18:39,Ilya,325285,奇巧计程车,41,8.5
"剧情很出色啊,最后的反转也是,只能说是完全没有往那个方向想,感觉是动漫载体下非常好的诡计。",8,力荐,2026-4-5 14:20,the question,325285,奇巧计程车,41,8.5
"是谁说业界要完的，我在里面看到了动画的无限可能。
主角像波洛，整个动画真有阿加莎那味了",9,神作,2026-4-4 22:31,Persona02700,325285,奇巧计程车,41,8.5
像是看日剧那样，节奏紧凑，完全猜不到后续发展。好看,9,神作,2026-4-4 15:24,英梨梨不会败北,325285,奇巧计程车,41,8.5
这位更是没看懂，感觉也就是8分水平吧,7,推荐,2026-4-4 00:08,秋笙声,325285,奇巧计程车,41,8.5
学院派,9,神作,2026-4-2 22:16,xung,325285,奇巧计程车,41,8.5
讲好一个故事，讲一个好故事,9,神作,2026-4-2 12:59,千珏,325285,奇巧计程车,41,8.5
从车窗内望见的社会百态。,10,超神作,2026-4-1 23:31,阿炜.jpg,325285,奇巧计程车,41,8.5
看了一会就停不下来了，叙事节奏很不错，看不累,8,力荐,2026-4-1 17:21,七月初七,325285,奇巧计程车,41,8.5
【8+】，令和至今为止最佳原创,8,力荐,2026-3-31 10:11,樱姬花吹雪,325285,奇巧计程车,41,8.5
爽爽爽！忘了上一次看得这么爽的是什么时候了...节奏真的很舒服，多条线发展平稳，收束巧妙，脚本很厉害，群像也塑造得很好。但以推理悬疑类型的标准来看，其反转与诡计倒是显得挺一般的,9,神作,2026-3-30 22:55,Kaleidoscope,325285,奇巧计程车,41,8.5
剧本完成度太高了，短短13集，所有伏笔精准回收完美闭环，逻辑自洽，每一条线如同齿轮巧妙串联起来，编剧太牛了。我最喜欢动画最后一集所有人其实都是人类的转折，完美体现动画艺术的魅力，只有动画能用这种方式来欺骗观众,8,力荐,2026-3-30 21:09,世界鼓励宅,325285,奇巧计程车,41,8.5
连贯的剧情体验，一次性看完很爽,9,神作,2026-3-30 14:28,zgzgzg,325285,奇巧计程车,41,8.5
诚然这是一个严丝合缝的好故事，，每把箭确实都命中靶心，但总有种莫名的设计感与巧合感，并且感觉缺少一种情绪上的递进与爆发。本来出租车飞翔在天空撒着钱是一个宣泄点，但最后一转包饺子实在是太没劲了。,7,推荐,2026-3-26 19:35,僕と東京,325285,奇巧计程车,41,8.5
很精彩，一口气看完很累，因为要记住很多铺垫和交叉叙述。现实讽刺性也很强，融合了偶像、黑帮、欺凌、心理、推理等多方元素，当然少不了部分“强行”去构造结构的感觉，但瑕不掩瑜。另外漫才、吐槽在这剧下变成了黑色幽默，甚至比老美那种还来劲。总结：台词如绝望先生，叙述如西部世界，心情如东京教父。,8,力荐,2026-3-25 17:44,wakakap,325285,奇巧计程车,41,8.5
最后最核心的谜题有最简单的答案，顶级,9,神作,2026-3-24 23:14,AKAjack,325285,奇巧计程车,41,8.5
【8-】,8,力荐,2026-3-23 19:40,大大,325285,奇巧计程车,41,8.5
"最后结局还是太仓促了，前面埋的伏笔一下子全收，篇幅上太赶。抛砖引玉的前期，完美的中期，循环渐进的后期，差强人意的结局。结局能扣1:5，最后0.5是个人喜好，不喜欢女主的过去，见仁见智吧。
但总体来说是一部，非常值得看的作品，值得细细品味。
用台词推进剧情，制作组很多都是日剧出身的，台词的功力和细节非常强。如果不喜欢人物对白，推进剧情的话，不推荐，可能看着会无聊。",8,力荐,2026-3-23 09:58,伊卡洛斯152,325285,奇巧计程车,41,8.5
多线叙事杂而不乱，镜头暗示，伏笔埋的都很巧妙，对人物的性格塑造非常成功，细节满满的一部原创番。,9,神作,2026-3-22 18:29,秋水遗色,325285,奇巧计程车,41,8.5
以小户川的动物视角叙述整个故事，每个动物精准的形象表演，精彩的台词设计，都让人物更立体，阴沟虽阴麻但做事有原则、不计较，让人讨厌不起来。警察弟弟从唐氏儿到直面现实，遵从心中道义，也不乏可爱的一面。直到最后一集回到现实了，立马觉得人类形象平淡无味。多线故事交织一起，直到最后一集随着小户川落水，像一泡大便一样掉进马桶溅起水花，理清开来，有如丽云雨涵被三通一达般的畅快感，让人眼前一亮。即使全剧没有多么有冲击力的动作表演，却也带来了良好的视听体验，丰富的色彩、优秀的配乐。原本怀疑会不会又是冲击波作品，越看越被故事吸引，虽然也存在不少不合理之处，如水下救人、白川刚好找到山本小户川等等，但瑕不掩瑜，必看佳作。（看得时候开了弹幕被剧透了有点恶心，还有最后结局好像唐人街探案里的那个腹黑小女孩,10,超神作,2026-3-22 04:44,Langya,325285,奇巧计程车,41,8.5
2025-9-26 雖然這麼高分有些吸引，但題材不是我會喜歡的。// 7.5 劇情緊湊，多線發展不混亂，最後匯聚成一點，很順暢。雖然中間有些劇情沒有解釋到以及有些線挺無聊的，但整體也是很好看、很完整，劇情先後次序很考編劇也確實很出色做到。,7,推荐,2026-3-22 00:02,love216∞,325285,奇巧计程车,41,8.5
比起动画更像电视剧的动画，能过脑子的悬疑剧本，群像刻画非常立体，这么好的作品不是追着看有点可惜了,10,超神作,2026-3-21 14:22,Anorak,325285,奇巧计程车,41,8.5
最强悬疑番，没有之一i,10,超神作,2026-3-21 11:42,IRNibuki,325285,奇巧计程车,41,8.5
只有动画这种媒介才能实现的超级叙诡！自从成年后看过的最棒的动画。,10,超神作,2026-3-21 00:29,kyonkoo,325285,奇巧计程车,41,8.5
"我去，福瑞番。
低估了，一口气看完了，节奏很舒服",8,力荐,2026-3-20 13:08,Margin,325285,奇巧计程车,41,8.5
9分,9,神作,2026-3-20 10:53,龟不归,325285,奇巧计程车,41,8.5
哇，一个下午连续看完了13集，对于剧情好的番真的是看着停不下来。这部番能排进看的番中的前十肯定没问题，全片没有离谱操作。然后全篇以主角的视角进行叙事，多方帮派处理得也很妥当，就是安排没有头重脚轻那种感觉，所有势力都挺均衡的，还有话剧兄弟，等等之类的感觉和主线没关系，但是实际上又有点联系的那种角色。再来就是叙事，所有前面的线索，在最后几集逐渐揭晓的那种感觉真的令人欲罢不能，在近几年番剧或者作品的作者频频摆烂，挖坑不填的番剧中，一股清流啊，所有的叙事都有结果，所有都有伏笔，有种很舒畅的通便的感觉。里面人物说的话也很有深意，很多能够影射现实中的各种问题和对于社会的思考，平平无奇的名字和开头画风，但是却超乎寻常番剧的观看体验，很难去言说，快去看吧，太爽了。,9,神作,2026-3-19 19:46,听风汐梦,325285,奇巧计程车,41,8.5
严丝合缝的伏笔回收，人物弧光都很完整，最后一集开场其实也是个泪点。结尾欧亨利。配乐走向和嘻哈小子的设定眼前一亮,8,力荐,2026-3-19 00:44,scwu,325285,奇巧计程车,41,8.5
日剧式的叙事，叙事诡计的悬疑，要素丰富的社会群像。这不是神作，什么是神作,10,超神作,2026-3-18 12:58,岚山,325285,奇巧计程车,41,8.5
神作,10,超神作,2026-3-18 00:01,lan,325285,奇巧计程车,41,8.5
享受。紧张刺激有趣。,9,神作,2026-3-16 22:58,楼月汐,325285,奇巧计程车,41,8.5
可以，不可多得的原创番,9,神作,2026-3-16 13:01,叫我欧尼酱,325285,奇巧计程车,41,8.5
