content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
一直以来很喜欢,8,力荐,14h 59m  ago,Gojeonpa,18692,哆啦A梦,44,8.5
我不知道我看的是哪个版本,10,超神作,2026-4-9 22:11,uru_official,18692,哆啦A梦,44,8.5
大大大前辈，很有发散性，几乎没有人没看过，但滴水不漏地看完的人不多,9,神作,2026-4-9 09:48,kyon1586,18692,哆啦A梦,44,8.5
童年,9,神作,2026-4-7 11:47,JUSTIIIIIVE,18692,哆啦A梦,44,8.5
再怎么说也得一直看下去。,0,未评分,2026-3-29 15:02,青空下的轻幻想之梦,18692,哆啦A梦,44,8.5
怀念在b站看拉面搬运的日子,9,神作,2026-3-26 16:32,LAD,18692,哆啦A梦,44,8.5
小时候有好多本小漫画册 都是满满的回忆,9,神作,2026-3-24 15:33,丢人王六六,18692,哆啦A梦,44,8.5
挑不出毛病的作品，童年一直在看直到长大了依然时不时还会看 不仅是电影，日常的TV版也是最爱,10,超神作,2026-3-15 21:08,砚台,18692,哆啦A梦,44,8.5
太长了所以没看完。但是每一集单拉出来都很好看,7,推荐,2026-3-11 01:04,thime,18692,哆啦A梦,44,8.5
经典 童年回忆,10,超神作,2026-3-6 23:47,紫翠玉Alexandrite,18692,哆啦A梦,44,8.5
长篇,0,未评分,2026-3-6 22:33,回忆的秋千,18692,哆啦A梦,44,8.5
童年是最高的加分项,10,超神作,2026-3-6 07:59,睦陈陈,18692,哆啦A梦,44,8.5
从小看到大，梦想有自己的哆啦A梦,10,超神作,2026-3-2 00:30,黑丝傲娇远坂凛,18692,哆啦A梦,44,8.5
纯粹的神作，硬核的幻想作品，却不乏一颗童心,10,超神作,2026-2-27 15:50,飞鳥,18692,哆啦A梦,44,8.5
不赖,9,神作,2026-2-26 20:25,赵兄,18692,哆啦A梦,44,8.5
新版很多小改动我都很喜欢，新的主题曲也很好听,10,超神作,2026-2-22 09:26,yzhanglp,18692,哆啦A梦,44,8.5
一代人的童年,9,神作,2026-2-16 02:04,Miku,18692,哆啦A梦,44,8.5
童年回忆,9,神作,2026-2-13 00:22,miroita,18692,哆啦A梦,44,8.5
补标,0,未评分,2026-2-5 08:17,Camus,18692,哆啦A梦,44,8.5
找机会想重新完整的看一遍,10,超神作,2026-2-4 10:41,真探,18692,哆啦A梦,44,8.5
"水田版更适合大人和小孩一起看，画风可爱了不少，不过新番重制＆重播的集数有点多，尤其是疫情开始后，但其中也有许多不错的原创内容，连载至今。
童年从大山版转换到水田版，小时候竟然没看出区别来。",10,超神作,2026-1-30 11:49,不聪明的亚子,18692,哆啦A梦,44,8.5
好吓人的staff表。不评分的理由同老版。,0,未评分,2026-1-29 01:27,Hectopascal,18692,哆啦A梦,44,8.5
"15年到20年的基本都看过 妹想到现在b站盗版横行又能继续看了^ ^
反复看的几集：2016.01.22一模一样宠物大集合、2017.07.28大象与叔叔、2017.10.20漂亮的小咪、2018.08.24 说谎镜",9,神作,2026-1-27 08:42,AKKK,18692,哆啦A梦,44,8.5
我爹,10,超神作,2026-1-27 01:21,魔法使千冬,18692,哆啦A梦,44,8.5
永远的童年，即使给成人看也会有学到的东西,9,神作,2026-1-24 17:36,万恶的亚萨西君,18692,哆啦A梦,44,8.5
神,9,神作,2026-1-19 20:42,今川雷蝶,18692,哆啦A梦,44,8.5
现象级，哆啦A梦这蓝胖子作者是怎么想出来的，偶然出现在这个次元的神作,10,超神作,2026-1-19 18:13,许谎,18692,哆啦A梦,44,8.5
来自童年的回忆,8,力荐,2026-1-18 10:39,发光体,18692,哆啦A梦,44,8.5
童年回忆，将想象力诠释到极致的动画之一,8,力荐,2026-1-16 15:52,芹菜27,18692,哆啦A梦,44,8.5
神中神,10,超神作,2026-1-15 22:58,江隽晨,18692,哆啦A梦,44,8.5
想象力的巅峰,9,神作,2026-1-15 21:12,空灵,18692,哆啦A梦,44,8.5
伟大无需多言,10,超神作,2026-1-15 03:00,Yukikaze,18692,哆啦A梦,44,8.5
哆啦A夢是多少人的童年啊，10分不必解釋,10,超神作,2026-1-15 02:04,3QBomb,18692,哆啦A梦,44,8.5
小时候看的基本啥都记不得咯,0,未评分,2026-1-14 00:17,光逝去的夏天,18692,哆啦A梦,44,8.5
"9
有些原创剧情感觉太一般了",9,神作,2026-1-13 05:23,mumumu,18692,哆啦A梦,44,8.5
9.5+/10,10,超神作,2026-1-13 00:08,Ciel,18692,哆啦A梦,44,8.5
童年回忆这一块,8,力荐,2026-1-3 00:57,渚汐,18692,哆啦A梦,44,8.5
不是很喜欢大熊，但情怀+1,8,力荐,2026-1-2 00:54,淡淡的忧伤,18692,哆啦A梦,44,8.5
