content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
猎奇，有意思,6,还行,21h 37m  ago,叶子,146457,瑞克和莫蒂 第三季,45,8.5
大本營不怎麼喜歡，比較還好的一季,7,推荐,2026-4-9 23:53,米饭吐司,146457,瑞克和莫蒂 第三季,45,8.5
就是很幽默,8,力荐,2026-4-5 21:50,uru_official,146457,瑞克和莫蒂 第三季,45,8.5
脑洞真的很大,9,神作,2026-4-5 00:56,Possib1e,146457,瑞克和莫蒂 第三季,45,8.5
脑洞大，吐槽狠，展开神。唯一的缺点是不适合佐餐,9,神作,2026-4-1 23:28,言折清,146457,瑞克和莫蒂 第三季,45,8.5
十分给ep7,10,超神作,2026-3-12 00:24,Masahiro,146457,瑞克和莫蒂 第三季,45,8.5
有趣就完事了,9,神作,2026-3-6 11:36,喀巴拉契,146457,瑞克和莫蒂 第三季,45,8.5
通往自由的路必将血流成河（s3e7）,9,神作,2026-2-27 20:14,虹夏妈妈,146457,瑞克和莫蒂 第三季,45,8.5
绝对的神作，看一辈子rick&morty,10,超神作,2026-2-24 00:31,Nero,146457,瑞克和莫蒂 第三季,45,8.5
瑞莫系列巅峰，瑞城那集神回中的神回，第四集后就开始走下坡路了,9,神作,2026-2-22 19:40,说好的幸胡呢,146457,瑞克和莫蒂 第三季,45,8.5
r&m a站看的，但感觉看完已经忘干净了,7,推荐,2026-2-22 09:27,yzhanglp,146457,瑞克和莫蒂 第三季,45,8.5
解说到看过很多，真片我还真没看过,10,超神作,2026-2-1 08:10,百合什么的最好了,146457,瑞克和莫蒂 第三季,45,8.5
相当惊喜，脑洞之大,10,超神作,2026-1-25 17:48,你笑一笑我会很高兴的 ( *,146457,瑞克和莫蒂 第三季,45,8.5
无竞品的赛道一骑绝尘，但比较猎奇,7,推荐,2026-1-13 16:52,ab,146457,瑞克和莫蒂 第三季,45,8.5
补标,8,力荐,2025-12-27 12:31,loveanime,146457,瑞克和莫蒂 第三季,45,8.5
时间线跨越,9,神作,2025-12-22 16:35,鑫炎玉,146457,瑞克和莫蒂 第三季,45,8.5
姥爷对的,10,超神作,2025-11-26 07:29,瑟尹K7impRED,146457,瑞克和莫蒂 第三季,45,8.5
把之前的时间线都连起来太酷了吧 让summer做后手托底剧情设计的合理性很强 前三季观感上升最好的一季,8,力荐,2025-11-22 09:02,安知,146457,瑞克和莫蒂 第三季,45,8.5
这一季的演出和剧情编排都是前三季里最好的，该爽的地方做得利落，该反转的地方结局也出人意料。还有e01、e07两个神回拉上线&引出主线，风格化与主线推进并行，编排上相当优秀,9,神作,2025-11-10 01:03,Vianaly,146457,瑞克和莫蒂 第三季,45,8.5
