content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
"相比第一季人味更多一点 不闷了 对话更多了 这部银谷一直是旁观者听故事 剧情也稍微差了点 氛围还是和第1部一样美好
哀而不伤，淡淡的忧郁
配乐依旧高质量oped好听 
话说设定生命的起源从虫变成光酒了吗
续章第2部分留在夏日再看
神回标记：8，10
正在找银古与虫的触手本子（这句话忽略不计）",7,推荐,2026-4-3 14:12,普通人dhj,92705,虫师 续章,46,8.5
"岁月流逝，古木生魂。
善恶本无分，因缘生又灭。
不要从寂寞的世界掉到更寂寞的世界里去。相较之前的哀而不伤的空灵感，这季多了很多哀愁和黑暗的故事，
整体基调很低，很多的主体人消极的不行，看的我都要迷茫了。但银古的存在又冲淡了这一切，真好啊。
虫师得憋着别看完，人心浮躁时最好的安慰剂。",8,力荐,2026-3-25 21:19,loili赛高,92705,虫师 续章,46,8.5
我对虫师里路人角色的印象都是，在资源匮乏的环境里尽力生活，情感钝化地承受无常的人，乡土题材里常能见到的角色。这一季开始感觉路人也普遍更有人情味了，虽然程度很低吧。本来想说恶心画面变少了，但是一个ep8就比前面一整季的恶心画面加起来还恶心，我真快哭了！,9,神作,2026-3-16 04:17,Meteor,92705,虫师 续章,46,8.5
和前作一样，但是音乐方面逊色一点,9,神作,2026-3-12 08:19,喵剩,92705,虫师 续章,46,8.5
人与虫。,9,神作,2026-3-11 21:41,隔壁的王某某,92705,虫师 续章,46,8.5
【8+】，S2,8,力荐,2026-3-1 13:29,樱姬花吹雪,92705,虫师 续章,46,8.5
8.1,8,力荐,2026-2-24 20:35,问号人,92705,虫师 续章,46,8.5
整季比上季要黑暗许多，但是配音氛围，寓言意味依旧顶级，就是几个更有执念的人物不太讨喜,8,力荐,2026-2-20 13:15,Masahiro,92705,虫师 续章,46,8.5
这季有关虫的介绍少了很多，整体没第一季有趣。不过还是很让人静心的，氛围超好,8,力荐,2026-2-16 01:45,私人童话帖,92705,虫师 续章,46,8.5
补标8.5,9,神作,2026-2-14 03:38,vesper,92705,虫师 续章,46,8.5
"续章整体质量不错。7、8和9最喜欢,特别是ep.7",8,力荐,2026-2-13 20:05,孔爷,92705,虫师 续章,46,8.5
这一季好些人物都比上一季极端一点,9,神作,2026-2-13 18:29,赤穹,92705,虫师 续章,46,8.5
相比于前作，我认为更清晰的展现了关于人与自然的关系，以及我们人这一物种的险恶，对人性的更直观探讨。,8,力荐,2026-2-13 14:01,伦理大魔王,92705,虫师 续章,46,8.5
音乐感觉总体比第一部更好,9,神作,2026-2-9 08:00,小沈阳,92705,虫师 续章,46,8.5
神作无需多言,10,超神作,2026-2-6 02:55,光逝去的夏天,92705,虫师 续章,46,8.5
依旧无比治愈的画风与配乐，焦虑症的良药,10,超神作,2026-1-28 23:49,YZtamako,92705,虫师 续章,46,8.5
ep5笑嘻了,8,力荐,2026-1-25 17:21,DEATHGUN,92705,虫师 续章,46,8.5
和第一季更专注于对生态对世界观的描写，第二季的落地回到了“聊斋志异”，即人的问题，但显然过短的篇幅让叙事难以深入，浮于表面，只能通过大量留白去叙述，而空灵的风格与故事的内核产生的冲突，破坏了原本的叙事氛围和主角的人物特点，让原本那种平淡的风格彻底变成了无聊的催眠曲,6,还行,2026-1-19 15:52,Anorak,92705,虫师 续章,46,8.5
补,10,超神作,2026-1-3 03:06,戒,92705,虫师 续章,46,8.5
延续第一季的治愈,9,神作,2026-1-1 19:23,一夜纸鱼,92705,虫师 续章,46,8.5
延续第一季的制作水平，另外名为《虫语》的两集制作人员访谈节目也很值得一看。,9,神作,2025-12-22 17:52,猎隼,92705,虫师 续章,46,8.5
