content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
评分8.0，8分纯情怀分中间葵丝和哈撒韦闹得小孩打架了说是结果给珍愉悦送走了没看懂哈撒韦为什么要杀珍，这部在uc出的梗是真的又多又精啊对于夏亚自己的内心纠结明显能看的出来对地球人的绝望也能认知到自己在干贪得无厌的事，而骡子依旧成熟稳重当之不愧uc第一机师我是真的喜欢牛高达的外观结尾ed在接触逆亚之前就在听好听呢,8,力荐,2026-4-10 17:29,克里斯,4583,机动战士高达 逆袭的夏亚,48,8.5
有关哈萨维的部分改得面目全非，如果不是哈萨维亲手击毙奎丝，他以后凭什么玉玉成那样，已经和9分无缘了，当一次平衡党给个8分吧,8,力荐,2026-4-6 22:16,狂风教主,4583,机动战士高达 逆袭的夏亚,48,8.5
【9.8】商法暗潮汹涌，革命余波之问。纵使以君子之争、兴戈止战的范式，纷斗依然不辍；人无往不是因缘与叙事的后裔，被爱恨情仇牢牢牵绊，让战神梦魇缠身，使哈姆雷特扭曲。但行星的光辉属于万众，这罅隙中的私情诠释何以为人，理想者们驱驰，闪烁的奇迹中螺旋的裂缝开始成形。避难徒为阙下人，怀安却羡江南鬼，愿君举棹东复东，咏此长歌献相公。,9,神作,2026-4-4 01:42,kronopios,4583,机动战士高达 逆袭的夏亚,48,8.5
相比于tv更加紧凑，没有了一些水的集数，全程都在讲故事，关于夏亚，哈萨维，葵丝的塑造都很不错，很喜欢这部剧场版的叙事风格，看到卡缪疯掉之后的夏亚的心境描写的淋漓尽致了,8,力荐,2026-4-1 10:37,爱西路,4583,机动战士高达 逆袭的夏亚,48,8.5
可惜不是贝托蒂嘉的子嗣啊！！我要看海牛和夜莺啊！,9,神作,2026-3-30 10:57,Banpreoth,4583,机动战士高达 逆袭的夏亚,48,8.5
1年战争之后的夏亚是死掉的夏亚,9,神作,2026-3-29 01:06,我睡多会有问题吗,4583,机动战士高达 逆袭的夏亚,48,8.5
爱的声音、悲伤的情绪是很难传达到人的心底，但仇恨却会不断蔓延从而造成新的悲剧。夏亚和阿姆罗的故事在这里终结了，但是仇恨并没有终结。,9,神作,2026-3-28 20:50,千颂,4583,机动战士高达 逆袭的夏亚,48,8.5
最好的一部高达，阿姆罗和夏亚两个顶级驾驶员的打戏爽没边了，沙扎比和牛高的机设也是经典中的经典，剧情非常有深度，唯一的缺点是文戏给打戏让步导致剧情时长实在太短加上富野的电波台词让观众前几遍观看很难理解，从另一个角度说也是常看常新的名作,10,超神作,2026-3-28 12:42,yangwenlich,4583,机动战士高达 逆袭的夏亚,48,8.5
"夏亚阿兹纳布尔直到看见卡缪的崩溃才见识了理想主义的幻灭,连重力都束缚不住的灵魂会被政客和愚昧的民众拉回地面,然而亲自走向毁灭又何尝不是软弱的表现,内心的狭隘和与他人的疏离让他不得不走向崩溃,阿克西斯的残骸连带着几十份崇高的灵魂化作地球上空的残光,但假若这样的悲剧与奇迹都无法拯救人类,假若这样都无法走出腐败也战争的莫比乌斯环,那么,人类果然是永远都无法相互理解的",9,神作,2026-3-25 18:43,姜丝可乐,4583,机动战士高达 逆袭的夏亚,48,8.5
作画真的非常顶级，一口气从0079看到cca，看着夏亚尤其是从z到cca时期的转变，就非常难过。可惜哪怕引发了阿克西斯的奇迹，但对side里的人来说，对地球上的人来说，还是没能力改变什么……人类仍旧很难相互理解,10,超神作,2026-3-25 08:48,予禾,4583,机动战士高达 逆袭的夏亚,48,8.5
