content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
听英语老师吹牛逼，说他弹钢琴的每一个按键都对应现实。,9,神作,21h 42m  ago,叶子,132373,猫的协奏曲,53,8.5
最喜欢的一集,8,力荐,2026-4-4 13:34,神尾观铃Misuzu,132373,猫的协奏曲,53,8.5
经典中的经典,0,未评分,2026-4-2 22:19,xung,132373,猫的协奏曲,53,8.5
看了也有十来遍了，没啥好说的都是情怀，优雅～,10,超神作,2026-3-26 00:25,戒,132373,猫的协奏曲,53,8.5
相当好看，音画结合地很完美，在1947年的时候，拥有这样流畅的作画也是很可以的，不愧是奥斯卡,9,神作,2026-3-20 00:10,wweiyi,132373,猫的协奏曲,53,8.5
最喜欢的一集,10,超神作,2026-3-15 01:52,夏日虾,132373,猫的协奏曲,53,8.5
老一辈的作画情怀,8,力荐,2026-3-12 19:22,陀思妥曼尼可夫,132373,猫的协奏曲,53,8.5
无需多言，猫鼠队又赢了,9,神作,2026-3-9 23:39,心兮可念,132373,猫的协奏曲,53,8.5
经典，剧中描绘了真实钢琴的四指弹奏令人叹为观止,9,神作,2026-3-8 17:35,嗯,132373,猫的协奏曲,53,8.5
猫鼠队不削能玩？,9,神作,2026-2-9 21:11,无壳之蟹,132373,猫的协奏曲,53,8.5
1946年的艺术品,8,力荐,2026-2-7 17:16,樱花落春日,132373,猫的协奏曲,53,8.5
充分发挥猫鼠音画结合这一最大特长的一集,7,推荐,2026-2-3 16:19,普通人dhj,132373,猫的协奏曲,53,8.5
巅峰时期的猫鼠，米高梅四节蝉联奥斯卡最佳动画短片的实力，音乐节奏旋律完美契合画面张力,8,力荐,2026-2-2 12:50,Nov.Hare,132373,猫的协奏曲,53,8.5
何意味,9,神作,2026-1-10 13:30,flyhinami,132373,猫的协奏曲,53,8.5
變故不影響演出的思路基本承襲米奇音樂會，比幻想曲好但是和米奇系列最佳的動畫還有差距,5,不过不失,2025-12-31 16:55,裙罗甬坏,132373,猫的协奏曲,53,8.5
Hungarian Rhapsody No. 2 / 现在的阿美利卡无法做出来的作品 / 别惹你鼠哥! ! ! (凶凶脸) / 看到没这就是惹你鼠哥不开心的下场,0,未评分,2025-12-28 16:40,すんすけ,132373,猫的协奏曲,53,8.5
意犹未尽,8,力荐,2025-12-23 17:26,cjjjzl,132373,猫的协奏曲,53,8.5
演奏的是匈牙利狂想曲二号。作为短片的篇幅恰好能让人在幽默之余能欣赏完乐曲演奏。,7,推荐,2025-12-20 00:24,里斯本,132373,猫的协奏曲,53,8.5
猫的协奏曲,7,推荐,2025-12-6 18:01,神宫澪衣,132373,猫的协奏曲,53,8.5
很神的一集,9,神作,2025-12-6 17:36,夜辻freaky,132373,猫的协奏曲,53,8.5
以乐曲为命题作文发挥想象编写出非常巧妙的剧情,9,神作,2025-11-12 23:27,吃了五百个小面包,132373,猫的协奏曲,53,8.5
刚好看到这集过来标一下。1947年的弹奏乐器作画，叹为观止。即使动画到如今发展已有一百多年，其形式依旧没有改变也不会改变。得奥斯卡不无道理,8,力荐,2025-10-19 14:25,夜章曲,132373,猫的协奏曲,53,8.5
8/10,8,力荐,2025-10-18 15:57,karin,132373,猫的协奏曲,53,8.5
与京吹其名的真实演奏作画。,7,推荐,2025-10-13 20:39,异界送,132373,猫的协奏曲,53,8.5
这就是动画，这就是音乐。观感上佳,8,力荐,2025-10-12 13:24,正在祈祷的脑洞比熊,132373,猫的协奏曲,53,8.5
集音畫表現，創意和炫技於一身。雖然內容上還是戲耍tom，但在借題發揮方面能甩性質相似的集數幾條街,0,未评分,2025-10-11 18:23,界FFLLOW,132373,猫的协奏曲,53,8.5
8.4,8,力荐,2025-10-8 23:28,雷闪,132373,猫的协奏曲,53,8.5
