content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
配音还是厉害，一个人同时配姥爷和孙子,6,还行,21h 46m  ago,叶子,93377,瑞克和莫蒂 第一季,59,8.4
脑洞大开而趣味十足的单元式故事，主题较为娱乐化的同时偶有亮眼情节,7,推荐,2d 10h ago,陈太极,93377,瑞克和莫蒂 第一季,59,8.4
1-5季 总评。之后挺无聊的，挑单集看了。,8,力荐,2026-4-10 00:34,HLJJFY,93377,瑞克和莫蒂 第一季,59,8.4
"虽然是看解说的 但是依旧能感觉到剧情的魅力
在混乱的世界里寻找无意义的意义
假装清醒或是肆无忌惮的发疯
我们都在这痛苦里，无处可逃",9,神作,2026-4-9 13:09,陈蔚蓝cwleste,93377,瑞克和莫蒂 第一季,59,8.4
补标,9,神作,2026-4-8 23:45,uru_official,93377,瑞克和莫蒂 第一季,59,8.4
极为丰富而疯狂的想象力，哪怕主角是个老毕登＋傻逼。//后面get不到，有点难绷,8,力荐,2026-4-7 17:19,meltriston,93377,瑞克和莫蒂 第一季,59,8.4
EP8有宇宙裡最好看的電視(不宜配飯),8,力荐,2026-4-5 17:11,米饭吐司,93377,瑞克和莫蒂 第一季,59,8.4
补标8.5,8,力荐,2026-4-3 14:13,vesper,93377,瑞克和莫蒂 第一季,59,8.4
我不知道為什麼大三的作業還要自訂英文自學計劃。當提升聽力了,0,未评分,2026-3-20 19:10,界FFLLOW,93377,瑞克和莫蒂 第一季,59,8.4
就喜欢这种黑色幽默加癫狂感,9,神作,2026-3-10 00:39,Masahiro,93377,瑞克和莫蒂 第一季,59,8.4
看完有些失望，对不上这类美式风格，莫名有点哆啦A梦的感觉。,8,力荐,2026-3-9 19:31,kuheq,93377,瑞克和莫蒂 第一季,59,8.4
和日漫完全不同的风格，类似于吊带袜天使的风格（准确说应该是反过来），同样都有天马星空的想象力，不过这部感觉会有更多讽刺隐喻内容，喜欢这一卦的应该会非常喜欢,8,力荐,2026-3-8 20:51,CyraZm,93377,瑞克和莫蒂 第一季,59,8.4
道德底线低的科幻想象力极佳之作。画风也就这样。,8,力荐,2026-3-3 14:33,冰凉的开水,93377,瑞克和莫蒂 第一季,59,8.4
很下饭，值得一看，已看完1-8季,9,神作,2026-3-1 08:23,Turq,93377,瑞克和莫蒂 第一季,59,8.4
梦开始的地方，FK 漫威，补标。,9,神作,2026-2-27 00:19,红豆麻糬,93377,瑞克和莫蒂 第一季,59,8.4
梦开始的地方,7,推荐,2026-2-25 20:48,nnn,93377,瑞克和莫蒂 第一季,59,8.4
美漫入门作,9,神作,2026-2-25 11:55,温庭筠,93377,瑞克和莫蒂 第一季,59,8.4
