content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
crazyyyy,6,还行,21h 49m  ago,叶子,141530,瑞克和莫蒂 第二季,63,8.4
远大于芙莉莲,8,力荐,2026-4-10 11:11,meltriston,141530,瑞克和莫蒂 第二季,63,8.4
补,8,力荐,2026-4-9 17:23,Shukagin,141530,瑞克和莫蒂 第二季,63,8.4
結尾感人在線，爺孫情。//EP3我想同化宇宙卻沒有把你同化，你太耀眼所以我應該離開你找回自我//神了,9,神作,2026-4-8 23:03,米饭吐司,141530,瑞克和莫蒂 第二季,63,8.4
补,9,神作,2026-4-6 23:07,uru_official,141530,瑞克和莫蒂 第二季,63,8.4
补标8.5,8,力荐,2026-4-3 14:13,vesper,141530,瑞克和莫蒂 第二季,63,8.4
整体来说不如第一季但还是很好看,8,力荐,2026-3-11 00:07,Masahiro,141530,瑞克和莫蒂 第二季,63,8.4
"推荐看ep1,3,4,6,10
这一季值得9分",9,神作,2026-2-16 13:44,zzhalex233,141530,瑞克和莫蒂 第二季,63,8.4
"如果说R＆M第一季是天才式脑洞的野蛮生长，那么第二季则是将这些碎片化创意编织得更加严密。相比S1的单元剧风格，S2在保持高频笑点与流行文化解构的同时，明显强化了叙事结构的掌控力——无论是《Total Rickall》里虚实交错的封闭空间，还是《The Ricks Must Be Crazy》中多重宇宙嵌套的逻辑闭环，都展现了不俗的编剧水准。当然，这一季依然带有美式成人动画常见的通病，低俗段子和跳脱的恶趣味确实在一定程度上拉低了观感的上限，对于追求严肃科幻的人来说可能略显多余。 但瑕不掩瑜，本季对Rick角色内核的挖掘，将荒诞的科幻狂想平稳地落脚在了角色的情感共情上，使其成为了比第一季更成熟、也更完整的作品。相对喜欢的单集：ep3,ep4,ep6,ep10",9,神作,2026-2-8 15:38,上野原ayano,141530,瑞克和莫蒂 第二季,63,8.4
结局《hurt》响起来的时候宛若回到了看《金刚狼3》的那个夜晚,9,神作,2026-1-19 19:01,今川雷蝶,141530,瑞克和莫蒂 第二季,63,8.4
最后一集瑞克安排好一切，到酒吧喝完一杯酒转身自首，《hurt》响起，又一次的不告而别。 @2020-01-16 11:51:02,9,神作,2026-1-13 00:31,Rin,141530,瑞克和莫蒂 第二季,63,8.4
补标,9,神作,2025-12-27 12:31,loveanime,141530,瑞克和莫蒂 第二季,63,8.4
脑洞,9,神作,2025-12-20 17:25,taiko is fun,141530,瑞克和莫蒂 第二季,63,8.4
结尾太感动了 淡淡的却又深爱的家人 难以流露表面 却又止不住溢出的爱,8,力荐,2025-11-19 19:50,安知,141530,瑞克和莫蒂 第二季,63,8.4
爽,10,超神作,2025-11-18 05:51,12,141530,瑞克和莫蒂 第二季,63,8.4
基本上每一集都很有意思，过了两季瑞克这个人物也是越来越饱满了，结尾的·煽情也是很好看。,8,力荐,2025-10-27 22:43,zzzfuny,141530,瑞克和莫蒂 第二季,63,8.4
