content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
影视化或许是拳头做过最正确的决定,9,神作,2h 58m  ago,Judeau,335036,英雄联盟：双城之战,69,8.4
从英雄联盟宇宙中超脱出的神作，叙事节奏、人物塑造、画风、配乐都是无敌的存在,10,超神作,19h  ago,Skyblue,335036,英雄联盟：双城之战,69,8.4
电影剧集范,0,未评分,1d 20h ago,xz,335036,英雄联盟：双城之战,69,8.4
第一季还是很不错,8,力荐,2026-4-10 09:30,绮罗星Kira,335036,英雄联盟：双城之战,69,8.4
"第一部不错，第二部有点一般
但当时氛围的铺垫确实做得蛮好的
至少让人有看下去的欲望
推荐",9,神作,2026-4-9 13:22,陈蔚蓝cwleste,335036,英雄联盟：双城之战,69,8.4
精神病人引发的一系列闹剧，但是画面音乐张力看的还是很爽的,9,神作,2026-4-6 01:12,葬送的芙莉莲,335036,英雄联盟：双城之战,69,8.4
云顶s15入坑补番，很庆幸能在s16之前看到这样一部优秀作品，很美式的艺术风格，剧情可能略微狗血,8,力荐,2026-4-4 23:48,watela,335036,英雄联盟：双城之战,69,8.4
打破我对美漫刻板印象的一部作品,8,力荐,2026-4-2 13:00,千珏,335036,英雄联盟：双城之战,69,8.4
暗场好多，看着好爽，好久没看过这种找不到“正义”和“邪恶”的剧了。还有，梅尔大人可太正点了，越看越有味,9,神作,2026-3-29 23:13,mio,335036,英雄联盟：双城之战,69,8.4
一部足以在21世纪乃至整个人类动画史上千古留名的神作。,9,神作,2026-3-25 16:43,小白大白狼,335036,英雄联盟：双城之战,69,8.4
"足够优秀的创作，虽然故事本身对比其他作品不算优秀，但是新奇的画风和脑洞创意足够优秀了,9-",9,神作,2026-3-20 10:54,龟不归,335036,英雄联盟：双城之战,69,8.4
剧情7 角色7 制作9,8,力荐,2026-3-18 15:56,风也温柔,335036,英雄联盟：双城之战,69,8.4
补标。彻底改变了我对美漫的印象,8,力荐,2026-3-17 01:05,银鼠以太,335036,英雄联盟：双城之战,69,8.4
趋于完美的欧美动画,9,神作,2026-3-11 16:59,格拉,335036,英雄联盟：双城之战,69,8.4
顶级天外来的金源支持，配合西大成熟的产业链制作，共同打磨出这一部不俗的同人之作，属实是看爽了。,8,力荐,2026-3-9 15:09,穗娜,335036,英雄联盟：双城之战,69,8.4
拳头还是太会做动画了，动画看下来算的上六边形战士。作画音乐剧情全都在线，对于人物的刻画也称得上是相当细腻。角色的行为动机基本都合理，没有出现强行降智的情节。,9,神作,2026-3-6 09:03,Nanami,335036,英雄联盟：双城之战,69,8.4
"完全不了解游戏，纯看动画。这动画太爽了，电影级别的制作，40分钟一集太爽了，而且故事也相当好看，无论是上城视角还是底城视角都有自己的精彩之处，上城点科技搞发展，底城内斗求生存，人物没有绝对的对与错只有立场之分，没有突然降智的剧情，一切都是合乎情理、有铺垫的，靠一个个事件去推动后续剧情诞生，我几乎能理解每个角色行动背后的动机和逻辑，通过无数的巧合构成了这个悲惨的故事，一个难得的好故事。必须提一下，结尾金克斯太帅了，难忘的名场面加一。
我唯一感到奇怪的部分就是爆爆到金克斯的转变，投入希尔科阵营好像没有任何铺垫吧，感觉是不是少看了一集内容，在经历了那些事情之后变成疯疯癫癫的样子还帮助那样子的人，一头雾水，好像游戏中金克斯的人设就是这样的所以不用解释？未免也太粉丝向了。
话又说回来，这个世界潜力很大，以后会出电影不？一定比漫威和DC的超级英雄爆米花好看。",8,力荐,2026-3-2 17:38,云仔whale,335036,英雄联盟：双城之战,69,8.4
游戏改中里程碑的作品,8,力荐,2026-2-27 20:18,虹夏妈妈,335036,英雄联盟：双城之战,69,8.4
看的时候大受震撼，真六边形战士，制作这块更是拉满。只看第一季的话真无敌了,9,神作,2026-2-24 15:56,XVI,335036,英雄联盟：双城之战,69,8.4
不玩lol，看了两集看困了，以后看心情补,6,还行,2026-2-22 09:34,yzhanglp,335036,英雄联盟：双城之战,69,8.4
抛开第二季可以打八分。但是……,7,推荐,2026-2-21 20:34,sampalk,335036,英雄联盟：双城之战,69,8.4
有钱真好 第二季切割了,9,神作,2026-2-21 16:31,Kekdj,335036,英雄联盟：双城之战,69,8.4
梅尔太顶了，少有的能这么让人有感觉的黑皮角色,6,还行,2026-2-21 06:11,unfinished,335036,英雄联盟：双城之战,69,8.4
大份,2,很差,2026-2-19 23:21,yume,335036,英雄联盟：双城之战,69,8.4
金克丝不是个人，甚至不能算角色，它只是编剧手里推进剧情、激化戏剧矛盾的工具，不论多离谱的行为都能用它有精神疾病来解释。虽然现实可以没有逻辑，但电影不行，电影中的情节不仅不能没有逻辑，而且还必须硬到从各种角度推敲都能立得住。情节逻辑不合理的电影，那是无厘头搞笑片。,5,不过不失,2026-2-19 06:22,星界璃海,335036,英雄联盟：双城之战,69,8.4
好看好看好看好看好看！莫名其妙一口气全看了，但我不接受老丈人死了……,9,神作,2026-2-17 18:08,秋洋,335036,英雄联盟：双城之战,69,8.4
我更愿意称之为大型MV,6,还行,2026-2-16 22:59,鲸落冬至,335036,英雄联盟：双城之战,69,8.4
没看过这种动画,9,神作,2026-2-14 14:58,暮暗骑士,335036,英雄联盟：双城之战,69,8.4
不了解英雄联盟,7,推荐,2026-2-13 04:58,mdk的theory,335036,英雄联盟：双城之战,69,8.4
制作顶中顶 但是没玩过游戏看的不是很爽//本质神作。,8,力荐,2026-2-12 20:10,greencat,335036,英雄联盟：双城之战,69,8.4
最大的缺点就是第二部烂尾了,0,未评分,2026-2-9 21:45,无壳之蟹,335036,英雄联盟：双城之战,69,8.4
后期不太行,6,还行,2026-2-9 11:44,reoI,335036,英雄联盟：双城之战,69,8.4
可惜了第二季了,8,力荐,2026-2-9 01:25,光逝去的夏天,335036,英雄联盟：双城之战,69,8.4
玩lol本体游戏的看这个就是爽爽爽，个人认为2021年的真神，里面歌曲更是火热，作者很好的表达了自己的意思，让即使不玩游戏的人也可以看懂,10,超神作,2026-2-8 14:36,xewsts,335036,英雄联盟：双城之战,69,8.4
