content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
和解，是需要一生去学习的课题,9,神作,2h 21m  ago,LULU,29883,新・福音战士剧场版：终,70,8.4
再见了，所有的新世纪福音战士......了吗？,0,未评分,19h 8m  ago,Emiya,29883,新・福音战士剧场版：终,70,8.4
真是夯完了，不过中二设定有些冗余了吧,8,力荐,1d 17h ago,溶质不是弱志,29883,新・福音战士剧场版：终,70,8.4
天书，完全看不懂,0,未评分,2026-4-10 01:03,有马加奈最强！,29883,新・福音战士剧场版：终,70,8.4
单看这个剧场版只能说中规中矩，人物塑造比旧版差很多。但对于痞子和eva的粉丝来说，它是一个合适的情感宣泄口，大家想看到的是和解，是温柔，是在最后能感慨地说出一句：“再见了，所有的Evangelion。”,7,推荐,2026-4-8 01:00,Lipo,29883,新・福音战士剧场版：终,70,8.4
"用整部Q的一个半小时，外加终的前45分钟，来写真嗣的无能无望无理无情无意义，宁愿毁掉所有其他角色的塑造也在所不惜，庵野秀明实在是有些过分把自己的宝贝男主角爱护有加了。
明日香很帅很清醒，虽然为了上文所述的原因被迫保留了一些对真嗣莫名其妙的多余责任感和剧情上不得不说的一些突兀的话，但总体来说，担任了终里最让人舒适的角色（有些观众只在乎把她和男主角拉郎配，对此我只能竖起中指）。
美里同理但没能得到类似明日香的在剧情设计上的尊重。
律子这个曾经无比有深度和厚度的角色直接被一巴掌拍平。
绫波丽比律子好一点但不多。
渚薰比绫波丽再糟一点。
源堂变成了一个无聊且失去逼格的纯反派。
玛丽/真理这个新角色纯属为真嗣服务的鸡肋工具人。
结果从始至终，从20年前到20年后，唯一得到善待的角色，有且只有加持良治。
最后的总结：庵野秀明老了20多岁，结果返老还童成了个幼稚鬼",6,还行,2026-4-6 23:21,kyonkoo,29883,新・福音战士剧场版：终,70,8.4
如果这部剧场版出在20年前那是神作，出在现在，除了它叫EVA，剧情并没有出彩的地方，只能说平庸，因为故事的人物解密，剧情故事，一切的一切都在这30年间的各种ACG作品里发生过了,6,还行,2026-4-6 20:20,戏言跟班,29883,新・福音战士剧场版：终,70,8.4
补标，个人还是很喜欢这个结尾的,10,超神作,2026-4-4 16:05,Friedrich,29883,新・福音战士剧场版：终,70,8.4
【7.5➕】,7,推荐,2026-4-4 12:29,四方茉莉,29883,新・福音战士剧场版：终,70,8.4
在2021年给了点大伙爱看的东西，既然庵野秀明都放下执念了，那我觉得所有人都有一个和eva和解的理由,9,神作,2026-4-4 02:41,什么洛澧,29883,新・福音战士剧场版：终,70,8.4
