content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
没有短板的作品,8,力荐,2h 57m  ago,0And1Story,328609,孤独摇滚！,71,8.4
观感舒适,8,力荐,6h 2m  ago,EA_2,328609,孤独摇滚！,71,8.4
神！,10,超神作,6h 58m  ago,yanami酱,328609,孤独摇滚！,71,8.4
补标,10,超神作,12h 50m  ago,DoHowie,328609,孤独摇滚！,71,8.4
非常推薦,10,超神作,16h 59m  ago,hugowangdd,328609,孤独摇滚！,71,8.4
还挺有趣的，但是感觉这个社恐形象有点刻板了,0,未评分,19h 6m  ago,再说吧,328609,孤独摇滚！,71,8.4
实话实说，我喜欢的是少女，在我看来，少女乐队的乐队是一种载体或者平台，而在这之上演绎活泼青春少女的纯粹友谊与日常成长才是我想要看的，对于乐队元素是否丰富且考究，我倒是无所谓....露营、爬山、去南极，同理。,9,神作,19h 26m  ago,ryza,328609,孤独摇滚！,71,8.4
芳文社经典剧情,6,还行,21h 53m  ago,叶子,328609,孤独摇滚！,71,8.4
制作不错，画风是我喜欢的那档，其它方面也挑不出什么问题，唯独我不能接受对社恐（或者能让人关联起的障碍）的刻画太过景观化/刻板印象，有一定把后藤独的局促不安当猎奇价值的倾向。演出效果太夸张，虽说这估计就是它想要达成的效果，但对我来说着实用力过猛。不过我在一个二次元作品里想这些干什么？只能说确实让我有点不适 没有感到丝毫共鸣 忍不住槽这些吧。btw山田凉一个考试全部不及格的nerd好神秘→这更我流孤独一点,6,还行,1d 22h ago,铅酸蓄电池,328609,孤独摇滚！,71,8.4
孤独和摇滚全都没有，有的只是把社恐夸张化、弱智化和无聊的卖萌互动。人物扁平刻板、剧情单薄、不停的消费社恐简直让人发指！如果说经济发达的时候尚且还有《攻壳机动队》这样略有深度的作品的话，那么现在这个年代只有《孤独摇滚》这样毫无意义的奶头乐了，更可怕的是如此低智的番剧还有大量的拥趸！这番能吹上天只能说得感谢现在日本少女乐队动画的大热。,1,不忍直视,2d 11h ago,Thug Life,328609,孤独摇滚！,71,8.4
让音乐代替我和人交流吧,8,力荐,2d 13h ago,Tearalament,328609,孤独摇滚！,71,8.4
重铸少女乐队荣光,8,力荐,2026-4-10 08:22,绮罗星Kira,328609,孤独摇滚！,71,8.4
在我这可以和轻音坐一桌,9,神作,2026-4-10 02:58,发芽的土豆,328609,孤独摇滚！,71,8.4
"神演出
好看本身就是答案",10,超神作,2026-4-9 13:20,陈蔚蓝cwleste,328609,孤独摇滚！,71,8.4
好好看啊！,8,力荐,2026-4-9 11:00,Breeze,328609,孤独摇滚！,71,8.4
过誉之作，萌倒是挺萌的，但是很无聊。从剧情到表现形式都属于制作精良但没什么想象力的感觉，反复戏谑地强调波奇的社恐让人感觉编剧实在没活了......人物塑造也是（还算生动的？）样板戏 属于你放空大脑可以吃得还算香的作品 友好一点应该有7/10但是这玩意排行实在太高了 让人想唱唱反调,6,还行,2026-4-9 10:54,Oskar,328609,孤独摇滚！,71,8.4
极品乐队番,8,力荐,2026-4-8 19:48,黑雾尔雅,328609,孤独摇滚！,71,8.4
非常轻松快乐的演出与日常，波奇酱可爱捏,9,神作,2026-4-8 18:06,leesein,328609,孤独摇滚！,71,8.4
小孤独还是很可爱的，本来想给6分，但看着近年来的乐队番，孤独摇滚这作各方面的素质还是相当优秀了,7,推荐,2026-4-8 05:11,suzu,328609,孤独摇滚！,71,8.4
看不懂，也许我不太适合这个题材吧,5,不过不失,2026-4-8 00:27,肚子肉,328609,孤独摇滚！,71,8.4
我直说了 我就爱看一群可爱女孩子贴贴在一起，不断成长，搞乐队的故事。,9,神作,2026-4-7 22:33,Okuma,328609,孤独摇滚！,71,8.4
太可爱了啊啊啊,8,力荐,2026-4-7 16:16,17lwl,328609,孤独摇滚！,71,8.4
有點過譽,8,力荐,2026-4-6 22:18,紅莉栖,328609,孤独摇滚！,71,8.4
还可以,7,推荐,2026-4-6 20:45,北川夕利,328609,孤独摇滚！,71,8.4
很对我胃口的少女乐队番,9,神作,2026-4-6 15:22,锦绣山河,328609,孤独摇滚！,71,8.4
同样是木柜子，这四个站一起就是比mygo的顺眼啊,10,超神作,2026-4-6 01:03,葬送的芙莉莲,328609,孤独摇滚！,71,8.4
主角塑造很能让社恐人士共情 其他的音乐制作啥的都可以 剧情也是平稳落地 这种轻百看起来最赏心悦目了,8,力荐,2026-4-5 11:53,madokami,328609,孤独摇滚！,71,8.4
不赖，,10,超神作,2026-4-5 02:56,木偶,328609,孤独摇滚！,71,8.4
