content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
太伟大了倒A高达。细节丰富，女王和大小姐身份互换产生了超强的剧情张力，最有趣的高达长篇。上月球后略逊一些，结尾有点泄气,9,神作,52m ago,焦虑是自由引起的眩晕,3553,∀高达,74,8.4
nb,10,超神作,1d 18h ago,Edddfdccc,3553,∀高达,74,8.4
感觉好多角色都像是被天意裹挟一样追求战争，仿佛所谓的“斗争本能”是一个像nt一样的超能力设定，让我觉得因这些人展开的冲突十分儿戏，有种“子供向战争片”的感觉。与之相对的女王、大小姐、罗兰这三个为数不多没被天意腐蚀的正常人就十分讨喜了，身份互换这个本来以为讲个两集就会结束的设定居然贯穿始终，在离地上月球那一段我们俩一心同体实在是太帅了，最后女王跟了罗兰、大小姐跟了哈利也算是十分浪漫的结局，虽然细想下来迪安娜还是太不负责任了，明明那么被月球子民爱戴，不仅下地时候搞身份互换这种事，最后还把月球交给了别人，哪怕相信姬艾尔能做的比自己更好也实在是...,7,推荐,1d 21h ago,空时灵,3553,∀高达,74,8.4
倒A真是宫崎骏高达好吧,9,神作,2026-4-8 16:03,Banpreoth,3553,∀高达,74,8.4
黄金之秋,10,超神作,2026-4-5 22:01,heartunderblade,3553,∀高达,74,8.4
"总觉得像是光头把军人、把政治家全部吐槽了之后包了个饺子。
不过以女王和大小姐这个一摸一样的人出发展开的故事非常巧妙，音画表现也很棒。",8,力荐,2026-4-3 11:57,ELITTK,3553,∀高达,74,8.4
卡特没有第二任任期，最后青史留名的是里根...,0,未评分,2026-4-1 12:47,提辖,3553,∀高达,74,8.4
"系列的温柔收束和解 身份互换很有意思 喜欢前期平静乡村日常 
（最后不直率的二小姐太可惜了 只能独自陪着精神失常的妈妈 难道我喜欢的全是败犬）",9,神作,2026-4-1 03:51,熔岛,3553,∀高达,74,8.4
明显更能让我直接感受到想要传递什么,8,力荐,2026-3-29 20:19,うおおお！,3553,∀高达,74,8.4
看完倒A很难不联想到现在知名度更广的AZ，因为后者的剧本明显参考借鉴了前者，但最终二者呈现出来的效果真可以说是天差地别。比如同样是“先进文明与地球落后势力对峙”的二元结构，前者的地球与月球的对立是由历史记忆、文明形态与生存资源三者共同构成的；而后者的地球与火星的对立表面上看是太空版的地缘政治博弈，但越看越能感受到里面战争爆发的根本原因是几个野心伯爵掌握了军权，而并非文明层面的必然碰撞。这种对待自己二元结构方式的区别，也就是两部动画的根本差距了。AZ的失败在于它一边说着不要二元论，却一边演绎着最二元论的剧情；倒A的成功则在于对这种二元论的祛魅：月球并非邪恶的入侵者，地球也绝非无辜的受害者，正是这种立场不同的悲剧性，才让结尾的和解成为可能。这可不是理想主义的说教，而是已经因斗争毁灭过一次人类在吸取足够教训后的反思和对生存方式重构的一次尝试。,9,神作,2026-3-28 20:50,Ningensan,3553,∀高达,74,8.4
