content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
"之前弃了部夏日口袋后第二次看key社作品,目前第九集过完第一个结局.这个社团作品风格都是这样的吗...我很满意于动画的节奏,一点都不无聊,但我很难接受这纯粹由魔法编织的童话故事,虽然演出到来时我还是有一瞬间的感动...总之我还是看下去吧.",0,未评分,3h 23m  ago,laoshiren,51,CLANNAD,75,8.4
补标，任何时候都推荐的神作,10,超神作,13h 43m  ago,DoHowie,51,CLANNAD,75,8.4
治愈温良的佳作，对友情、亲情、爱情的描写细致动人，可惜前期节奏有些乱加上gal改痕迹问题，观感没有达到最佳水平，不过总体是比较耐看有趣的作品，期待传说中的after story~,8,力荐,17h 46m  ago,hiallo~,51,CLANNAD,75,8.4
好看，给高中同学推荐过，给他看哭了,10,超神作,21h 56m  ago,叶子,51,CLANNAD,75,8.4
团结，转折，救赎。,8,力荐,1d 8h ago,小野屋,51,CLANNAD,75,8.4
2026.4.11完成,7,推荐,2d  ago,MJUNM（闭关中）,51,CLANNAD,75,8.4
静下心慢慢看两季相辅相成，第一季回头看才发现有不少伏笔暗示结局,10,超神作,2026-4-10 10:23,霜落冰海,51,CLANNAD,75,8.4
难负盛名，把波澜不惊的故事讲好的能力差后来者葬送的芙利莲，彻夜之歌太多了,7,推荐,2026-4-10 01:11,魔力奶爸,51,CLANNAD,75,8.4
蛋糕大家族,7,推荐,2026-4-9 21:48,uru_official,51,CLANNAD,75,8.4
伟大 无需多言,9,神作,2026-4-9 16:51,广安帅哥张顺飞,51,CLANNAD,75,8.4
"第一季算是比较标准的青春校园的味道
算是故事的前调
还不错吧",9,神作,2026-4-9 13:19,陈蔚蓝cwleste,51,CLANNAD,75,8.4
比想象中更有意思的校园番，京阿尼的制作和key社的音乐杀疯了，虽然画风很老，但不会出现现在新番普遍具有的廉价感。,8,力荐,2026-4-8 15:46,suzu,51,CLANNAD,75,8.4
第一季普普,6,还行,2026-4-6 22:08,紅莉栖,51,CLANNAD,75,8.4
读作人生，写作clannad。这个作品也许不是很完美，被许多人诟病。但对当时还并不成熟的我来说，是一个非常好作品。它不仅仅是一个动画，更是对人生路上的各种经历的刻画，对生活的热爱。以动画的形式诠释了人生。尽管并不是很好的作品,10,超神作,2026-4-6 17:12,violet,51,CLANNAD,75,8.4
为第二季铺垫，还算不错,8,力荐,2026-4-5 12:45,Ilya,51,CLANNAD,75,8.4
这是我第一部看的key社其实一开始我很不喜欢这种画风不过cch看了好几遍叫我一定要看，后面我看了第一集其实我有点想哭了星子第二季那才是真真的神作哭的地方只有爸爸的怀里还有厕所,10,超神作,2026-4-4 08:28,Zelin-mahiru,51,CLANNAD,75,8.4
只看这季就是有点感人的校园番、恋爱番,8,力荐,2026-4-4 08:21,Baiyi,51,CLANNAD,75,8.4
某种程度上来说这是入坑番,7,推荐,2026-4-3 23:57,秋笙声,51,CLANNAD,75,8.4
这个开局男主就丧妻，成鳏夫太苦了，没敢看下去，尤其是男主，开局本来就不太好，后面后面好不容易幸福了，结果又被父亲打破了，太苦了，没敢看，跟女主结婚之后，结果女主也死了，只有一个女儿，天呐，太可怜了,0,未评分,2026-3-30 02:15,kanro,51,CLANNAD,75,8.4
