content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
左派作品，当人老去却无法把身外之物带入坟墓，就会以另一种方式将他传递。由此引出了老龄化、低生育率、教育缺失、劳动市场缩减和政体重构的问题。老人、小孩、官僚一起群体无意识进入sac状态。神山是否考虑去社科院发展？,8,力荐,1d 14h ago,陈彤彤,320,攻壳机动队 S.A.C. Solid State Society,77,8.4
有时间拜读婆罗门大作,0,未评分,2026-4-6 01:13,葬送的芙莉莲,320,攻壳机动队 S.A.C. Solid State Society,77,8.4
开头以为是爆米花刑侦片，结果后半又一转对集体意识的探讨和对stand alone complex的点题，结尾将难以解答的社会问题的答案落于“认清现实的残酷与制度的缺陷”的处理方式进一步拔高了主旨。课长终究是找到了政治理想和社会需求之间的平衡，素子接受了自己的局限，巴特又见到了塔奇克马，皆大欢喜，作为收尾的剧场版恰到好处。,8,力荐,2026-4-5 16:23,阿渣,320,攻壳机动队 S.A.C. Solid State Society,77,8.4
由国际形式与难民问题转向人口老龄化少子化，这个以现今的眼光来看似乎俗不可耐的话题。但在那个哈基米的意思还是蜂蜜的年代，尽管因为篇幅等原因而显得有些浅尝辄止，这些思考依然不可谓不锋利。当然，即使到了今天，我也愿意为它优美的音乐、复杂的人物关系以及美丽、飒爽最重要的是毫无崩坏痕迹的少佐的脸而买单,8,力荐,2026-4-4 18:20,Kosaten,320,攻壳机动队 S.A.C. Solid State Society,77,8.4
好看，画质强了很多内容也也很深奥深奥很爽素子声线太爱了素子离开队伍有帅气回归还有素子那个基地好喜欢素子真的强奇克马重新回归太好了陀古萨那一段太窒息了还好赶上了进攻大楼那一段加上配乐很舒服代入感很强后面知道了傀儡廻是什么真的很震惊还有结尾巴特对话的那一段加上塔奇克马塔太默契了刚开始看陀古萨居然不玩左轮了还有点不适应后面拿上左轮了真的舒服了力推就是有点太短了还想多看一点感觉有点像95那个版本的剧情,9,神作,2026-3-29 02:11,ycc,320,攻壳机动队 S.A.C. Solid State Society,77,8.4
补标,0,未评分,2026-3-22 11:58,上木ライチ,320,攻壳机动队 S.A.C. Solid State Society,77,8.4
老龄化和少子化似乎成为工业国家的宿命，贵腐老人不想被政府收走遗产，倾向由那些被“排斥”的孩子继承他们的财产。我们也有这类继承事件，老人无继承人，财产就由政府处理。个人来说，如果我没有继承人的话，是宁愿死后财产充公的。但这其中可能滋生的灰色空间，也让人担忧。很多人对这种公家“吃绝户”的事反感，你又不生孩子，又不写遗嘱，没有继承人，不由公家处理身后财产，还能怎么办？那些人大概只是想要找个可以攻击的点，输出自己的情绪。老龄社会最大的隐忧就如剧中所说，会让社会的竞争力越来越低下，看看现在的日本就知道了，社会发展停滞，产业在逐渐掉队，说不定以后真会掉出发达国家。李光耀对于日本的见解就是可能走向平庸，少子化下，还排斥移民，竞争力只会越来越弱。新加坡积极引进移民，保持竞争力，但新移民难融入，国民反感，也是一个问题。移民过多，你还能是原来的你吗，欧洲给出了答案。,8,力荐,2026-3-12 04:32,流离之人,320,攻壳机动队 S.A.C. Solid State Society,77,8.4
竟然还有这部忘看了//陀古萨不玩左轮了爷青结//好多对95和无罪的致敬啊//还是有左轮啊，对味了//塔奇克马回归了舒服了//刚想说不过是95加无罪结合社会问题的再演绎，结尾的小反转还是让我惊到了,8,力荐,2026-3-8 13:58,Masahiro,320,攻壳机动队 S.A.C. Solid State Society,77,8.4
26.3 评分8 神山对95攻壳主题的再解读，可惜拉了不是一点半点。表面上sss的设定看着玄乎，但对各种社会议题的讨论基本点到为止，并未过多深入。而且结尾冷不丁地呼应一下95攻壳，说网络如此广阔，这种结尾点明主题但又和前文相关性不大的违和感我只在高中流水线议论文上见过。相比tv两季，sss实在少了一份应有的灵性，仿佛在写命题作文一般。所以看到最后也只能说：案子写的不错。当然也不是说sss有多不行，实际上sss的质量已经够学了，只不过看完sss我对95攻壳的评价是越来越高，以至于sss在95攻壳面前宛如东施效颦一般。其实sss很值得作为理解95攻壳的引子，因此我更加坚信入坑攻壳应该先看神山再看押子。于我而言，sss的存在已经变相证明攻壳已经把该讲的都讲了，虽然世界观大，拓展性强，但能写的东西无非便是政治，社会，人与机械与灵魂那套，再写也很难写出花来了。,8,力荐,2026-3-5 03:57,~🥦马格里特🥦~,320,攻壳机动队 S.A.C. Solid State Society,77,8.4
【8+】,8,力荐,2026-2-28 22:16,樱姬花吹雪,320,攻壳机动队 S.A.C. Solid State Society,77,8.4
立秋死后的ghost残片在网络中与包括素子在内的种种ghost融合从而在死后延续了他的计划，这也是对95剧场版中融合与进化的呼应。或许傀儡迴的意志便是网络上种种碎片意识的SAC的具象化。但最后无论是傀儡迴还是在规则的钳制下的9课，都只是在“无奈地反抗那些约束着我们的不合理的规则”。在时长的限制下一些深刻的议题没有展开讨论略显可惜，结尾给我的感觉也有些太平淡了,8,力荐,2026-2-28 17:16,misaka19501,320,攻壳机动队 S.A.C. Solid State Society,77,8.4
6.4//臺詞淺故事深，不知上映之初的人們看到 GHOST 切實地跟社會現象聯繫在一起時有何感受，但二十年來被重複咀嚼的老年社會、少子化和兒童監護、移民等等政治概念已經太過乏味，這也是爲什麼我更喜歡押井守而非神山，靈魂的根源性問題永遠比政商經道更永恆。,6,还行,2026-1-28 02:51,🐧,320,攻壳机动队 S.A.C. Solid State Society,77,8.4
第一个和最后一个敌人，都是自己,10,超神作,2026-1-27 11:22,裴斯泰洛齐,320,攻壳机动队 S.A.C. Solid State Society,77,8.4
神山健治的固态寓言，在宏大与割裂之间游走。,9,神作,2026-1-21 00:21,road1,320,攻壳机动队 S.A.C. Solid State Society,77,8.4
（82/100）甚至比两部SAC TV都要更喜欢些。演出相比TV更大胆，机位角度选择多变，菅野的音乐插入得很好；叙事也是出色，多线并进逻辑清晰，商业化段落嵌入恰当；最偏爱处还是能体现九课成员人情味的几场戏:陀古萨和女儿、荒卷和老师、素子和巴特……与老龄化、少子化这样极其贴近民生，呼唤责任和传承的议题相配，提供了不错的情感温度。//娱乐性、复杂性、前瞻性，人物塑造、节奏控制、思想深度，怀念S.A.C的脚本天团。,8,力荐,2026-1-19 20:59,1097,320,攻壳机动队 S.A.C. Solid State Society,77,8.4
82,7,推荐,2026-1-14 21:47,虚伪之生,320,攻壳机动队 S.A.C. Solid State Society,77,8.4
