content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
"总体制作在异世界属于最上等，凯尔特风格的配乐能把观众拉入到这个剑与魔法世界的小酒馆，符合这季度四处云游寻人的特点。转折点1后的剧情做出了差异化，亲历大世界异变的行文思路很优秀。
但这季度对男主角鲁迪的塑造依然让我这么讨厌，尤其是在无职这样一个笔墨集中在鲁迪、还时常给人物心理描写的作品里。前文他还没改进的好色和对家人的无关心就不赘述了。经过对冒险者见死不救，被异国关押等事件我以为他真的开始成长了，或者说潜移默化地改变了。但转折点2简直让我对鲁迪的厌恶达到顶峰。雪山这种常人根本不会翻越的地形遇到陌生人，两个战士队友隔老远两股战战几欲先走，瑞杰路德顶着压力开口告诫他不要说话，鲁迪还是主动开口招惹别人。招惹便招惹了，没聊两句就把人神这种连同伴都从未提过的信息漏给陌生人了。倏然间对他莫大的失望，永远这样自大，永远这样以自我为中心，直到害死自己的那一刻才醒转。",7,推荐,6h 57m  ago,量子花狂,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
好点的异世界,7,推荐,22h 2m  ago,叶子,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
鲁迪神老爸,9,神作,1d 4h ago,蚯蚓,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
鲁迪不太像活了三四十年，更像个单纯好色的小孩，当然穿越作品基本都有这毛病，只是说明这片的成长依旧是儿童的成长，不过最后一集前世今生对照还是有很力度的。第19集蠢笑我了。终归还是能感受到一种取向踏实的表达欲，除了不好的部分外都很好，主要是staff发力。我感觉自己挺喜欢无职的,7,推荐,1d 23h ago,焦虑是自由引起的眩晕,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
维持高水平的同时文戏也有亮点,6,还行,2026-4-10 09:33,绮罗星Kira,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
第一季一共给个7.5吧，制作还是挺用心，无论主要还是次要角色的成长都很明显而且也很有实感，通过op时间把人物线都串起来的设计也很有特色,7,推荐,2026-4-9 19:26,ハサミ,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
"好作品
我觉得确实你硬要说也确实有值得批判的点
但是确实是好作品",9,神作,2026-4-9 13:17,陈蔚蓝cwleste,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
和part1完全不一样的感觉，个人观感要更好，仍然在异世界番里相当能打,8,力荐,2026-4-8 04:47,suzu,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
"综合评分8.5,待补长评",8,力荐,2026-4-7 19:15,Ethereal,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
最有画面的一集,8,力荐,2026-4-6 20:44,北川夕利,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
爱丽丝可爱,8,力荐,2026-4-5 19:52,uru_official,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
制作很不错，经费很足,8,力荐,2026-4-5 19:07,Ilya,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
8.5，文戏水平飙升，本作的一大亮点在于将前世和今生联系起来进行人物塑造而不是单纯地将大运作为分割线,8,力荐,2026-4-4 23:54,KTACO,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
后半段的旅程冒险感十足,8,力荐,2026-4-4 15:17,英梨梨不会败北,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
那真是一段惊心动魄回味无穷刻骨铭心的旅途……,9,神作,2026-4-2 22:36,xung,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
这一季后劲好大，艾莉丝你怎么就剪短发了呢,9,神作,2026-4-1 04:29,未留叶,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
【8】，非常舒适的异世界冒险，建议直接跳过part1看这个，觉得鲁迪不逆天的后宫党当我没说,8,力荐,2026-3-31 10:15,樱姬花吹雪,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
不带脑子看有点爽的,8,力荐,2026-3-31 04:43,宋子禾,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
"8.3？？
制作可以 内容一般 不表不里",4,较差,2026-3-31 00:40,絆咕咪,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
父子重逢的戏不错，把情感拍出能让观众切身体会到的实感，而不仅仅流于角色的言语，是现在很多片子欠缺的,7,推荐,2026-3-29 20:36,MiaAsuka,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
【9】这一段的探险做的很好，有细致的场景刻画，节奏舒适，还有艾莉丝的那种刁蛮中带有真心的性格也很戳我。,9,神作,2026-3-29 15:28,PlumTT,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
剧情人物太完整了！,10,超神作,2026-3-29 00:41,ivanchen1988cn,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
和老爸和解那段真挺不错的,8,力荐,2026-3-28 19:30,密涅瓦的猫头鹰,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
制作+1分,8,力荐,2026-3-27 20:30,ELPsyCuCumBer,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
你不满分，谁满分？里面的角色感觉鲜活感，何意味这么猛？艾莉丝依旧是神，完全能带入里面的感情，神了！,10,超神作,2026-3-27 20:05,唯爱玛奇玛,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
8.5，精彩而很有真实感的异世界公路片,9,神作,2026-3-26 23:12,my  leg,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
"/*还行，从负到零的故事完整就行。然后依旧是喜欢这个片的清淡美术风格，诚意满满的异世界音乐，以及我最爱的空镜op*/
呃，穿越过来十几年了还这么犹犹豫豫的杀个杂兵都不敢//这个片本质没有战斗逻辑，想了想这么多集主角0kd本质菜逼也就释然了。这段公式村庄英雄戏删了也没影响。//哎哟我，吵架做的真好，情绪流太顺了，多来点吵架//ep17泪目啊，做的真好//这作者不会写主角被抓以外的危机情节了吗[流汗]，能别用重复套路讲故事吗",7,推荐,2026-3-25 20:06,憧憬成为氪金母猪,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
最好看的部分,10,超神作,2026-3-24 12:20,heimanba666,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
我永远喜欢艾莉丝,8,力荐,2026-3-24 07:41,此用户已删除LMUR,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
第二部分有点公路片的意思，就是剧情操纵感太强了,7,推荐,2026-3-24 04:00,jonson_71,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
归乡的这段旅途，给我内心的触动难以言表,9,神作,2026-3-23 23:57,qwqwq512,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
很有真实感的异世界,9,神作,2026-3-22 15:31,郁离451,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
第二部分是真的精彩啊，直接一口气看完了，真的很难不让人喜欢,10,超神作,2026-3-21 22:43,另斗,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
动漫5.6.7集的家庭描写的真不错 短暂的离别是为了更好的相遇吧,8,力荐,2026-3-18 22:03,喜之郎,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
毋庸置疑展现了真正宏大的异世界,7,推荐,2026-3-18 18:45,Asuna desuwa,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
"三年前看的吧好像，记不太清了，也有一种很神奇的好动画的感觉，会让人想看后面的内容。
对角色的塑造都很立体独特，很难贴上很硬的标签。",8,力荐,2026-3-17 19:39,doctor11,325585,无职转生～到了异世界就拿出真本事～ 第2部分,84,8.3
