content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
每次卡莲快打赢了，朱雀都会翻盘,7,推荐,26m ago,古月,8,Code Geass 反叛的鲁路修R2,85,8.3
太好看了,8,力荐,22h 2m  ago,叶子,8,Code Geass 反叛的鲁路修R2,85,8.3
我将世界摧毁，又将世界创造,9,神作,1d 3h ago,白发生,8,Code Geass 反叛的鲁路修R2,85,8.3
这种不是happ end的结局我不甘心啊  这些虚伪的存求 和平的结局 哪里是真正想得到的  每个都是在背叛和谎言中 所诞生的祈愿 长久后必定会坍塌,8,力荐,2d  ago,tomoItoru,8,Code Geass 反叛的鲁路修R2,85,8.3
人物塑造也全部归于鲁路修了,9,神作,2d 19h ago,Nice_Future,8,Code Geass 反叛的鲁路修R2,85,8.3
零之镇魂曲，入宅以来听说过无数次的词，一个结局把鲁路修拉上神坛。当然即使抛开结局，剧情也已经足够精彩，合不合理另说，大河内在本剧就已经有犯病的征兆了，全靠结局拉了回来。,10,超神作,2026-4-9 19:12,pslzwh,8,Code Geass 反叛的鲁路修R2,85,8.3
荣耀尽归鲁路修，一集封神,10,超神作,2026-4-9 14:43,霜落冰海,8,Code Geass 反叛的鲁路修R2,85,8.3
"观点不值钱,值钱的是表达.太仓促太漏音了,远不如攻壳机动队",7,推荐,2026-4-7 19:40,魔力奶爸,8,Code Geass 反叛的鲁路修R2,85,8.3
"中間有點不知道在做甚麼（？
零鎮太神",9,神作,2026-4-6 22:18,紅莉栖,8,Code Geass 反叛的鲁路修R2,85,8.3
依旧逆天依旧中二,8,力荐,2026-4-6 10:59,kitchcock,8,Code Geass 反叛的鲁路修R2,85,8.3
8.8。动漫界数一数二的结局，站在现实逻辑中确实过于理想化，但这个世界本质并不正常（高度发展的技术力就不可能有这么多封建国家），也没什么好说的。朱雀确实不能用双标形容，本质还是笃信暴力自暴自弃的小丑，升官发财全靠鲁鲁修，为了让自我满足啥都干得出来，什么狗屁程序正义跟结果正义的冲突，他自己就是灵活的正义，人物形象被橘子哥爆杀。鲁鲁修毫无疑问是最有魅力的角色，无敌的自驱力和本质温柔赋予了这个角色十分的魅力，尤菲、夏莉甚至罗洛的死一步步把他推向修罗，但最终他成长了，为了要杀死他的无数普罗大众，与曾经是底层逻辑的妹妹为敌，突破了自我，成为了与CC这个魔女并驱的魔王，人类不感谢鲁鲁修，他累了，世界就留给这群所谓的亲友吧，朱雀失去自我，娜娜莉孤独终老，其他人不过政治工具，虽然一群该死的没死也很可惜（扔核弹的甲级战犯），像卡莲和橘子叔这种平凡生活才是他的温柔馈赠吧,9,神作,2026-4-5 11:24,乂之,8,Code Geass 反叛的鲁路修R2,85,8.3
