content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
如果你是一个军事爱好者兼宅男，那么你一定不能错过此作品,10,超神作,1d 17h ago,樱夜saya,72266,少女与战车 剧场版,90,8.3
努哥哥的军宅时间,8,力荐,2026-4-2 22:41,xung,72266,少女与战车 剧场版,90,8.3
神作。坦克战强无敌太爽了,9,神作,2026-4-2 13:31,执音星辰,72266,少女与战车 剧场版,90,8.3
全明星阵容，开炮！,7,推荐,2026-3-26 22:13,蓝黑广志,72266,少女与战车 剧场版,90,8.3
三刷，这么多年过去了赛前全明星集结和真理牺牲自己断后的这两段依然记忆犹新 // 常看常新的战斗爽神片，期待最终章,10,超神作,2026-3-26 19:08,hotCcino,72266,少女与战车 剧场版,90,8.3
（80/100）废校理由又用一遍观感不是太好。不过一想到所有的剧情安排都只是为了让你们打一场，那么再不合理的地方我也可以默认为是这个乱来的世界观的一部分然后消解掉，不得不说是一种属于类型片的幽默感……至于坦克战就无可挑剔了，顶级爽片。,8,力荐,2026-3-16 20:54,1097,72266,少女与战车 剧场版,90,8.3
补一个，16年看完当场下载了一个坦克世界只为开四号H有没有懂的。这部的感觉就是很有趣很好玩，就是那种想不出具体夸的点单纯整体看着非常舒服的感觉/7.2,7,推荐,2026-3-10 11:07,星乃ゆき,72266,少女与战车 剧场版,90,8.3
从tv版一步步走来 看的最爽的一集 高中大联合 剧情很赞的同时 又超脱了纯纯的考据 感觉有一定意识流的表达 很爽 很赞,9,神作,2026-3-7 18:32,666999HC,72266,少女与战车 剧场版,90,8.3
【8+】，2016星云赏,8,力荐,2026-3-1 13:55,樱姬花吹雪,72266,少女与战车 剧场版,90,8.3
大洗女子学园又废校！！∥相比于tv，更加精简且耐看，可能是剧场版篇幅影响，没有展现出tv那些严重的问题。大半内容都是战车ttk你敢信？节奏很舒服，但剧情依然槽点满满。还好本作战斗打到爽，军宅大满足ww,7,推荐,2026-2-27 16:36,s1psw,72266,少女与战车 剧场版,90,8.3
"7.9/10
作为承接本篇的剧出版，说实话得知学院舰要给拆的消息，看着大洗的大家，真的有种说不上来的感觉……//坦克战方面，依旧延续了本篇的高质量打斗，虽然有时候真的看不懂怎么指挥怎么打，而且登场人物很多，外加还有一堆队伍，所以有时候真的记不住",7,推荐,2026-2-23 23:55,karin,72266,少女与战车 剧场版,90,8.3
少战真好看哇，再就等每一次都最终章嘞（从少战被朋友拉到安东星巨坑力）,8,力荐,2026-2-21 10:44,沫凌霄游w,72266,少女与战车 剧场版,90,8.3
坦克战场景可以吊打无数好莱坞系的片子,9,神作,2026-2-19 18:37,メイド長万歳！,72266,少女与战车 剧场版,90,8.3
天马行空的坦克大战挺有意思的，各种场景和舞台装置的运用。很合格的粉丝向续作,8,力荐,2026-2-19 11:59,要不开心,72266,少女与战车 剧场版,90,8.3
最后姐妹联手打boss看爽了,8,力荐,2026-2-19 01:25,Simple_Cry,72266,少女与战车 剧场版,90,8.3
